sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
LN559120	-	-	-	-	-	-	-	-	-	-	-	-	2319	-
LN559121	-	-	-	-	-	-	-	-	-	-	-	-	2262	-
LN559122	-	-	-	-	-	-	-	-	-	-	-	-	2133	-
LN559123	-	-	-	-	-	-	-	-	-	-	-	-	1659	-
LN559124	-	-	-	-	-	-	-	-	-	-	-	-	1164	-
LN559125	-	-	-	-	-	-	-	-	-	-	-	-	760	-
LN559126	-	-	-	-	-	-	-	-	-	-	-	-	1995	-
KF425652	-	-	D/bovine/Minnesota/628/2013	1	-	Bos taurus	-	USA	-	2013	FEB	18	2364	24595369
KF425653	-	-	D/bovine/Minnesota/628/2013	2	-	Bos taurus	-	USA	-	2013	FEB	18	2330	24595369
KF425654	-	-	D/bovine/Minnesota/628/2013	3	-	Bos taurus	-	USA	-	2013	FEB	18	2195	24595369
KF425655	-	-	D/bovine/Minnesota/628/2013	4	-	Bos taurus	-	USA	-	2013	FEB	18	2049	24595369
KF425656	-	-	D/bovine/Minnesota/628/2013	5	-	Bos taurus	-	USA	-	2013	FEB	18	1775	24595369
KF425657	-	-	D/bovine/Minnesota/628/2013	6	-	Bos taurus	-	USA	-	2013	FEB	18	1219	24595369
KF425658	-	-	D/bovine/Minnesota/628/2013	7	-	Bos taurus	-	USA	-	2013	FEB	18	868	24595369
KF425659	-	-	D/bovine/Oklahoma/660/2013	1	-	Bos taurus	-	USA	-	2013	FEB	20	2364	24595369
KF425660	-	-	D/bovine/Oklahoma/660/2013	2	-	Bos taurus	-	USA	-	2013	FEB	20	2330	24595369
KF425661	-	-	D/bovine/Oklahoma/660/2013	3	-	Bos taurus	-	USA	-	2013	FEB	20	2195	24595369
KF425662	-	-	D/bovine/Oklahoma/660/2013	4	-	Bos taurus	-	USA	-	2013	FEB	20	2049	24595369
KF425663	-	-	D/bovine/Oklahoma/660/2013	5	-	Bos taurus	-	USA	-	2013	FEB	20	1775	24595369
KF425664	-	-	D/bovine/Oklahoma/660/2013	6	-	Bos taurus	-	USA	-	2013	FEB	20	1219	24595369
KF425665	-	-	D/bovine/Oklahoma/660/2013	7	-	Bos taurus	-	USA	-	2013	FEB	20	868	24595369
KF425666	-	-	D/bovine/Minnesota/729/2013	1	-	Bos taurus	-	USA	-	2013	FEB	26	2319	24595369
