sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
NC_006307	-	-	C/Ann Arbor/1/50	1	1	-	-	-	-	-	-	-	2365	15218173
NC_006308	-	-	C/Ann Arbor/1/50	2	2	-	-	-	-	-	-	-	2363	15218173
NC_006309	-	-	C/Ann Arbor/1/50	3	3	-	-	-	-	-	-	-	2183	15218173
NC_006310	-	-	C/Ann Arbor/1/50	4	4	-	-	-	-	-	-	-	2073	15218173
NC_006311	-	-	C/Ann Arbor/1/50	5	5	-	-	USA	-	1950	-	-	1807	15218173
NC_006312	-	-	C/Ann Arbor/1/50	6	6	-	-	-	-	-	-	-	1180	15218173
NC_006306	-	-	C/Ann Arbor/1/50	7	7	-	-	USA	-	1950	-	-	935	17537859
AB034155	-	-	C/Yamagata/64	-	7	-	-	-	-	-	-	-	881	10900030
AB034156	-	-	C/Johannesburg/4/67	-	7	-	-	-	-	-	-	-	881	10900030
AB034157	-	-	C/Sapporo/71	-	7	-	-	-	-	-	-	-	881	10900030
AB034158	-	-	C/Aomori/74	-	7	-	-	-	-	-	-	-	881	10900030
AB034159	-	-	C/Kanagawa/1/76	-	7	-	-	-	-	-	-	-	881	10900030
AB034160	-	-	C/Miyagi/77	-	7	-	-	-	-	-	-	-	881	10900030
AB034161	-	-	C/Kyoto/1/79	-	7	-	-	-	-	-	-	-	881	10900030
AB034162	-	-	C/Aichi/1/81	-	7	-	-	-	-	-	-	-	881	10900030
AB034163	-	-	C/Yamagata/26/81	-	7	-	-	-	-	-	-	-	881	10900030
AB034164	-	-	C/Pig/Beijing/115/81	-	7	-	-	-	-	-	-	-	881	10900030
AB034165	-	-	C/Nara/82	-	7	-	-	-	-	-	-	-	881	10900030
AB034166	-	-	C/Kyoto/41/82	-	7	-	-	-	-	-	-	-	881	10900030
AB034167	-	-	C/Hyogo/1/83	-	7	-	-	-	-	-	-	-	881	10900030
AB034168	-	-	C/Nara/1/85	-	7	-	-	-	-	-	-	-	881	10900030
AB034169	-	-	C/Nara/2/85	-	7	-	-	-	-	-	-	-	881	10900030
AB034170	-	-	C/Yamagata/1/86	-	7	-	-	-	-	-	-	-	881	10900030
AB034171	-	-	C/Nara/1/86	-	7	-	-	-	-	-	-	-	881	10900030
AB034172	-	-	C/Yamagata/7/88	-	7	-	-	-	-	-	-	-	881	10900030
AB034173	-	-	C/Yamagata/9/88	-	7	-	-	-	-	-	-	-	881	10900030
AB034174	-	-	C/Yamagata/5/89	-	7	-	-	-	-	-	-	-	881	10900030
AB034175	-	-	C/Yamagata/10/89	-	7	-	-	-	-	-	-	-	879	10900030
AB034176	-	-	C/Yamagata/1/90	-	7	-	-	-	-	-	-	-	881	10900030
AB034177	-	-	C/Miyagi/1/90	-	7	-	-	-	-	-	-	-	882	10900030
AB034178	-	-	C/Miyagi/5/91	-	7	-	-	-	-	-	-	-	881	10900030
AB034179	-	-	C/Miyagi/7/91	-	7	-	-	-	-	-	-	-	881	10900030
AB034180	-	-	C/Miyagi/9/91	-	7	-	-	-	-	-	-	-	879	10900030
AB034181	-	-	C/Yamagata/5/92	-	7	-	-	-	-	-	-	-	881	10900030
AB035357	-	-	C/Paris/1/67	-	4	-	-	-	-	-	-	-	1987	10811928
AB035358	-	-	C/Johannesburg/4/67	-	4	-	-	-	-	-	-	-	1962	10811928
AB035359	-	-	C/Georgia/1/69	-	4	-	-	-	-	-	-	-	1952	10811928
AB035360	-	-	C/Kansas/1/79	-	4	-	-	-	-	-	-	-	1986	10811928
AB035361	-	-	C/Kansas/2/79	-	4	-	-	-	-	-	-	-	1986	10811928
AB035362	-	-	C/New Jersey/1/76	-	4	-	-	-	-	-	-	-	1962	10811928
AB035363	-	-	C/Greece/1/79	-	4	-	-	-	-	-	-	-	1965	10811928
