taxon	sequenceID	W55	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/JQ922305	JQ922305	W	23408893	2364	1	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KF425652	KF425652	W	24595369	2364	1	-	Influenza D virus (D/bovine/Minnesota/628/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KF425659	KF425659	W	24595369	2364	1	-	Influenza D virus (D/bovine/Oklahoma/660/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KF425666	KF425666	W	24595369	2319	1	-	Influenza D virus (D/bovine/Minnesota/729/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM015491	KM015491	W	25142163	2364	1	-	Influenza D virus (D/bovine/Shandong/Y125/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM015498	KM015498	Q	25142163	2364	1	-	Influenza D virus (D/bovine/Shandong/Y127/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM015505	KM015505	W	25142163	2364	1	-	Influenza D virus (D/bovine/Shandong/Y217/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392468	KM392468	W	-	2364	1	-	Influenza D virus (D/bovine/Nebraska/9-5/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392475	KM392475	W	-	2364	1	-	Influenza D virus (D/bovine/Kansas/1-35/2010)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392482	KM392482	W	-	2364	1	-	Influenza D virus (D/bovine/Texas/3-13/2011)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392489	KM392489	Q	-	2364	1	-	Influenza D virus (D/bovine/Kansas/13-21/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392496	KM392496	W	-	2364	1	-	Influenza D virus (D/bovine/Kansas/14-22/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KM392503	KM392503	W	-	2364	1	-	Influenza D virus (D/bovine/Kansas/11-8/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KT581409	KT581409	W	26386554	2364	1	-	Influenza D virus (D/bovine/Mississippi/C00046N/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KT592516	KT592516	W	26812282	2364	1	-	Influenza D virus (D/bovine/Italy/1/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KT592523	KT592523	W	26812282	2351	1	-	Influenza D virus (D/bovine/Italy/46484/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KT592530	KT592530	F	26812282	2364	1	-	Influenza D virus (D/swine/Italy/199724-3/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KU710438	KU710438	W	27154756	2363	1	-	Influenza D virus (D/bovine/Mexico/S7/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KU710439	KU710439	W	27154756	2364	1	-	Influenza D virus (D/bovine/Mexico/S8/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KU710440	KU710440	W	27154756	2364	1	-	Influenza D virus (D/bovine/Mexico/S56/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KU710441	KU710441	W	27154756	2364	1	-	Influenza D virus (D/bovine/Mexico/S62/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KX768817	KX768817	W	28916759	2364	1	-	Influenza D virus (D/swine/Italy/268344-2/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG1/member/ncbi-nuccore-idv/KX768824	KX768824	W	28916759	2364	1	-	Influenza D virus (D/swine/Italy/173287-4/2016)	-	-	-	-	-	-	-
