taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/AY504606	AY504606	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/CQ903179	CQ903179	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/CY018769	CY018769	-	Yamagata	Japan	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/CY110754	CY110754	23011776	-	-	2009	Homo sapiens	-	-	B/Wuhan/4/2009
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/CY175637	CY175637	-	-	-	2011	Homo sapiens	-	-	B/New York/1255/2011
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/CY222169	CY222169	-	-	-	2017	Homo sapiens	-	-	B/Mississippi/02/2017
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/JX513154	JX513154	-	-	-	2010	Homo sapiens	nasal swab	-	B/Thailand/CU-H1400/2010
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MH233788	MH233788	-	-	-	2018	Homo sapiens	-	-	B/Maine/10/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MH233900	MH233900	-	-	-	2018	Homo sapiens	-	-	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MK445762	MK445762	-	-	-	2018	Homo sapiens	NP Swab	-	B/Virginia/7672/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MK946992	MK946992	-	-	-	2019	Homo sapiens	NP Swab	-	B/Germany/9318/2019
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MK947008	MK947008	-	-	-	2019	Homo sapiens	Nasal Wash	-	B/South Korea/9320/2019
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MK961940	MK961940	-	-	-	2017	Homo sapiens	-	-	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN539658	MN539658	-	-	-	2019	Homo sapiens	sputum	-	B/Thailand/TM-10944_62/2019
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN588714	MN588714	-	-	-	2011	Homo sapiens	cultured isolate	-	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN589530	MN589530	-	-	-	2018	Homo sapiens	nasopharyngeal swab	-	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN589578	MN589578	-	-	-	2018	Homo sapiens	nasopharyngeal swab	-	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN589586	MN589586	-	-	-	2019	Homo sapiens	nasopharyngeal swab	-	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MN822675	MN822675	-	-	-	2018	Homo sapiens	napharyngeal swab	-	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/MT600863	MT600863	-	-	-	2019	Homo sapiens	NP Swab	-	B/Texas/10124/2019
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/NC_002211	NC_002211	6283137	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG8/member/ibv-ncbi-refseqs-seg8/OQ034468	OQ034468	36765053	-	-	2007	Homo sapiens	allantoic fluid	-	B/Pennsylvania/5/2007
