taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/AY504600	AY504600	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg1/CQ903173	CQ903173	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/CY018771	CY018771	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/CY110747	CY110747	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/CY175639	CY175639	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/CY222162	CY222162	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/JX513147	JX513147	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MH233782	MH233782	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MH233894	MH233894	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MK445802	MK445802	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MK946994	MK946994	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MK947010	MK947010	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MK961942	MK961942	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MN542669	MN542669	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MN588384	MN588384	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg1/MN589524	MN589524	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MN589572	MN589572	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MN589580	MN589580	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MN822677	MN822677	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/MT600865	MT600865	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg1/NC_002204	NC_002204	3754992	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG1/member/ibv-ncbi-refseqs-seg2/OQ034461	OQ034461	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
