taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/AY504605	AY504605	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/CQ903178	CQ903178	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/CY018766	CY018766	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/CY110753	CY110753	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/CY175634	CY175634	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/CY222168	CY222168	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/JX513153	JX513153	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MH233787	MH233787	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MH233899	MH233899	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MK445702	MK445702	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MK946989	MK946989	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MK947005	MK947005	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MK961937	MK961937	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN558961	MN558961	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN588659	MN588659	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN589529	MN589529	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN589577	MN589577	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN589585	MN589585	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MN822672	MN822672	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/MT600860	MT600860	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/NC_002210	NC_002210	6278729	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG7/member/ibv-ncbi-refseqs-seg7/OQ034467	OQ034467	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
