sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country.m49_region	m49_country.m49_intermediate_region	m49_country.m49_sub_region
AB232144	Influenza B virus	B/Kobe/1/2003-V51	-	4	-	-	-	-	-	-	-	16597895	1009	-	-	-	-	-	-
AB232145	Influenza B virus	B/Kobe/1/2003-V52	-	4	-	-	-	-	-	-	-	16597895	1008	-	-	-	-	-	-
AB232146	Influenza B virus	B/Kobe/28/2003-V1	-	4	-	-	-	-	-	-	-	16597895	1005	-	-	-	-	-	-
AB232147	Influenza B virus	B/Kobe/28/2003-V2	-	4	-	-	-	-	-	-	-	16597895	1005	-	-	-	-	-	-
AB232148	Influenza B virus	B/Kobe/28/2003-V3	-	4	-	-	-	-	-	-	-	16597895	1004	-	-	-	-	-	-
AB232149	Influenza B virus	B/Kobe/28/2003-V4	-	4	-	-	-	-	-	-	-	16597895	1007	-	-	-	-	-	-
AB243874	Influenza B virus (B/Aichi/186/2005)	B/Aichi/186/2005	-	4	Yamagata	-	2005	APR	26	-	-	-	1038	Homo sapiens	Japan	Aichi	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AB297489	Influenza B virus (B/Suzuka/18/2005)	B/Suzuka/18/2005	5	5	-	-	-	-	-	-	-	-	1704	-	-	-	-	-	-
AB297490	Influenza B virus (B/Suzuka/28/2005)	B/Suzuka/28/2005	5	5	-	-	-	-	-	-	-	-	1704	-	-	-	-	-	-
AB297491	Influenza B virus (B/Suzuka/32/2005)	B/Suzuka/32/2005	5	5	-	-	-	-	-	-	-	-	1704	-	-	-	-	-	-
AB297492	Influenza B virus (B/Suzuka/58/2005)	B/Suzuka/58/2005	5	5	-	-	-	-	-	-	-	-	1704	-	-	-	-	-	-
