sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country.m49_region	m49_country.m49_intermediate_region	m49_country.m49_sub_region
AB027386	Influenza B virus	B/Thailand/62	-	4	Yamagata	-	-	-	-	-	-	10550663	1032	-	-	-	-	-	-
AB027387	Influenza B virus	B/Russia/69	-	4	Yamagata	-	-	-	-	-	-	10550663	1038	-	-	-	-	-	-
AB027388	Influenza B virus	B/Victoria/70	-	4	Yamagata	-	-	-	-	-	-	10550663	1038	-	-	-	-	-	-
AB027389	Influenza B virus (B/Yamagata/1/73)	B/Yamagata/1/73	-	4	Yamagata	-	-	-	-	-	-	10550663	1032	-	-	-	-	-	-
AB027390	Influenza B virus	B/Aichi/7/76	-	4	Yamagata	-	-	-	-	-	-	10550663	1035	-	-	-	-	-	-
AB027391	Influenza B virus	B/Baylor/4/78	-	4	Yamagata	-	-	-	-	-	-	10550663	1035	-	-	-	-	-	-
AB027392	Influenza B virus	B/Aichi/70/81	-	4	Yamagata	-	-	-	-	-	-	10550663	1080	-	-	-	-	-	-
AB027393	Influenza B virus	B/Aichi/21/82	-	4	Yamagata	-	-	-	-	-	-	10550663	1080	-	-	-	-	-	-
AB027394	Influenza B virus	B/Houston/18513/84	-	4	Yamagata	-	-	-	-	-	-	10550663	1035	-	-	-	-	-	-
AB027395	Influenza B virus	B/Aichi/5/90	-	4	Yamagata	-	-	-	-	-	-	10550663	1080	-	-	-	-	-	-
AB027396	Influenza B virus	B/Aichi/1/91	-	4	Yamagata	-	-	-	-	-	-	10550663	1080	-	-	-	-	-	-
AB027397	Influenza B virus	B/Aichi/1/94	-	4	Yamagata	-	-	-	-	-	-	10550663	1083	-	-	-	-	-	-
AB027398	Influenza B virus	B/Aichi/10/95	-	4	Yamagata	-	-	-	-	-	-	10550663	1083	-	-	-	-	-	-
AB027399	Influenza B virus	B/Aichi/4/97	-	4	Yamagata	-	-	-	-	-	-	10550663	1083	-	-	-	-	-	-
AB027400	Influenza B virus	B/Aichi/14/97	-	4	-	-	-	-	-	-	-	10550663	1086	-	-	-	-	-	-
AB027401	Influenza B virus	B/Aichi/15/97	-	4	-	-	-	-	-	-	-	10550663	1086	-	-	-	-	-	-
AB027402	Influenza B virus	B/Aichi/33/97	-	4	-	-	-	-	-	-	-	10550663	1086	-	-	-	-	-	-
AB027403	Influenza B virus	B/Aichi/3/98	-	4	-	-	-	-	-	-	-	10550663	1041	-	-	-	-	-	-
AB027404	Influenza B virus	B/Aichi/5/98	-	4	-	-	-	-	-	-	-	10550663	1041	-	-	-	-	-	-
AB027405	Influenza B virus	B/Aichi/8/98	-	4	Yamagata	-	-	-	-	-	-	10550663	1038	-	-	-	-	-	-
AB027406	Influenza B virus	B/Aichi/20/99	-	4	-	-	-	-	-	-	-	10550663	1041	-	-	-	-	-	-
AB027407	Influenza B virus	B/Aichi/4181/82	-	4	Yamagata	-	-	-	-	-	-	10550663	1035	-	-	-	-	-	-
AB027408	Influenza B virus	B/Aichi/1/93	-	4	Yamagata	-	-	-	-	-	-	10550663	1083	-	-	-	-	-	-
AB027495	Influenza B virus	B-Aichi-1-84	-	4	Yamagata	-	-	-	-	-	-	10550663	1080	-	-	-	-	-	-
AB029617	Influenza B virus (B/Osaka/1036/97)	B/Osaka/1036/97	-	4	-	-	-	-	-	-	-	10970406	1043	-	-	-	-	-	-
AB029618	Influenza B virus (B/Osaka/1058/97)	-	-	4	Yamagata	-	-	-	-	-	-	10970406	1083	-	-	-	-	-	-
AB029619	Influenza B virus (B/Osaka/1059/97)	-	-	4	Yamagata	-	-	-	-	-	-	10970406	1061	-	-	-	-	-	-
AB029620	Influenza B virus (B/Osaka/1146/1997)	B/Osaka/1146/1997	-	4	-	-	-	-	-	-	-	10970406	1056	-	-	-	-	-	-
AB029621	Influenza B virus (B/Osaka/710/1997)	B/Osaka/710/1997	-	4	-	-	-	-	-	-	-	10970406	1078	-	-	-	-	-	-
AB029622	Influenza B virus (B/Osaka/711/97)	-	-	4	Yamagata	-	-	-	-	-	-	10970406	1076	-	-	-	-	-	-
AB029623	Influenza B virus (B/Osaka/728/1997)	B/Osaka/728/1997	-	4	-	-	-	-	-	-	-	10970406	1061	-	-	-	-	-	-
AB029624	Influenza B virus (B/Osaka/755/1997)	B/Osaka/755/1997	-	4	-	-	-	-	-	-	-	10970406	1076	-	-	-	-	-	-
AB029625	Influenza B virus (B/Osaka/820/1997)	B/Osaka/820/1997	-	4	-	-	-	-	-	-	-	10970406	1076	-	-	-	-	-	-
AB029626	Influenza B virus (B/Osaka/837/1997)	B/Osaka/837/1997	-	4	-	-	-	-	-	-	-	10970406	1049	-	-	-	-	-	-
AB029627	Influenza B virus (B/Osaka/854/1997)	B/Osaka/854/1997	-	4	-	-	-	-	-	-	-	10970406	1069	-	-	-	-	-	-
AB029628	Influenza B virus (B/Osaka/983/1997)	B/Osaka/983/1997	-	4	-	-	-	-	-	-	-	10970406	1078	-	-	-	-	-	-
AB029629	Influenza B virus (B/Osaka/983/1997-M1)	B/Osaka/983/1997-M1	-	4	-	-	-	-	-	-	-	11514726	1071	-	-	-	-	-	-
AB029630	Influenza B virus (B/Osaka/983/1997-M2)	B/Osaka/983/1997-M2	-	4	-	-	-	-	-	-	-	11514726	1053	-	-	-	-	-	-
AB029631	Influenza B virus (B/Shiga/N18/98)	B/Shiga/N18/98	-	4	Yamagata	-	-	-	-	-	-	11745940	1078	-	-	-	-	-	-
AB029632	Influenza B virus (B/Shiga/T37/98)	B/Shiga/T37/98	-	4	Yamagata	-	-	-	-	-	-	11745940	1076	-	-	-	-	-	-
AB033826	Influenza B virus (B/Osaka/1169/97)	-	-	4	Yamagata	-	-	-	-	-	-	10970406	1060	-	-	-	-	-	-
AB036446	Influenza B virus (B/Kadoma/122/99)	B/Kadoma/122/99	-	4	Yamagata	-	-	-	-	-	-	11745940	1005	-	-	-	-	-	-
AB036447	Influenza B virus (B/kadoma/642/99)	B/kadoma/642/99	-	4	Yamagata	-	-	-	-	-	-	11745940	994	-	-	-	-	-	-
AB036448	Influenza B virus (B/Kadoma/647/99)	B/Kadoma/647/99	-	4	Yamagata	-	-	-	-	-	-	11745940	1005	-	-	-	-	-	-
AB036449	Influenza B virus (B/Kadoma/1076/99)	B/Kadoma/1076/99	-	4	Yamagata	-	-	-	-	-	-	11745940	1005	-	-	-	-	-	-
AB036450	Influenza B virus (B/Kadoma/136/99)	B/Kadoma/136/99	-	4	Yamagata	-	-	-	-	-	-	11745940	1046	-	-	-	-	-	-
AB036451	Influenza B virus (B/Kadoma/506/99)	B/Kadoma/506/99	-	4	Yamagata	-	-	-	-	-	-	11745940	1046	-	-	-	-	-	-
