taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY213671	CY213671	1734	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY240916	CY240916	1703	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY241063	CY241063	1703	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY241289	CY241289	1734	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY241453	CY241453	1709	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY241674	CY241674	1703	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY258588	CY258588	1752	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/CY264337	CY264337	1737	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KJ907647	KJ907647	1704	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KR010427	KR010427	1683	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KR010443	KR010443	1698	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KU322313	KU322313	1738	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KX130814	KX130814	1683	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KX602668	KX602668	1707	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY013684	KY013684	1713	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY130560	KY130560	1744	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY272997	KY272997	1701	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY415628	KY415628	1730	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY487365	KY487365	1777	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY550896	KY550896	1703	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY551371	KY551371	1703	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY551507	KY551507	1695	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY561171	KY561171	1711	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY561267	KY561267	1686	-	-	-	USA	2015	Fulica americana	H10N2	A/American coot/Missouri/15OS6556/2015
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY575212	KY575212	1747	-	-	Sonora	Mexico: Sonora	2009	Anas carolinensis	H6N5	A/green winged teal/Mexico-Sonora/829/2009
alignment/AL_IAV_SEG4/member/iav-ncbi-refseqs-seg4/KY635574	KY635574	1635	-	-	-	Bangladesh	2015	Anas sp.	H7N1	A/duck/Bangladesh/24692/2015
