taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY213676	CY213676	2196	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY240921	CY240921	2201	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY241068	CY241068	2201	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY241294	CY241294	2201	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY241458	CY241458	2201	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY241679	CY241679	2201	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY258587	CY258587	2208	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/CY264336	CY264336	2209	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KJ907646	KJ907646	2151	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KR010426	KR010426	2151	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KR010442	KR010442	2151	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KU322270	KU322270	2189	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KX156694	KX156694	2151	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KX602667	KX602667	2151	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY013683	KY013683	2191	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY130559	KY130559	2198	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY273017	KY273017	2151	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY415804	KY415804	2225	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY550895	KY550895	2211	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY551370	KY551370	2151	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY551506	KY551506	2151	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY561070	KY561070	2201	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY561108	KY561108	2233	-	-	-	USA	2015	Fulica americana	H10N2	A/American coot/Missouri/15OS6556/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY575211	KY575211	2233	-	-	Sonora	Mexico: Sonora	2009	Anas carolinensis	H6N5	A/green winged teal/Mexico-Sonora/829/2009
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY615394	KY615394	2233	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY635496	KY635496	2200	-	-	-	Bangladesh	2015	Limosa limosa	H7N5	A/black-tailed godwit/Bangladesh/24734/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY635563	KY635563	2208	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24704/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY635658	KY635658	2200	-	-	-	Bangladesh	2015	Anas sp.	H7N1	A/duck/Bangladesh/24692/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY635663	KY635663	2208	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24697/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644149	KY644149	2151	-	-	-	Chile	2015	Anas georgica	H10N1	A/yellow-billed pintail/Chile/C4256/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644159	KY644159	2151	-	-	-	Chile	2016	Haematopus ater	H2N2	A/blackish oystercatcher/Chile/C6534/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644206	KY644206	2233	-	-	-	Guatemala	2011	Anas discors	H4N3	A/blue-winged teal/Guatemala/CIP049H103-37/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644229	KY644229	2233	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-76/2013
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644375	KY644375	2233	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-08/2013
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY644404	KY644404	2233	-	-	-	Guatemala	2012	Anas discors	H3N3	A/blue-winged teal/Guatemala/CIP049H109-14/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY684318	KY684318	2211	-	-	Dubois County, Indiana	USA: Dubois County, Indiana	2016	Meleagris gallopavo	H7N8	A/turkey/Indiana/16-001571-8/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY828680	KY828680	2191	-	-	-	USA	2014	Anas platyrhynchos	H2N6	A/mallard/California/UCD353/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY971100	KY971100	2151	-	-	-	China	2013	Anseriformes sp	H1N3	A/duck/Zhejiang/7734/2013
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY983143	KY983143	2233	-	-	-	USA	2015	Anas acuta	H6N5	A/northern pintail/California/HS052A/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY983195	KY983195	2233	-	-	-	USA	2015	Anas clypeata	H8N4	A/northern shoveler/California/HS206/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY990742	KY990742	2233	-	-	-	USA	2016	Anas platyrhynchos	H4N5	A/mallard duck/California/UCD738/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/KY990795	KY990795	2233	-	-	-	USA	2016	Anas platyrhynchos	H12N5	A/mallard duck/California/UCD470/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC339538	LC339538	2223	-	-	Hokkaido	Japan:Hokkaido	2014	Anseriformes sp.	H8N4	A/duck/Hokkaido/220/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC339618	LC339618	2218	-	-	Hokkaido	Japan:Hokkaido	2015	Anseriformes sp.	H11N6	A/duck/Hokkaido/W165/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC339658	LC339658	2218	-	-	Hokkaido	Japan:Hokkaido	2005	Anseriformes sp.	H2N5	A/duck/Hokkaido/W259/2005
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC339896	LC339896	2218	-	-	-	Mongolia	2011	Anseriformes sp.	H4N3	A/duck/Mongolia/17/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC349302	LC349302	2216	-	-	-	Mongolia	2013	Anseriformes sp.	H4N1	A/duck/Mongolia/202/2013
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC371769	LC371769	2216	-	-	Hokkaido	Japan: Hokkaido	2001	Anseriformes	H4N5	A/duck/Hokkaido/1058/2001
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC371785	LC371785	2211	-	-	Hokkaido	Japan: Hokkaido	2013	Anseriformes	H2N1	A/duck/Hokkaido/162/2013
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC371817	LC371817	2220	-	-	Hokkaido	Japan: Hokkaido	2014	Anseriformes	H8N2	A/duck/Hokkaido/207/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/LC431475	LC431475	2214	-	-	Alaska	USA:Alaska	1994	Anseriformes sp.	H2N3	A/duck/Alaska/5111/1994
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF046293	MF046293	2151	-	-	-	USA	2016	Arenaria interpres	H10N4	A/ruddy turnstone/Delaware Bay/368/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF046566	MF046566	2151	-	-	-	USA	2016	Arenaria interpres	H11N4	A/ruddy turnstone/Delaware Bay/303/2016
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF112459	MF112459	2151	-	-	-	Nigeria	2015	Gallus gallus	H5N1	A/chicken/Nigeria/16VIR5840-10/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF112509	MF112509	2151	-	-	-	Nigeria	2015	Gallus gallus	H5N1	A/chicken/Nigeria/16VIR5840-62/2015
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF145812	MF145812	2233	-	-	-	Netherlands	2009	Chroicocephalus ridibundus	H13N2	A/black-headed gull/Netherlands/3/2009
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF146209	MF146209	2233	-	-	-	Georgia	2012	Larus michahellis	H13N8	A/yellow-legged gull/Georgia/4/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF146551	MF146551	2233	-	-	-	Netherlands	2014	Anas platyrhynchos	H2N9	A/mallard duck/Netherlands/14/2014
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF146855	MF146855	2234	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139752/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF146925	MF146925	2233	-	-	-	Netherlands	2009	Anas platyrhynchos	H3N3	A/mallard duck/Netherlands/13/2009
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147019	MF147019	2233	-	-	-	Netherlands	2012	Chroicocephalus ridibundus	H13N6	A/black-headed gull/Netherlands/57/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147331	MF147331	2233	-	-	-	Netherlands	2008	Chroicocephalus ridibundus	H16N8	A/black-headed gull/Netherlands/43/2008
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147408	MF147408	2233	-	-	-	Netherlands	2006	Anas platyrhynchos	H4N2	A/mallard duck/Netherlands/53/2006
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147411	MF147411	2233	-	-	-	Netherlands	2011	Anas platyrhynchos	H7N1	A/mallard duck/Netherlands/40/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147443	MF147443	2233	-	-	-	Netherlands	2008	Chroicocephalus ridibundus	H13N8	A/black-headed gull/Netherlands/2/2008
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147676	MF147676	2233	-	-	-	Netherlands	2006	Anas platyrhynchos	H10N6	A/mallard duck/Netherlands/8/2006
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147734	MF147734	2234	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139579/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147831	MF147831	2234	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139647/2012
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF147833	MF147833	2233	-	-	-	Netherlands	2006	Anas platyrhynchos	H10N6	A/mallard duck/Netherlands/7/2006
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF359870	MF359870	2191	-	-	-	Canada	2009	Anas platyrhynchos	H5N5	A/mallard/Alberta/383/2009
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF575056	MF575056	2233	-	-	-	Netherlands	2011	Chroicocephalus ridibundus	H13N3	A/black-headed gull/Netherlands/8/2011
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF575065	MF575065	2233	-	-	-	Netherlands	2008	Anas platyrhynchos	H3N6	A/mallard duck/Netherlands/62/2008
alignment/AL_IAV_SEG3/member/iav-ncbi-refseqs-seg3/MF575095	MF575095	2233	-	-	-	Netherlands	2014	Chroicocephalus ridibundus	H11N1	A/black-headed gull/Netherlands/21/2014
