sequenceID	source.name	gb_segment	rec_subtype	full_name	isolate.gb_subtype
CY005140	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005371	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY067675	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075051	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079178	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096645	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY130069	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY241070	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376876	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030982	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
GQ466181	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
KU322185	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX977942	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX978035	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KX979064	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KY415892	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635738	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644156	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990773	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371815	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371839	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431473	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF147033	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF148006	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF959980	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978421	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MH134767	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H12N5
MH502289	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H10N2
MH569260	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H3N7
MH579104	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H12N1
MH579142	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H11N8
MH579312	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H9N1
MH596900	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H11N1
MH598164	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H12N5
MK077421	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H3N2
MN055194	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H11N2
MN988211	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H2N3
MW109581	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H6N6
MW333283	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H5N8
MW342697	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H5N8
MW547561	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H10N9
MW848669	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H1N2
MW857523	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H11N7
MW875655	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H4N9
MW876049	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H11N3
MW876095	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H12N1
MZ565041	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H5N2
MZ565337	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H5N2
