taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/AY504601	AY504601	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/CQ903174	CQ903174	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/CY018770	CY018770	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/CY110749	CY110749	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/CY175638	CY175638	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/CY222164	CY222164	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/JX513149	JX513149	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MH233783	MH233783	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MH233895	MH233895	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MK445782	MK445782	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MK946993	MK946993	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MK947009	MK947009	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MK961941	MK961941	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN542824	MN542824	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN588439	MN588439	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN589525	MN589525	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN589573	MN589573	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN589581	MN589581	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MN822676	MN822676	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/MT600864	MT600864	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/NC_002206	NC_002206	10725418	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG3/member/ibv-ncbi-refseqs-seg3/OQ034463	OQ034463	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
