taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KF425654	KF425654	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KF425661	KF425661	24595369	-	USA	2013	Bos taurus	-	D/660	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KF425668	KF425668	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM015493	KM015493	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM015500	KM015500	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM015507	KM015507	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392470	KM392470	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392477	KM392477	-	-	USA	2010	Bos taurus	-	D/OK	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392484	KM392484	-	-	USA	2011	Bos taurus	-	D/660	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392491	KM392491	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392498	KM392498	-	-	USA	2012	Bos taurus	-	D/OK	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KM392505	KM392505	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KT581411	KT581411	-	Mississippi	USA	2014	Bos taurus	nasal swab	D/OK	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KT592517	KT592517	26812282	-	Italy	2014	Bos taurus	-	D/OK	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KT592525	KT592525	26812282	-	Italy	2015	Bos taurus	-	D/OK	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KT592532	KT592532	26812282	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KU710426	KU710426	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KU710427	KU710427	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KU710428	KU710428	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KU710429	KU710429	27154756	-	Mexico	2015	Bos taurus	-	D/OK	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KX768819	KX768819	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KX768826	KX768826	28916759	-	Italy	2016	Sus scrofa	-	D/OK	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KX768833	KX768833	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/KX768840	KX768840	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG3/member/idv-ncbi-refseqs-seg3/LC128437	LC128437	27434213	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Ibaraki/7768/2016
