taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY213674	CY213674	1507	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY240919	CY240919	1507	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY241066	CY241066	1507	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY241292	CY241292	1540	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY241456	CY241456	1540	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY241677	CY241677	1507	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY258589	CY258589	1540	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/CY264338	CY264338	1542	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KJ907648	KJ907648	1497	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KR010428	KR010428	1497	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KR010444	KR010444	1497	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KU322356	KU322356	1541	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KX156677	KX156677	1497	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KX602669	KX602669	1497	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY013685	KY013685	1497	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY130561	KY130561	1497	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY273009	KY273009	1497	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY415760	KY415760	1499	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY487571	KY487571	1565	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY550897	KY550897	1537	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY551372	KY551372	1555	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY551508	KY551508	1497	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG5/member/iav-ncbi-refseqs-seg5/KY561136	KY561136	1565	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
