taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY213675	CY213675	865	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY240920	CY240920	866	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY241067	CY241067	865	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY241293	CY241293	865	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY241457	CY241457	865	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY241678	CY241678	866	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY258592	CY258592	865	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/CY264341	CY264341	865	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KJ907651	KJ907651	823	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KR010431	KR010431	838	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KR010447	KR010447	838	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KU322485	KU322485	851	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KX156643	KX156643	838	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KX602672	KX602672	864	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY013688	KY013688	865	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY130564	KY130564	865	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY273013	KY273013	823	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY415936	KY415936	838	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY487174	KY487174	890	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY550900	KY550900	861	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY551375	KY551375	862	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY551511	KY551511	838	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY561224	KY561224	857	-	-	-	USA	2015	Fulica americana	H10N2	A/American coot/Missouri/15OS6556/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY561246	KY561246	857	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY575216	KY575216	890	-	-	Sonora	Mexico: Sonora	2009	Anas carolinensis	H6N5	A/green winged teal/Mexico-Sonora/829/2009
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY635679	KY635679	865	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24704/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY635715	KY635715	865	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24697/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY635768	KY635768	855	-	-	-	Bangladesh	2015	Anas sp.	H7N1	A/duck/Bangladesh/24692/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY635798	KY635798	855	-	-	-	Bangladesh	2015	Limosa limosa	H7N5	A/black-tailed godwit/Bangladesh/24734/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY644271	KY644271	890	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-08/2013
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY644304	KY644304	890	-	-	-	Guatemala	2012	Anas discors	H3N3	A/blue-winged teal/Guatemala/CIP049H109-14/2012
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY644330	KY644330	890	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-76/2013
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY644481	KY644481	890	-	-	-	Guatemala	2011	Anas discors	H4N3	A/blue-winged teal/Guatemala/CIP049H103-37/2011
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY684323	KY684323	863	-	-	Dubois County, Indiana	USA: Dubois County, Indiana	2016	Meleagris gallopavo	H7N8	A/turkey/Indiana/16-001571-8/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY709694	KY709694	837	-	-	-	Chile	2015	Anas georgica	H10N1	A/yellow-billed pintail/Chile/C4256/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY709699	KY709699	837	-	-	-	Chile	2016	Haematopus ater	H2N2	A/blackish oystercatcher/Chile/C6534/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY828673	KY828673	865	-	-	-	USA	2014	Anas platyrhynchos	H2N6	A/mallard/California/UCD353/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY971240	KY971240	851	-	-	-	China	2013	Anseriformes sp	H1N3	A/duck/Zhejiang/7734/2013
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY983106	KY983106	890	-	-	-	USA	2015	Anas clypeata	H8N4	A/northern shoveler/California/HS206/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY983138	KY983138	890	-	-	-	USA	2015	Anas acuta	H6N5	A/northern pintail/California/HS052A/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY990749	KY990749	890	-	-	-	USA	2016	Anas platyrhynchos	H4N5	A/mallard duck/California/UCD738/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/KY990785	KY990785	890	-	-	-	USA	2016	Anas platyrhynchos	H12N5	A/mallard duck/California/UCD470/2016
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC339543	LC339543	877	-	-	Hokkaido	Japan:Hokkaido	2014	Anseriformes sp.	H8N4	A/duck/Hokkaido/220/2014
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC339623	LC339623	875	-	-	Hokkaido	Japan:Hokkaido	2015	Anseriformes sp.	H11N6	A/duck/Hokkaido/W165/2015
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC339663	LC339663	874	-	-	Hokkaido	Japan:Hokkaido	2005	Anseriformes sp.	H2N5	A/duck/Hokkaido/W259/2005
alignment/AL_IAV_SEG8/member/iav-ncbi-refseqs-seg8/LC339901	LC339901	874	-	-	-	Mongolia	2011	Anseriformes sp.	H4N3	A/duck/Mongolia/17/2011
