taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY213673	CY213673	1410	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY240918	CY240918	1445	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY241065	CY241065	1442	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY241291	CY241291	1445	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY241455	CY241455	1433	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY241676	CY241676	1445	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY258590	CY258590	1433	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/CY264339	CY264339	1441	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KJ907649	KJ907649	1419	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KR010429	KR010429	1416	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KR010445	KR010445	1413	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KU322399	KU322399	1443	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KX130834	KX130834	1410	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KX602670	KX602670	1410	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY013686	KY013686	1435	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY130562	KY130562	1460	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY273005	KY273005	1380	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY415716	KY415716	1413	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY487230	KY487230	1458	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY550898	KY550898	1435	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY551373	KY551373	1435	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY551509	KY551509	1413	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY561038	KY561038	1445	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY561164	KY561164	1437	-	-	-	USA	2015	Fulica americana	H10N2	A/American coot/Missouri/15OS6556/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY575214	KY575214	1469	-	-	Sonora	Mexico: Sonora	2009	Anas carolinensis	H6N5	A/green winged teal/Mexico-Sonora/829/2009
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY635500	KY635500	1433	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24704/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY635723	KY635723	1433	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24697/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY635758	KY635758	1430	-	-	-	Bangladesh	2015	Limosa limosa	H7N5	A/black-tailed godwit/Bangladesh/24734/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY635787	KY635787	1422	-	-	-	Bangladesh	2015	Anas sp.	H7N1	A/duck/Bangladesh/24692/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644160	KY644160	1410	-	-	-	Chile	2015	Anas georgica	H10N1	A/yellow-billed pintail/Chile/C4256/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644185	KY644185	1410	-	-	-	Chile	2016	Haematopus ater	H2N2	A/blackish oystercatcher/Chile/C6534/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644370	KY644370	1462	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-76/2013
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644431	KY644431	1453	-	-	-	Guatemala	2011	Anas discors	H4N3	A/blue-winged teal/Guatemala/CIP049H103-37/2011
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644436	KY644436	1462	-	-	-	Guatemala	2013	Anas discors	H14N4	A/blue-winged teal/Guatemala/CIP049H113-08/2013
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY644482	KY644482	1453	-	-	-	Guatemala	2012	Anas discors	H3N3	A/blue-winged teal/Guatemala/CIP049H109-14/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY684321	KY684321	1435	-	-	Dubois County, Indiana	USA: Dubois County, Indiana	2016	Meleagris gallopavo	H7N8	A/turkey/Indiana/16-001571-8/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY828669	KY828669	1438	-	-	-	USA	2014	Anas platyrhynchos	H2N6	A/mallard/California/UCD353/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY971184	KY971184	1410	-	-	-	China	2013	Anseriformes sp	H1N3	A/duck/Zhejiang/7734/2013
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY983178	KY983178	1469	-	-	-	USA	2015	Anas acuta	H6N5	A/northern pintail/California/HS052A/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY983212	KY983212	1462	-	-	-	USA	2015	Anas clypeata	H8N4	A/northern shoveler/California/HS206/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY990770	KY990770	1471	-	-	-	USA	2016	Anas platyrhynchos	H12N5	A/mallard duck/California/UCD470/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/KY990811	KY990811	1471	-	-	-	USA	2016	Anas platyrhynchos	H4N5	A/mallard duck/California/UCD738/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC339541	LC339541	1446	-	-	Hokkaido	Japan:Hokkaido	2014	Anseriformes sp.	H8N4	A/duck/Hokkaido/220/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC339621	LC339621	1449	-	-	Hokkaido	Japan:Hokkaido	2015	Anseriformes sp.	H11N6	A/duck/Hokkaido/W165/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC339661	LC339661	1449	-	-	Hokkaido	Japan:Hokkaido	2005	Anseriformes sp.	H2N5	A/duck/Hokkaido/W259/2005
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC339899	LC339899	1434	-	-	-	Mongolia	2011	Anseriformes sp.	H4N3	A/duck/Mongolia/17/2011
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC349305	LC349305	1440	-	-	-	Mongolia	2013	Anseriformes sp.	H4N1	A/duck/Mongolia/202/2013
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC371772	LC371772	1449	-	-	Hokkaido	Japan: Hokkaido	2001	Anseriformes	H4N5	A/duck/Hokkaido/1058/2001
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC371788	LC371788	1435	-	-	Hokkaido	Japan: Hokkaido	2013	Anseriformes	H2N1	A/duck/Hokkaido/162/2013
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC371820	LC371820	1451	-	-	Hokkaido	Japan: Hokkaido	2014	Anseriformes	H8N2	A/duck/Hokkaido/207/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/LC431478	LC431478	1430	-	-	Alaska	USA:Alaska	1994	Anseriformes sp.	H2N3	A/duck/Alaska/5111/1994
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF046513	MF046513	1413	-	-	-	USA	2016	Arenaria interpres	H10N4	A/ruddy turnstone/Delaware Bay/368/2016
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF112751	MF112751	1350	-	-	-	Nigeria	2015	Gallus gallus	H5N1	A/chicken/Nigeria/16VIR5840-10/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF112803	MF112803	1350	-	-	-	Nigeria	2015	Gallus gallus	H5N1	A/chicken/Nigeria/16VIR5840-62/2015
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146514	MF146514	1467	-	-	-	Netherlands	2009	Chroicocephalus ridibundus	H13N2	A/black-headed gull/Netherlands/3/2009
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146592	MF146592	1460	-	-	-	Georgia	2012	Larus michahellis	H13N8	A/yellow-legged gull/Georgia/4/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146644	MF146644	1464	-	-	-	Netherlands	2006	Anas platyrhynchos	H10N6	A/mallard duck/Netherlands/8/2006
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146720	MF146720	1459	-	-	-	Netherlands	2014	Anas platyrhynchos	H2N9	A/mallard duck/Netherlands/14/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146950	MF146950	1466	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139752/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF146961	MF146961	1460	-	-	-	Netherlands	2008	Chroicocephalus ridibundus	H16N8	A/black-headed gull/Netherlands/43/2008
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147227	MF147227	1466	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139579/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147318	MF147318	1461	-	-	-	Netherlands	2012	Chroicocephalus ridibundus	H13N6	A/black-headed gull/Netherlands/57/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147444	MF147444	1460	-	-	-	Netherlands	2008	Chroicocephalus ridibundus	H13N8	A/black-headed gull/Netherlands/2/2008
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147579	MF147579	1459	-	-	-	Netherlands	2011	Anas platyrhynchos	H7N1	A/mallard duck/Netherlands/40/2011
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147815	MF147815	1453	-	-	-	Netherlands	2009	Anas platyrhynchos	H3N3	A/mallard duck/Netherlands/13/2009
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF147888	MF147888	1464	-	-	-	Netherlands	2006	Anas platyrhynchos	H10N6	A/mallard duck/Netherlands/7/2006
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF148018	MF148018	1466	-	-	-	Sweden	2012	Anas platyrhynchos	H15N5	A/mallard duck/Sweden/139647/2012
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF148023	MF148023	1467	-	-	-	Netherlands	2006	Anas platyrhynchos	H4N2	A/mallard duck/Netherlands/53/2006
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF359876	MF359876	1435	-	-	-	Canada	2009	Anas platyrhynchos	H5N5	A/mallard/Alberta/383/2009
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF575033	MF575033	1458	-	-	-	Netherlands	2014	Chroicocephalus ridibundus	H11N1	A/black-headed gull/Netherlands/21/2014
alignment/AL_IAV_SEG6/member/iav-ncbi-refseqs-seg6/MF575135	MF575135	1465	-	-	-	Netherlands	2008	Anas platyrhynchos	H3N6	A/mallard duck/Netherlands/62/2008
