isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/Italy/59542/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	-	-	host	Bos taurus	-	Italy	-	MN165182	MN165183	MN165185	MN165188	MN165187	MN165184	MN165186
D/swine/Italy/73601-3/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	-	-	host	Sus scrofa	-	Italy	-	MK131022	MK131023	MK131024	MK131026	MK131027	MK131025	MK131028
D/swine/France/29-220655/2022	-	-	-	-|-|-|-|-|-|-	2022	DEC	21	host	Sus scrofa	-	France	-	PP133482	PP133483	PP133484	PP133485	PP133486	PP133487	PP133488
D/bovine/Oklahoma/1544/2018	-	-	D660	-|-|-|D660|-|-|-	2018	NOV	1	host	Bos taurus	-	USA	-	MW632185	MW632186	MW632187	MW632188	MW632189	MW632190	MW632191
D/bovine/Italy/17RS395-6/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	FEB	8	host	Bos taurus	-	Italy	-	MK965384	MK965368	MK965337	MK965262	MK965295	MK965359	MK965316
D/bovine/Denmark/5358904609-3/2019	-	-	DOK	-|-|-|DOK|-|-|-	2019	MAR	12	host	Bos taurus	nasal swab	Denmark	-	OM468188	OM468203	OM468227	OM468247	OM468259	OM468269	OM468281
D/bovine/Italy/174489/2019	-	-	D660	-|-|-|D660|-|-|-	2019	-	-	host	Bos taurus	-	Italy	-	MT349593	MT349594	MT349596	MT349599	MT349598	MT349595	MT349597
D/bovine/Mississippi/C00158N/2015	-	-	DOK	-|-|-|DOK|-|-|-	2015	JAN	9	host	Bos taurus	nasal swab	USA	-	MT511450	MT511451	MT511452	MT511453	MT511454	MT511455	MT511456
D/bovine/Namibia/255880/2020	-	-	-	-|-|-|-|-|-|-	2020	NOV	10	host	Bos taurus	nasal swab	Namibia	-	OK513022	OK513023	OK513024	OK513025	OK513026	OK513027	OK513028
D/bovine/California/17/2019	-	-	D660	-|-|-|D660|-|-|-	2019	JAN	16	host	Bos taurus	sick bovine's nasal swab	USA	-	MW079431	MW079438	MW079452	MW079473	MW079466	MW079445	MW079459
