taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/AY504600	AY504600	15763145	2369	-	Australia	2000	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Victoria/504/2000
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/AY504616	AY504616	-	2369	-	-	-	-	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Hong Kong/330/2001 egg adapted
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/AY687393	AY687393	-	2267	-	China	-	-	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Beijing/76/98
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg2/CQ903172	CQ903172	-	2396	Hong Kong	China	1973	Homo sapiens	-	-	-	-
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239171	CY239171	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-002/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239187	CY239187	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-007/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239195	CY239195	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-008/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239211	CY239211	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-011/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239219	CY239219	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-015/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239227	CY239227	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-016/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY239254	CY239254	-	2259	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-023/2015
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243306	CY243306	-	2325	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7920_07/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243314	CY243314	-	2319	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7488_09/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243322	CY243322	-	2259	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/1660_02/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243330	CY243330	-	2325	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7558_06/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243338	CY243338	-	2259	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/7699_03/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243346	CY243346	-	2259	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7567_05/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243354	CY243354	-	2325	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/8070_02/2014
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243362	CY243362	-	2299	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6714_03/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243370	CY243370	-	2320	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/8733_09/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243378	CY243378	-	2259	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6104_08/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243386	CY243386	-	2325	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6738_08/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243394	CY243394	-	2328	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/9095_03/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243402	CY243402	-	2320	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/9475_04/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243410	CY243410	-	2325	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/8778_07/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY243418	CY243418	-	2325	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/5906_02/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262867	CY262867	-	2328	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-002/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262875	CY262875	-	2262	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-012/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262891	CY262891	-	2321	-	USA	2016	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-16-019/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262899	CY262899	-	2333	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-021/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262907	CY262907	-	2259	-	USA	2016	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-16-001/2016
alignment/AL_IBV_SEG2/member/ibv-ncbi-curated-segment-2/CY262915	CY262915	-	2262	-	USA	2017	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-17-002/2017
