strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
D/bovine/Mississippi/C00013N/2014	FALSE	1	2014	FEB	7	Bos taurus; 6 to 8 months	nasal swab	USA	Mississippi	0	0	0	KT581416	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/U1/2016	FALSE	1	2016	SEP	26	Sus scrofa	-	China	Guangdong	0	0	0	KY441109	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/SK/2018	FALSE	1	2018	APR	15	Bos taurus	-	China	NULL	0	0	0	MH315967	0	0	0	0	0	0	1	0	0	0
D/bovine/Pennsylvania/321/2017	FALSE	3	2017	OCT	16	Bos taurus	nasal swab	USA	Pennsylvania	0	0	0	MH785021	0	MH785020	MH785019	0	0	0	1	0	1	1
D/swine/Guangdong/LX-2/2018	FALSE	1	2018	APR	15	Sus scrofa	-	China	NULL	0	0	0	MH315966	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/YS1/2016	FALSE	1	2016	NOV	11	Sus scrofa	-	China	Guangdong	0	0	0	KY441104	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/PS1/2016	FALSE	1	2016	OCT	9	Sus scrofa	-	China	Guangdong	0	0	0	KY441108	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/YC/2017	FALSE	1	2017	MAR	23	Bos taurus	-	China	NULL	0	0	0	MH315970	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/PY1/2016	FALSE	1	2016	FEB	10	buffalo	-	China	Guangdong, Panyu	0	0	0	KY441121	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/P8/2016	FALSE	1	2016	OCT	8	Sus scrofa	-	China	Guangdong	0	0	0	KY441106	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/LG5/2016	FALSE	1	2016	APR	15	dairy cow	-	China	Guangdong, Luogang	0	0	0	KY441112	0	0	0	0	0	0	1	0	0	0
D/bovine/Mississippi/C00030P/2014	FALSE	1	2014	FEB	19	Bos taurus; 6 to 8 months	nasopharyngeal swab	USA	Mississippi	0	0	0	KT581418	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/SQ/2018	FALSE	1	2018	MAR	10	Bos taurus	-	China	NULL	0	0	0	MH315968	0	0	0	0	0	0	1	0	0	0
D/bovine/Ireland/010807/2016	FALSE	3	2016	-	-	Bos taurus	-	Ireland	NULL	0	0	0	KY992093	0	KY992097	0	0	0	0	1	0	2	0
D/bovine/Guangdong/RS1/2016	FALSE	1	2016	MAR	25	Bos taurus	-	China	Guangdong	0	0	0	KY441119	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/NN13/2017	FALSE	1	2017	MAR	23	Sus scrofa	-	China	NULL	0	0	0	MH315965	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/RS4/2016	FALSE	1	2016	MAR	25	Bos taurus	-	China	Guangdong	0	0	0	KY441120	0	0	0	0	0	0	1	0	0	0
D/bovine/Ireland/023638/2016	FALSE	3	2016	-	-	Bos taurus	-	Ireland	NULL	0	0	0	KY992094	0	KY992098	0	0	0	0	1	0	2	0
D/caprine/Guangdong/JK1/2016	FALSE	1	2016	JUL	5	goat	-	China	Guangdong, Qingyuan	0	0	0	KY441122	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/GDQY/2018	FALSE	1	2018	MAR	22	Bos taurus	nasal swab	China	Guangdong, Qingyuan	0	0	0	MK290418	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/YS2/2016	FALSE	1	2016	NOV	11	Sus scrofa	-	China	Guangdong	0	0	0	KY441105	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/QQ1/2016	FALSE	1	2016	MAY	20	dairy cow	-	China	Guangdong	0	0	0	KY441114	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/LG9/2016	FALSE	1	2016	APR	15	dairy cow	-	China	Guangdong, Luogang	0	0	0	KY441113	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/QQ7/2016	FALSE	1	2016	MAY	20	dairy cow	-	China	Guangdong	0	0	0	KY441116	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/25969/2017	FALSE	1	2017	MAR	23	Bos taurus	-	China	NULL	0	0	0	MH315969	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/U16/2016	FALSE	1	2016	SEP	26	Sus scrofa	-	China	Guangdong	0	0	0	KY441110	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/LG2/2016	FALSE	1	2016	APR	15	dairy cow	-	China	Guangdong, Luogang	0	0	0	KY441111	0	0	0	0	0	0	1	0	0	0
D/bovine/Ireland/082301/2014	FALSE	3	2014	-	-	Bos taurus	-	Ireland	NULL	0	0	0	KY992091	0	KY992096	0	0	0	0	1	0	2	0
D/bovine/Guangdong/QQ12/2016	FALSE	1	2016	MAY	20	dairy cow	-	China	Guangdong	0	0	0	KY441117	0	0	0	0	0	0	1	0	0	0
D/bovine/Mississippi/C00014N/2014	FALSE	1	2014	FEB	7	Bos taurus; 6 to 8 months	nasal swab	USA	Mississippi	0	0	0	KT581417	0	0	0	0	0	0	1	0	0	0
D/bovine/Guangdong/NS1/2016	FALSE	1	2016	MAR	16	buffalo	-	China	Guangdong, Nansha	0	0	0	KY441118	0	0	0	0	0	0	1	0	0	0
D/swine/Guangdong/P14/2016	FALSE	1	2016	OCT	8	Sus scrofa	-	China	Guangdong	0	0	0	KY441107	0	0	0	0	0	0	1	0	0	0
D/bovine/Ireland/007780/2014	FALSE	3	2014	-	-	Bos taurus	-	Ireland	NULL	0	0	0	KY992090	0	KY992095	0	0	0	0	1	0	2	0
D/bovine/Ireland/037157/2015	FALSE	2	2015	-	-	Bos taurus	-	Ireland	NULL	0	0	0	KY992092	0	KY992100	0	0	0	0	1	0	1	0
D/bovine/Guangdong/QQ4/2016	FALSE	1	2016	MAY	20	dairy cow	-	China	Guangdong	0	0	0	KY441115	0	0	0	0	0	0	1	0	0	0
