isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/France/B8D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038781	-	-	-
D/bovine/France/B14D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038782	-	-	-
D/bovine/Italy/34471/2017	-	-	-	-|-|-|-|-|-|-	2017	-	-	host	Bos taurus	-	Italy	-	MT349553	MT349555	-	-	-	-	-
D/swine/Guangdong/NN13/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	23	host	Sus scrofa	-	China	-	-	-	-	MH315965	-	-	-
D/bovine/South Dakota/1925152/2019	-	-	-	-|-|-|-|-|-|-	2019	DEC	18	host	Bos taurus	lung	USA	-	-	-	OR126152	OR126155	OR126158	-	-
D/bovine/France/O-EA23D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038796	ON038816	ON038837	-	ON038858	ON038879	ON038900
D/bovine/Pakistan/Pak-08/2024	-	-	DOK	-|-|-|DOK|-|-|-	2024	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763080	-	-	-
D/bovine/France/O-EB19/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038800	ON038820	ON038841	-	ON038862	ON038883	ON038904
D/swine/Guangdong/YS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	NOV	11	host	Sus scrofa	-	China	-	-	-	-	KY441104	-	-	-
D/bovine/Guangdong/SQ/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	MAR	10	host	Bos taurus	-	China	-	-	-	-	MH315968	-	-	-
D/bovine/France/O-EB31/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038807	ON038827	ON038848	-	ON038869	ON038890	ON038911
D/bovine/Guangdong/YC/2017	-	-	DOK	-|-|-|DOK|-|-|-	2017	MAR	23	host	Bos taurus	-	China	-	-	-	-	MH315970	-	-	-
D/bovine/Guangdong/QQ7/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAY	20	host	Bos taurus	-	China	-	-	-	-	KY441116	-	-	-
D/bovine/France/O-EB13D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038797	ON038817	ON038838	-	ON038859	ON038880	ON038902
D/bovine/France/B34/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038791	-	-	-
D/bovine/France/B13D/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038784	-	-	-
D/bovine/Kirklareli/2202-15/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	FEB	22	host	Bos taurus	-	Turkey	-	-	-	-	PP574424	-	-	-
D/bovine/France/O-EB8D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038814	ON038835	ON038856	-	ON038877	ON038898	ON038919
D/bovine/Guangdong/RS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	25	host	Bos taurus	-	China	-	-	-	-	KY441119	-	-	-
D/swine/Guangdong/PS1/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	OCT	9	host	Sus scrofa	-	China	-	-	-	-	KY441108	-	-	-
D/bovine/France/O-EB22D/2018	-	-	-	-|-|-|-|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	ON038804	ON038824	ON038845	-	ON038866	ON038886	ON038908
D/bovine/Kirklareli/403-10/2020	-	-	DOK	-|-|-|DOK|-|-|-	2020	DEC	28	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP297653	-	-	-
D/bovine/France/B33/2018	-	-	DOK	-|-|-|DOK|-|-|-	2018	FEB	28	host	Bos taurus	nasal swab	France	-	-	-	-	ON038790	-	-	-
D/bovine/Italy/16RS483-3/2016	-	-	DOK	-|-|-|DOK|-|-|-	2016	MAR	14	host	Bos taurus	-	Italy	-	-	-	-	MK965260	-	-	-
D/bovine/Pakistan/Pak-01/2023	-	-	DOK	-|-|-|DOK|-|-|-	2023	-	-	host	Bos taurus	nasal swab	Pakistan	-	-	-	-	PP763073	-	-	-
D/bovine/Italy/32965/2021	-	-	D660	-|-|-|D660|-|-|-	2021	-	-	host	Bos taurus	-	Italy	-	-	-	-	ON166839	-	-	-
D/bovine/Bursa/ET-130/2013	-	-	DOK	-|-|-|DOK|-|-|-	2013	-	-	host	Bos taurus	nasal swab	Turkey	-	-	-	-	OP353622	-	-	-
D/bovine/Ireland/082301/2014	-	-	DOK	-|-|-|DOK|-|-|-	2014	-	-	host	Bos taurus	-	Ireland	-	-	-	-	KY992091	-	KY992096	-
D/bovine/Kirklareli/2202-4/2021	-	-	DOK	-|-|-|DOK|-|-|-	2021	FEB	22	host	Bos taurus	nasal swab	Turkey	-	-	-	-	PP832904	-	-	-
