sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country
AB000604	Influenza C virus (C/Johannesburg/66)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000605	Influenza C virus (C/Sapporo/71)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000606	Influenza C virus (C/Kanagawa/1/76)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000607	Influenza C virus (C/Miyagi/77)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000608	Influenza C virus (C/California/78)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000609	Influenza C virus (C/Kyoto/1/79)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000610	Influenza C virus (C/Hyogo/1/83)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000611	Influenza C virus (C/Yamagata/1/86)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000612	Influenza C virus (C/Yamagata/8/88)	-	6	6	-	-	-	-	-	-	-	9354270	1137	Homo sapiens	-	-	-
AB000613	Influenza C virus (C/Yamagata/10/89)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000614	Influenza C virus (C/Miyagi/9/91)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000720	Influenza C virus (C/Mississippi/80)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000721	Influenza C virus (C/Yamagata/26/81)	-	6	6	-	-	-	-	-	-	-	9354270	1137	Homo sapiens	-	-	-
AB000722	Influenza C virus (C/pig/Beijing/115/81)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000723	Influenza C virus (C/Nara/82)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000724	Influenza C virus (C/Kyoto/41/82)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000725	Influenza C virus (C/England/83)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB000726	Influenza C virus (C/Nara/1/85)	-	6	6	-	-	-	-	-	-	-	9354270	1137	Homo sapiens	-	-	-
AB000727	Influenza C virus (C/Nara/2/85)	-	6	6	-	-	-	-	-	-	-	9354270	1137	Homo sapiens	-	-	-
AB000728	Influenza C virus (C/Yamagata/9/88)	-	6	6	-	-	-	-	-	-	-	9354270	1136	Homo sapiens	-	-	-
AB002469	Influenza C virus (C/Yamagata/1/88)	C/Yamagata/1/88	7	7	-	-	-	-	-	-	-	1388016	918	Homo sapiens	-	-	-
AB034155	Influenza C virus	C/Yamagata/64	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034156	Influenza C virus	C/Johannesburg/4/67	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
