source.name	sequenceID
idv-ncbi-refseqs-seg4	KF425655
idv-ncbi-refseqs-seg4	KF425662
idv-ncbi-refseqs-seg4	KF425669
idv-ncbi-refseqs-seg4	KM015494
idv-ncbi-refseqs-seg4	KM015501
idv-ncbi-refseqs-seg4	KM015508
idv-ncbi-refseqs-seg4	KM392471
idv-ncbi-refseqs-seg4	KM392478
idv-ncbi-refseqs-seg4	KM392485
idv-ncbi-refseqs-seg4	KM392492
idv-ncbi-refseqs-seg4	KM392499
idv-ncbi-refseqs-seg4	KM392506
idv-ncbi-refseqs-seg4	KT581412
idv-ncbi-refseqs-seg4	KT592522
idv-ncbi-refseqs-seg4	KT592526
idv-ncbi-refseqs-seg4	KT592533
idv-ncbi-refseqs-seg4	KU171126
idv-ncbi-refseqs-seg4	KU171127
idv-ncbi-refseqs-seg4	KU171128
idv-ncbi-refseqs-seg4	KU171129
idv-ncbi-refseqs-seg4	KX768820
idv-ncbi-refseqs-seg4	KX768827
idv-ncbi-refseqs-seg4	KX768834
idv-ncbi-refseqs-seg4	KX768841
idv-ncbi-refseqs-seg4	LC128433
idv-ncbi-refseqs-seg4	LC270268
idv-ncbi-refseqs-seg4	LC318668
idv-ncbi-refseqs-seg4	MG720235
idv-ncbi-refseqs-seg4	MK054184
idv-ncbi-refseqs-seg4	MK101121
idv-ncbi-refseqs-seg4	NC_036618
