isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Yamagata/8/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123320	LC123422	LC123524	AB064398	LC123756	AB064433	AB064440
C/Kansas/1/79	-	-	Aichi	-|-|-|Aichi|-|-|-	1979	-	-	host	Homo sapiens	-	USA	-	LC123295	LC123397	LC123499	AB035360	LC123732	AB099601	AB099626
C/Yamagata/9/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099432	AB099457	AB099531	AB099411	AB099556	AB099580	AB099604
C/Miyagi/4/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086696	AB086724	AB086741	AB086667	AB086758	AB086785	AB086808
C/Shizuoka/79	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1979	-	-	host	Homo sapiens	-	Japan	-	LC123298	LC123400	LC123502	AB086656	LC123734	AB086761	AB086788
C/Yamagata/10/89	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1989	-	-	host	Homo sapiens	-	Japan	-	LC123310	LC123412	LC123514	D49361	LC123746	AB000613	AB034175
C/Yamagata/32/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123377	LC123479	LC123581	LC013259	LC123807	LC123875	LC125039
C/Aichi/1/81	-	-	Aichi	-|-|-|Aichi|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123300	LC123402	LC123504	D28970	LC123736	D78420	AB034162
C/Saitama/1/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099441	AB099466	AB099540	AB099420	AB099565	AB099589	AB099613
C/Hiroshima/246/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099447	AB099472	AB099546	AB099426	AB099571	AB099595	AB099619
C/Miyagi/9/96	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123319	LC123421	LC123523	AB086664	LC123755	AB086782	AB086805
C/Hiroshima/247/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099448	AB099473	AB099547	AB099427	AB099572	AB099596	AB099620
C/Sri Lanka/68/2023	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2023	-	-	host	Homo sapiens	Nasopharyngeal swab of a child	Sri Lanka	-	PQ044620	PQ044621	PQ044622	PQ044623	PQ044624	PQ044625	PQ044626
C/Miyagi/7/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123317	LC123419	LC123521	AB064411	LC123753	AB086773	AB086796
C/Miyagi/3/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739916	LC739929	LC739942	LC739901	LC739955	LC739968	LC739981
C/Yamagata/16/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123375	LC123477	LC123579	LC013257	LC123805	LC123873	LC125037
C/Miyagi/1/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC739910	LC739923	LC739936	LC739887	LC739949	LC739962	LC739975
C/Connecticut/UNK154/2017	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2017	-	-	host	Homo sapiens	nasopharyngeal swab	USA	-	OK625709	OK625708	OK625707	OK625710	OK625712	OK625706	OK625711
C/Miyagi/4/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086681	AB086709	AB064458	AB064409	AB064479	AB086770	AB086793
C/Miyagi/3/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099438	AB099463	AB099537	AB099417	AB099562	AB099586	AB099610
C/Leyte/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979716	AB980274	AB981331	AB978563	AB981434	AB982143	AB985628
C/Yamagata/27/2004	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2004	-	-	host	Homo sapiens	-	Japan	-	LC123337	LC123439	LC123541	AB252155	LC123770	LC123835	LC124999
C/Miyagi/9/91	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D87370	D87374	D87378	D87394	D87382	AB000614	AB034180
C/Sendai/TU5/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979710	AB980268	AB981328	AB978557	AB981428	AB982137	AB985622
C/Miyagi/4/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099439	AB099464	AB099538	AB099418	AB099563	AB099587	AB099611
C/Miyagi/3/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123316	LC123418	LC123520	AB064408	LC123752	AB086769	AB086792
C/Yamagata/7/2002	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2002	-	-	host	Homo sapiens	-	Japan	-	LC123326	LC123428	LC123530	AB899778	LC123761	LC123824	LC124988
C/Miyagi/7/2018	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739918	LC739931	LC739944	LC739905	LC739957	LC739970	LC739983
C/Saitama/3/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099443	AB099468	AB099542	AB099422	AB099567	AB099591	AB099615
C/Leyte/2/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979705	AB980263	AB981323	AB978549	AB981423	AB982132	AB985617
C/Miyagi/4/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086689	AB086717	AB064464	AB064404	AB064485	AB086778	AB086801
C/Sendai/TU1/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979707	AB980265	AB981325	AB978553	AB981425	AB982134	AB985619
C/Yamagata/9/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064419	AB064427	AB064450	AB064399	AB064471	AB064434	AB064441
C/Yamagata/8/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099436	AB099461	AB099535	AB099415	AB099560	AB099584	AB099608
C/Miyagi/2/92	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	D87368	D87372	D87376	D87392	D87380	AB086766	AB086789
C/Miyagi/7/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086691	AB086719	AB064465	AB064405	AB064486	AB086780	AB086803
C/Yamagata/7/88	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1988	-	-	host	Homo sapiens	-	Japan	-	LC123308	LC123410	LC123512	D28967	LC123744	AB086762	AB034172
C/Yamagata/13/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123374	LC123476	LC123578	LC013254	LC123804	LC123872	LC125036
C/Miyagi/3/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086687	AB086715	AB064463	AB064414	AB064484	AB086776	AB086799
C/Yamagata/4/2012	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC123366	LC123468	LC123570	AB899781	LC123796	LC123864	LC125028
C/Miyagi/7/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	LC739914	LC739927	LC739940	LC739896	LC739953	LC739966	LC739979
C/Sendai/TU2/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	AB979712	AB980270	AB981330	AB978559	AB981430	AB982139	AB985624
C/Biliran/2/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979714	AB980272	AB981335	AB978561	AB981432	AB982141	AB985626
C/Miyagi/7/91	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	-	-	-	-	AB086677	AB086705	AB086734	AB086660	AB086751	AB086765	AB034179
C/Leyte/3/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979706	AB980264	AB981324	AB978550	AB981424	AB982133	AB985618
C/Miyagi/3/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086698	AB086726	AB086743	AB086669	AB086760	AB086787	AB086811
C/Yamagata/6/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123373	LC123475	LC123577	LC013253	LC123803	LC123871	LC125035
C/Yamagata/2/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099431	AB099456	AB099530	AB099410	AB099555	AB099579	AB099603
C/canine/China/Guangzhou-1/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Canis familiaris	swab	China	-	OQ030191	OQ030190	OQ030189	OQ030185	OQ030187	OQ030186	OQ030188
C/Palawan/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979719	AB980277	AB981337	AB978566	AB981437	AB982146	AB985631
C/Miyagi/77	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	1977	-	-	host	Homo sapiens	-	Japan	-	LC123293	LC123395	LC123497	D63471	LC123730	AB000607	AB034160
C/Yamagata/15/2004	-	-	Yamagata	-|-|-|Yamagata|-|-|-	2004	MAY	11	host	Homo sapiens	-	Japan	-	LC123334	LC123436	LC123538	AB252154	AB684313	LC123832	LC124996
C/Miyagi/1/2015	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2015	-	-	host	Homo sapiens	-	Japan	-	LC739912	LC739925	LC739938	LC739890	LC739951	LC739964	LC739977
C/China/Taian062/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	OCT	24	host	Homo sapiens	oropharyngeal swab	China	-	OQ733373	OQ733368	OQ733374	OQ733370	OQ733372	OQ733371	OQ733369
C/Yamagata/35/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123379	LC123481	LC123583	LC013261	LC123809	LC123877	LC125041
C/Yamagata/7/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123301	LC123403	LC123505	AB899775	LC123737	LC123819	LC124983
C/Yamagata/2/2010	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2010	FEB	9	host	Homo sapiens	-	Japan	-	LC123361	LC123463	LC123565	AB899780	AB684316	LC123859	LC125023
C/Hiroshima/248/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099449	AB099474	AB099548	AB099428	AB099573	AB099597	AB099621
C/Miyagi/12/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC739909	LC739922	LC739935	LC739885	LC739948	LC739961	LC739974
C/Yamagata/26/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123303	LC123405	LC123507	D28971	LC123739	AB000721	AB034163
C/Miyagi/3/91	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	D87369	D87373	D87377	D87393	D87381	D87385	D87389
C/Hiroshima/249/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099446	AB099471	AB099545	AB099425	AB099570	AB099594	AB099618
C/Yamagata/3/2000	-	-	Mississippi	-|-|-|Mississippi|-|-|-	2000	FEB	2	host	Homo sapiens	-	Japan	-	LC123323	LC123425	LC123527	AB099413	AB684311	AB099582	AB099606
C/Miyagi/1/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123315	LC123417	LC123519	AB064407	LC123751	AB086767	AB086790
C/Leyte/1/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979704	AB980262	AB981322	AB978548	AB981422	AB982131	AB985616
C/Miyagi/4/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC739911	LC739924	LC739937	LC739889	LC739950	LC739963	LC739976
