sequenceID	Subtype
KF425669	D/OK
KM392471	D/660
KM392485	D/660
KM392492	D/660
KM392506	D/660
KU171126	D/660
KU171127	D/660
KU171128	D/660
MK054184	D/660
KF425655	D/OK
KF425662	D/660
KM015494	D/OK
KM015501	D/OK
KM015508	D/OK
KM392478	D/OK
KM392499	D/OK
KT581412	D/OK
KT592522	D/OK
KT592526	D/OK
KT592533	D/OK
KU171129	D/OK
KX768820	D/OK
KX768827	D/OK
KX768834	D/OK
KX768841	D/OK
MK101121	D/OK
NC_036618	D/OK
MG720235	D/OK
LC270268	D/Yama2016
LC318668	D/Yama2016
LC128433	D/Yama2016
LC494108	D/Yama2019
