taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KF425653	KF425653	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KF425660	KF425660	24595369	-	USA	2013	Bos taurus	-	D/660	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KF425667	KF425667	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM015492	KM015492	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM015499	KM015499	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM015506	KM015506	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392469	KM392469	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392476	KM392476	-	-	USA	2010	Bos taurus	-	D/OK	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392483	KM392483	-	-	USA	2011	Bos taurus	-	D/660	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392490	KM392490	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392497	KM392497	-	-	USA	2012	Bos taurus	-	D/OK	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KM392504	KM392504	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KT581410	KT581410	26386554	-	USA	2014	Bos taurus	nasal swab	D/OK	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KT592521	KT592521	26812282	-	Italy	2014	Bos taurus	-	D/OK	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG2/member/idv-ncbi-refseqs-seg2/KT592524	KT592524	26812282	-	Italy	2015	Bos taurus	-	D/OK	D/bovine/Italy/46484/2015
