sequenceID	source.name	strain	segment
AB284320	iav-ncbi-refseqs-seg4	A/Aichi/2/1968(H3N2)	4
KY561179	iav-ncbi-refseqs-seg5	A/American coot/Missouri/15OS6556/2015(H10N2)	5
MF146268	iav-ncbi-refseqs-seg4	A/black-headed gull/Netherlands/23/2009(H16N3)	4
MK159404	iav-ncbi-refseqs-seg6	A/California/04/2009(H1N1)	6
MK159405	iav-ncbi-refseqs-seg4	A/California/04/2009(H1N1)	4
AF098538	iav-ncbi-refseqs-seg4	A/chicken/chiapis/15224/97	4
KR732539	iav-ncbi-refseqs-seg4	A/chicken/Egypt/07118-NLQP/2007(H5N1)	4
MK968546	iav-ncbi-refseqs-seg6	A/chicken/Hamadan/RIV-1/2017(H9N2)	6
CY015115	iav-ncbi-refseqs-seg4	A/chicken/Italy/312/1997(H5N2)	4
X15281	iav-ncbi-refseqs-seg6	A/Chile/1/83/(H1N1)	6
CY006009	iav-ncbi-refseqs-seg4	A/duck/AUS/341/1983(H15N8)	4
MW109695	iav-ncbi-refseqs-seg3	A/environment/Jiangxi/3.14_NCDZT83T-E/2016(H7N9)	3
KY273001	iav-ncbi-refseqs-seg7	A/environment/Korea/W541/2016(H5N6)	7
CY240835	iav-ncbi-refseqs-seg1	A/environment/New Jersey/UGAI16-0787/2016(H16N3)	1
CY005802	iav-ncbi-refseqs-seg6	A/equine/Prague/1/1956(H7N7)	6
L06582	iav-ncbi-refseqs-seg6	A/Equine/Sao paulo/6/69 (H3N8)	6
CY125947	iav-ncbi-refseqs-seg6	A/flat-faced bat/Peru/033/2010(H18N11)	6
CY125945	iav-ncbi-refseqs-seg4	A/flatfaced bat/Peru/033/2010(H18N11)	4
AF116200	iav-ncbi-refseqs-seg4	A/Guinea fowl/NY/20221-11/95 (H2N2)	4
CY014694	iav-ncbi-refseqs-seg4	A/gull/Maryland/704/1977(H13N6)	4
MW024907	iav-ncbi-refseqs-seg5	A/Hawaii/28/2020(H3N2v)	5
MW024909	iav-ncbi-refseqs-seg7	A/Hawaii/28/2020(H3N2v)	7
MK239124	iav-ncbi-refseqs-seg3	A/Iowa/38/2017(H3N2v)	3
MK239128	iav-ncbi-refseqs-seg1	A/Iowa/38/2017(H3N2v)	1
CY103892	iav-ncbi-refseqs-seg4	A/little yellow-shouldered bat/Guatemala/060/2010(H17N10)	4
CY103894	iav-ncbi-refseqs-seg6	A/little yellow-shouldered bat/Guatemala/060/2010(H17N10)	6
CY103896	iav-ncbi-refseqs-seg8	A/little yellow-shouldered bat/Guatemala/060/2010(H17N10)	8
CY005144	iav-ncbi-refseqs-seg8	A/mallard duck/ALB/321/1988(H9N2)	8
CY005059	iav-ncbi-refseqs-seg6	A/mallard duck/ALB/435/1985(H7N3)	6
CY014604	iav-ncbi-refseqs-seg4	A/mallard duck/Astrakhan/263/1982(H14N5)	4
MK239099	iav-ncbi-refseqs-seg2	A/Michigan/383/2018(H1N2v)	2
AY338459	iav-ncbi-refseqs-seg4	A/Netherlands/219/2003(H7N7)	4
CY031336	iav-ncbi-refseqs-seg4	A/New Caledonia/20/1999(H1N1)	4
CY014630	iav-ncbi-refseqs-seg4	A/red-necked stint/Australia/4189/1980(H4N8)	4
MH597323	iav-ncbi-refseqs-seg1	A/ruddy turnstone/Delaware/471599/2001(H12N7)	1
MH597960	iav-ncbi-refseqs-seg1	A/ruddy turnstone/New Jersey/471606/2001(H11N7)	1
MH500872	iav-ncbi-refseqs-seg1	A/ruddy turnstone/New Jersey/AI01-1407/2001(H13N6)	1
MH502497	iav-ncbi-refseqs-seg5	A/ruddy turnstone/New Jersey/AI13-2872/2013(H16N3)	5
MH502499	iav-ncbi-refseqs-seg3	A/ruddy turnstone/New Jersey/AI13-2872/2013(H16N3)	3
L20410	iav-ncbi-refseqs-seg4	A/Singapore/1/1957(H2N2)	4
AY060139	iav-ncbi-refseqs-seg8	A/SW/MN/17138/01(H1N2)	8
MW244325	iav-ncbi-refseqs-seg4	A/swine/Italy/58247/2020(H1N1)	4
MW169636	iav-ncbi-refseqs-seg1	A/swine/Italy/76704/2019(H1N1)	1
MH061510	iav-ncbi-refseqs-seg3	A/swine/Mexico/9783514/2013(H3N1)	3
AF285883	iav-ncbi-refseqs-seg4	A/Swine/Ontario/01911-2/99 (H4N6)	4
MZ945779	iav-ncbi-refseqs-seg3	A/swine/Spain/45690-8/2018(H1N1)	4
MK045456	iav-ncbi-refseqs-seg1	A/turkey/Chile/17-002742-9/2017(H7N6)	1
CY014659	iav-ncbi-refseqs-seg4	A/turkey/Ontario/6118/1968(H8N4)	4
HM006759	iav-ncbi-refseqs-seg4	A/Viet Nam/1203/2004(H5N1)	4
LC314499	iav-ncbi-refseqs-seg1	A/whooper swan/Ibaraki/28-309/2016(H5N6)	1
AF342820	iav-ncbi-refseqs-seg6	A/Wisconsin/10/98 (H1N1)	6
