isolate_id	species	genome_lineage	gb_serotype	rec_serotype	mlca_serotype	iso_year	iso_month	iso_day	origin_type	sample_type	lab_host	host	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession
A/aquatic bird/Gunsan/145/2006	IAV	A5|D1|A12|H10|A8|N9|A|B	H10N9	H10N9	-	2006	FEB	6	host	Geumgang	-	Aves	South Korea	Gunsan	MW547561	MW547591	MW547620	MW547678	MW547649	MW547707	MW547736	MW547765
A/black-headed gull/Netherlands/10/2010	IAV	A2|E1|A6|-|A7|N8|A|A	HXN8	HXN8	-	2010	JUL	21	host	-	-	Chroicocephalus ridibundus	Netherlands	NULL	KX979064	KX979649	KX979204	KX978155	KX977706	KX978990	KX978014	KX979221
A/black-headed gull/Netherlands/2/2008	IAV	A2|E1|A6|-|A7|N8|A|A	HXN8	HXN8	-	2008	JUN	28	host	-	-	Chroicocephalus ridibundus	Netherlands	NULL	MF147033	MF148108	MF147443	MF146364	MF145744	MF147444	MF147812	MF147504
A/black-headed gull/Netherlands/57/2012	IAV	A2|E1|A12|-|A7|N6|A|A	HXN6	HXN6	-	2012	JUL	9	host	-	-	Chroicocephalus ridibundus	Netherlands	NULL	MF148006	MF147603	MF147019	MF147944	MF145885	MF147318	MF146835	MF145791
A/blackish oystercatcher/Chile/C6534/2016	IAV	B1|E1|A2|H2|A4|N2|B|A	H2N2	H2N2	-	2016	JAN	29	host	-	-	Haematopus ater	Chile	NULL	KY644156	KY644158	KY644159	KY644183	KY644165	KY644185	KY709692	KY709699
A/blue-winged teal/Guatemala/CIP049-02/2008	IAV	B9|E1|A3|H7|A11|N9|B|A	H7N9	H7N9	-	2008	MAR	5	host	cloacal swab	-	Anas discors	Guatemala	Santa Rosa	CY067675	CY067676	CY067677	CY067678	CY067679	CY067680	CY067681	CY067682
A/blue-winged teal/Guatemala/CIP049-04/2010	IAV	B9|E1|A3|H8|A11|N4|B|A	H8N4	H8N4	-	2010	JAN	31	host	Cloacal swab	-	Anas discors	Guatemala	Santa Rosa	CY096645	CY096646	CY096647	CY096648	CY096649	CY096650	CY096651	CY096652
A/chicken/Jalisco/CPA-06432-19/2019	IAV	B9|E1|A10|H5|A10|N2|B3|B	H5N2	H5N2	-	2019	APR	15	host	cloacal swab	-	Gallus gallus	Mexico	Jalisco	MZ565041	MZ565042	MZ565043	MZ565044	MZ565045	MZ565046	MZ565047	MZ565048
A/chicken/Kaohsiung/16040021-1/2016	IAV	A5|D1|A12|H5|A8|N8|A|A	H5N8	H5N8	-	2016	APR	20	host	brain	-	Gallus gallus	Taiwan	Kaohsiung	MW333283	MW333284	MW333285	MW333286	MW333287	MW333288	MW333289	MW333290
A/chicken/Queretaro/CPA-03805-19/2019	IAV	B9|E1|A10|H5|A10|N2|B3|B	H5N2	H5N2	-	2019	MAR	7	host	tracheal swab	-	Gallus gallus	Mexico	Queretaro	MZ565337	MZ565338	MZ565339	MZ565340	MZ565341	MZ565342	MZ565343	MZ565344
