cg_subtype	strain_count
B9|E1|A11|H1|A11|N3|B|B	1
B4|E1|A8|H1|A11|N2|B|B	1
B10|E1|A3|H7|A11|N5|B|B	1
B8|E1|A10|H3|A11|N2|B|A	2
B3|E1|A10|H4|A11|N9|B|A	2
B5|E1|A8|H6|A11|N8|B|B	1
B9|E1|A10|H4|A11|N6|B|A	25
B9|E1|A10|H11|A11|N5|B|A	1
B9|E1|A10|H9|A11|N8|A|A	1
B3|E1|A7|H2|A11|N1|B|A	1
A5|D1|A12|H3|A11|N2|A|A	1
B9|E1|A3|H7|A11|N6|B|B	1
B4|E1|A11|H10|A11|N7|B|A	1
B9|E1|A7|H6|A11|N2|B|B	1
B10|E1|A11|H1|A11|N3|B|A	2
B7|C1|A7|H1|A3|N2|B|A	1
B8|E1|A7|H6|A11|N6|B|A	3
A3|D1|A12|H4|A11|N8|B|A	5
A5|D1|A5|H6|A8|N1|A|B	1
B10|E1|A10|H2|A11|N8|B|A	1
A3|D1|A12|H4|A8|N8|A|A	3
A3|B1|A12|H4|A9|N4|A|A	1
B4|E1|A11|H4|A11|N8|B|A	1
A4|D1|A12|H3|A8|N1|A|A	2
A5|D1|A12|H6|A11|N2|A|B	4
B9|E1|A11|H1|A11|N1|B|B	49
A4|D1|A12|H3|A8|N8|A|B	1
B10|E1|A11|H6|A11|N2|B|B	5
B9|E1|A3|H2|A11|N3|B|B	2
B10|E1|A3|H6|A11|N5|B|B	7
B8|E1|A11|H4|A11|N8|B|A	1
A3|D1|A4|H1|A3|N1|B|A	1
A4|E1|A3|H1|A8|N2|A|A	1
B8|E1|A10|H6|A11|N8|B|B	1
B2|C1|A7|H3|A2|N2|B2|A	2
B8|E1|A10|H11|A11|N1|B|A	1
B9|E1|A7|H4|A11|N3|B|A	1
A5|D1|A12|H9|A8|N3|A|A	1
B6|C1|A7|H3|A3|N1|B1|X	1
A3|D1|A12|H2|A8|N7|A|A	9
B10|E1|A10|H4|A11|N9|B|A	2
A5|D1|A12|H10|A8|N8|A|A	16
B10|E1|A11|H5|A8|N2|B|B	1
B10|E1|A3|H7|A11|N3|B|B	4
B10|E1|A7|H14|A11|N8|B|B	2
B10|E1|A11|H5|A11|N6|B|A	1
B2|C1|A1|H3|A2|N2|A|A	2
A5|D1|A12|H1|A8|N6|A|B	1
B9|E1|A11|H3|A8|N8|B|B	2
B4|E1|A3|H3|A11|N1|B|A	1
B3|E1|A11|H2|A11|N3|B|A	1
B8|E1|A3|H11|A11|N7|B|A	3
B8|E1|A12|H6|A11|N6|B|A	1
B4|E1|A10|H6|A11|N8|B|B	4
B9|E1|A3|H6|A11|N2|B|B	3
A5|D1|A12|H10|A6|N5|A|A	3
B10|E1|A10|H6|A11|N1|B|B	3
B10|E1|A10|H14|A11|N6|B|B	1
B10|E1|A7|H6|A11|N2|B|B	1
B10|E1|A11|H4|A11|N6|B|B	48
A5|D1|A12|H9|A8|N2|A|A	261
B4|E1|A3|H6|A11|N1|B|B	1
A3|D1|A12|H9|A8|N1|A|A	1
B4|E1|A7|H4|A11|N8|B|B	2
