cg_hn_subtype	strain_count
H11N8	31
H5N2	1361
H11N2	143
H7N2	263
H6N3	10
H1N8	49
H5N3	130
H5N4	5
H5N5	44
H8N4	165
H1N3	98
H2N6	8
H9N5	24
H5N7	4
H3N8	1612
H4N4	22
H2N7	33
H3N6	305
H12N2	17
H12N8	15
H2N4	3
H2N5	30
H3N4	6
H3NZ	7
H4N5	15
H10N5	152
H10N9	48
H12N1	23
H4N7	8
H2N3	249
H6N4	10
H4N9	47
H14N3	18
H14N8	2
H1N1	3547
H10N8	114
H3N3	45
H5N1	2009
H7N3	771
H4N2	195
H9N8	10
H16N6	1
H2N9	60
H9N2	2136
H12N4	45
H14N6	5
H4N1	27
H11N1	43
H2N2	162
H10N2	66
H16N8	5
H4N8	303
H7N6	55
H9N9	24
H4N6	1571
H10N4	80
H16N5	1
H15N7	1
H12N6	5
H12N9	8
H2N1	42
H7N4	30
H10N3	140
H8N8	2
H3N7	15
H3N2	16856
H1N4	10
H4N3	31
H6N1	441
H13N6	36
H16N3	1
H5N9	37
H15N5	6
H1N2	721
H6N9	16
H1N7	10
H12N7	2
H1N6	44
H7N9	505
H15N9	6
H3N5	22
H14N2	2
H8N3	1
H7N1	211
H8N1	2
H8N2	4
H6N5	82
H15N4	1
H5N8	728
H8N6	1
H10N6	35
H6N6	470
H6N7	2
H9N6	37
H3N9	15
H6N2	612
H7N8	41
H13N2	41
H11N5	18
H10N7	250
H11N9	468
H12N5	229
H6N8	261
H11N7	6
H7N5	11
H14N5	5
H1N9	68
H11N6	15
H3N1	115
H13N9	1
H9N1	38
H12N3	18
H7N7	209
H5NZ	1
H11N4	1
H13N8	10
H11N3	59
H1N5	12
H2N8	17
H9N4	1
H9N3	6
H9N7	3
H5N6	527
H10N1	78
H14N4	2
