sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	length
AB035358	Influenza C virus	C/Johannesburg/4/67	-	4	-	-	1962
AB035359	Influenza C virus	C/Georgia/1/69	-	4	-	-	1952
AB035364	Influenza C virus	C/Sao Paulo/378/82	-	4	-	-	1993
AB035365	Influenza C virus	C/Yamagata/1/93	-	4	-	-	1970
AB086661	Influenza C virus (C/Miyagi/5/93)	C/Miyagi/5/93	-	4	-	-	1926
AJ872181	Influenza C virus (C/Johannesburg/1/66)	C/Johannesburg/1/66	4	4	-	-	2073
AM410041	Influenza C virus (C/Johannesburg/1/66)	C/Johannesburg/1/66	4	4	-	-	2073
AY880247	Influenza C virus (C/Johannesburg/1/66)	C/JHB/1/66	4	4	-	-	2073
D63467	Influenza C virus (C/Yamagata/64)	C/Yamagata/64	-	4	-	-	1976
D63469	Influenza C virus (C/Aomori/74)	C/Aomori/74	-	4	-	-	2020
D63470	Influenza C virus (C/Kanagawa/1/76)	C/Kanagawa/1/76	-	4	-	-	2007
M17868	Influenza C virus	-	-	4	-	-	2073
OQ946987	Influenza C virus	C/bovine/South Korea/GG/2022	4	4	-	-	1995
AB035360	Influenza C virus	C/Kansas/1/79	-	4	Aichi	-	1986
AB035361	Influenza C virus	C/Kansas/2/79	-	4	Aichi	-	1986
AB086657	Influenza C virus (C/Yamagata/1/86)	C/Yamagata/1/86	-	4	Aichi	-	1926
AB086658	Influenza C virus (C/Miyagi/1/90)	C/Miyagi/1/90	-	4	Aichi	-	1926
AB086659	Influenza C virus (C/Miyagi/5/91)	C/Miyagi/5/91	-	4	Aichi	-	1926
AB086660	Influenza C virus (C/Miyagi/7/91)	C/Miyagi/7/91	-	4	Aichi	-	1926
AB899777	Influenza C virus (C/Yamagata/4/92)	C/Yamagata/4/92	-	4	Aichi	-	1926
D28969	Influenza C virus (C/Yamagata/9/88)	C/Yamagata/9/88	4	4	Aichi	-	2023
D28970	Influenza C virus (C/Aichi/1/81)	C/Aichi/1/81	4	4	Aichi	-	1997
D88428	Influenza C virus (C/Yamagata/4/89)	C/Yamagata/4/89	4	4	Aichi	-	2012
LC739855	Influenza C virus	C/Miyagi/8/91	4	4	Aichi	-	1986
AB086664	Influenza C virus (C/Miyagi/9/96)	C/Miyagi/9/96	-	4	Kanagawa	-	1926
AB093473	Influenza C virus (C/Hiroshima/246/2000)	C/Hiroshima/246/2000	-	4	Kanagawa	-	401
AB093477	Influenza C virus (C/Hiroshima/250/2000)	C/Hiroshima/250/2000	-	4	Kanagawa	-	401
AB093478	Influenza C virus (C/Hiroshima/251/2000)	C/Hiroshima/251/2000	-	4	Kanagawa	-	401
AB099416	Influenza C virus (C/Miyagi/2/2000)	C/Miyagi/2/2000	-	4	Kanagawa	-	1926
AB099419	Influenza C virus (C/Miyagi/5/2000)	C/Miyagi/5/2000	-	4	Kanagawa	-	1926
AB099422	Influenza C virus (C/Saitama/3/2000)	C/Saitama/3/2000	-	4	Kanagawa	-	1926
AB099426	Influenza C virus (C/Hiroshima/246/2000)	C/Hiroshima/246/2000	-	4	Kanagawa	-	1926
AB099429	Influenza C virus (C/Hiroshima/250/2000)	C/Hiroshima/250/2000	-	4	Kanagawa	-	1926
AB099430	Influenza C virus (C/Hiroshima/251/2000)	C/Hiroshima/251/2000	-	4	Kanagawa	-	1926
AB219079	Influenza C virus (C/Yamagata/20/2004)	C/Yamagata/20/2004	-	4	Kanagawa	-	1926
AB219080	Influenza C virus (C/Yamagata/21/2004)	C/Yamagata/21/2004	-	4	Kanagawa	-	1926
AB252153	Influenza C virus (C/Yamagata/3/2004)	C/Yamagata/3/2004	4	4	Kanagawa	-	1926
AB252156	Influenza C virus (C/Miyagi/12/2004)	C/Miyagi/12/2004	4	4	Kanagawa	-	1926
AB252157	Influenza C virus (C/Miyagi/42/2004)	C/Miyagi/42/2004	4	4	Kanagawa	-	1926
AB252158	Influenza C virus (C/Niigata/1/2004)	C/Niigata/1/2004	4	4	Kanagawa	-	1926
AB252159	Influenza C virus (C/Fukushima/1/2004)	C/Fukushima/1/2004	4	4	Kanagawa	-	1926
