sequenceID	source.name	rec_segment	gb_subtype	rec_subtype
JQ922308	idv-ncbi-nuccore	4	-	DOK
KF425655	idv-ncbi-nuccore	4	-	DOK
KF425662	idv-ncbi-nuccore	4	-	D660
KF425669	idv-ncbi-nuccore	4	-	DOK
KM015494	idv-ncbi-nuccore	4	-	DOK
KM015501	idv-ncbi-nuccore	4	-	DOK
KM015508	idv-ncbi-nuccore	4	-	DOK
KM392471	idv-ncbi-nuccore	4	-	D660
KM392478	idv-ncbi-nuccore	4	-	DOK
KM392485	idv-ncbi-nuccore	4	-	D660
KM392492	idv-ncbi-nuccore	4	-	D660
KM392499	idv-ncbi-nuccore	4	-	DOK
KM392506	idv-ncbi-nuccore	4	-	D660
KT581412	idv-ncbi-nuccore	4	-	DOK
KT581416	idv-ncbi-nuccore	4	-	D660
KT581417	idv-ncbi-nuccore	4	-	D660
KT581418	idv-ncbi-nuccore	4	-	DOK
KT592522	idv-ncbi-nuccore	4	-	DOK
KT592526	idv-ncbi-nuccore	4	-	DOK
KT592533	idv-ncbi-nuccore	4	-	DOK
KU171126	idv-ncbi-nuccore	4	-	D660
KU171127	idv-ncbi-nuccore	4	-	D660
KU171128	idv-ncbi-nuccore	4	-	D660
KU171129	idv-ncbi-nuccore	4	-	DOK
KX768820	idv-ncbi-nuccore	4	-	DOK
KX768827	idv-ncbi-nuccore	4	-	DOK
KX768834	idv-ncbi-nuccore	4	-	DOK
KX768841	idv-ncbi-nuccore	4	-	DOK
KY441104	idv-ncbi-nuccore	4	-	DOK
KY441105	idv-ncbi-nuccore	4	-	DOK
KY441106	idv-ncbi-nuccore	4	-	DOK
KY441107	idv-ncbi-nuccore	4	-	DOK
KY441108	idv-ncbi-nuccore	4	-	DOK
KY441109	idv-ncbi-nuccore	4	-	DOK
KY441110	idv-ncbi-nuccore	4	-	DOK
KY441111	idv-ncbi-nuccore	4	-	DOK
KY441112	idv-ncbi-nuccore	4	-	DOK
KY441113	idv-ncbi-nuccore	4	-	DOK
KY441114	idv-ncbi-nuccore	4	-	DOK
KY441115	idv-ncbi-nuccore	4	-	DOK
KY441116	idv-ncbi-nuccore	4	-	DOK
KY441117	idv-ncbi-nuccore	4	-	DOK
KY441118	idv-ncbi-nuccore	4	-	DOK
KY441119	idv-ncbi-nuccore	4	-	DOK
KY441120	idv-ncbi-nuccore	4	-	DOK
KY441121	idv-ncbi-nuccore	4	-	DOK
KY441122	idv-ncbi-nuccore	4	-	DOK
KY992090	idv-ncbi-nuccore	4	-	-
KY992091	idv-ncbi-nuccore	4	-	DOK
KY992092	idv-ncbi-nuccore	4	-	DOK
KY992093	idv-ncbi-nuccore	4	-	DOK
KY992094	idv-ncbi-nuccore	4	-	DOK
LC128433	idv-ncbi-nuccore	4	-	Yama2016
LC270268	idv-ncbi-nuccore	4	-	Yama2016
LC318668	idv-ncbi-nuccore	4	-	Yama2016
LC494108	idv-ncbi-nuccore	4	-	Yama2019
LC522354	idv-ncbi-nuccore	4	-	DOK
LC565476	idv-ncbi-nuccore	4	-	-
LC565477	idv-ncbi-nuccore	4	-	-
LC565478	idv-ncbi-nuccore	4	-	-
LC790324	idv-ncbi-nuccore	4	-	Yama2016
LC790325	idv-ncbi-nuccore	4	-	Yama2016
LC790326	idv-ncbi-nuccore	4	-	Yama2016
LC793498	idv-ncbi-nuccore	4	-	-
LC793499	idv-ncbi-nuccore	4	-	-
LC793500	idv-ncbi-nuccore	4	-	-
LN559126	idv-ncbi-nuccore	4	-	-
MG720235	idv-ncbi-nuccore	4	-	DOK
MH315965	idv-ncbi-nuccore	4	-	DOK
MH315966	idv-ncbi-nuccore	4	-	DOK
MH315967	idv-ncbi-nuccore	4	-	DOK
MH315968	idv-ncbi-nuccore	4	-	DOK
MH315969	idv-ncbi-nuccore	4	-	DOK
MH315970	idv-ncbi-nuccore	4	-	DOK
MH785021	idv-ncbi-nuccore	4	-	D660
MK054184	idv-ncbi-nuccore	4	-	D660
MK101121	idv-ncbi-nuccore	4	-	DOK
MK131026	idv-ncbi-nuccore	4	-	DOK
MK131035	idv-ncbi-nuccore	4	-	DOK
MK290418	idv-ncbi-nuccore	4	-	-
MK965257	idv-ncbi-nuccore	4	-	DOK
MK965258	idv-ncbi-nuccore	4	-	DOK
MK965259	idv-ncbi-nuccore	4	-	DOK
MK965260	idv-ncbi-nuccore	4	-	DOK
MK965261	idv-ncbi-nuccore	4	-	DOK
MK965262	idv-ncbi-nuccore	4	-	DOK
MK965263	idv-ncbi-nuccore	4	-	DOK
MK965264	idv-ncbi-nuccore	4	-	DOK
MK965265	idv-ncbi-nuccore	4	-	DOK
MK965266	idv-ncbi-nuccore	4	-	DOK
MK965267	idv-ncbi-nuccore	4	-	DOK
MK965268	idv-ncbi-nuccore	4	-	DOK
MK965269	idv-ncbi-nuccore	4	-	DOK
MK965270	idv-ncbi-nuccore	4	-	DOK
MK965271	idv-ncbi-nuccore	4	-	DOK
MK965272	idv-ncbi-nuccore	4	-	DOK
MK965273	idv-ncbi-nuccore	4	-	DOK
MK965274	idv-ncbi-nuccore	4	-	DOK
MK965275	idv-ncbi-nuccore	4	-	DOK
MK965276	idv-ncbi-nuccore	4	-	DOK
MK965277	idv-ncbi-nuccore	4	-	DOK
MK965278	idv-ncbi-nuccore	4	-	DOK
MN123869	idv-ncbi-nuccore	4	-	D660
MN123870	idv-ncbi-nuccore	4	-	DOK
MN123883	idv-ncbi-nuccore	4	-	D660
MN123890	idv-ncbi-nuccore	4	-	D660
MN123897	idv-ncbi-nuccore	4	-	D660
MN123904	idv-ncbi-nuccore	4	-	-
