taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/JQ922305	JQ922305	23408893	2364	1	IDV	Influenza D virus (D/swine/Oklahoma/1334/2011)	-	-	-	-	USA	2011	Sus scrofa
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KF425652	KF425652	24595369	2364	1	IDV	Influenza D virus (D/bovine/Minnesota/628/2013)	-	-	-	-	USA	2013	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KF425659	KF425659	24595369	2364	1	IDV	Influenza D virus (D/bovine/Oklahoma/660/2013)	-	-	-	-	USA	2013	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KF425666	KF425666	24595369	2319	1	IDV	Influenza D virus (D/bovine/Minnesota/729/2013)	-	-	-	-	USA	2013	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM015491	KM015491	25142163	2364	1	IDV	Influenza D virus (D/bovine/Shandong/Y125/2014)	-	-	-	-	China	2014	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM015498	KM015498	25142163	2364	1	IDV	Influenza D virus (D/bovine/Shandong/Y127/2014)	-	-	-	-	China	2014	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM015505	KM015505	25142163	2364	1	IDV	Influenza D virus (D/bovine/Shandong/Y217/2014)	-	-	-	-	China	2014	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM392468	KM392468	-	2364	1	IDV	Influenza D virus (D/bovine/Nebraska/9-5/2012)	-	-	-	-	USA	2012	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM392475	KM392475	-	2364	1	IDV	Influenza D virus (D/bovine/Kansas/1-35/2010)	-	-	-	-	USA	2010	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM392482	KM392482	-	2364	1	IDV	Influenza D virus (D/bovine/Texas/3-13/2011)	-	-	-	-	USA	2011	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM392489	KM392489	-	2364	1	IDV	Influenza D virus (D/bovine/Kansas/13-21/2012)	-	-	-	-	USA	2012	Bos taurus
alignment/AL_IDV_SEG1/member/ncbi-idv-nuccore/KM392496	KM392496	-	2364	1	IDV	Influenza D virus (D/bovine/Kansas/14-22/2012)	-	-	-	-	USA	2012	Bos taurus
