taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KF425655	KF425655	24595369	2049	-	USA	2013	Bos taurus	-	-	-	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KF425662	KF425662	24595369	2049	-	USA	2013	Bos taurus	-	-	-	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KF425669	KF425669	24595369	1995	-	USA	2013	Bos taurus	-	-	-	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM015494	KM015494	25142163	2049	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM015501	KM015501	25142163	2049	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM015508	KM015508	25142163	2049	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392471	KM392471	-	2049	-	USA	2012	Bos taurus	-	-	-	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392478	KM392478	-	2049	-	USA	2010	Bos taurus	-	-	-	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392485	KM392485	-	2049	-	USA	2011	Bos taurus	-	-	-	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392492	KM392492	-	2049	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392499	KM392499	-	2049	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KM392506	KM392506	-	2049	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KT581412	KT581412	26386554	2049	-	USA	2014	Bos taurus; 6 to 8 months	nasal swab	-	-	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KT592522	KT592522	26812282	2049	-	Italy	2014	Bos taurus	-	-	-	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KT592526	KT592526	26812282	2044	-	Italy	2015	Bos taurus	-	-	-	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KT592533	KT592533	26812282	2049	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KU171126	KU171126	27154756	2049	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KU171127	KU171127	27154756	2049	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KU171128	KU171128	27154756	2049	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KU171129	KU171129	27154756	2049	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KX768820	KX768820	28916759	2049	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KX768827	KX768827	28916759	2049	-	Italy	2016	Sus scrofa	-	-	-	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KX768834	KX768834	28916759	2049	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/KX768841	KX768841	28916759	2052	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/LC128433	LC128433	27434213	2049	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Ibaraki/7768/2016
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/LC270268	LC270268	29143492	2049	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Miyazaki/B22/2016
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/LC318668	LC318668	29321324	2049	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Yamagata/10710/2016
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/MG720235	MG720235	-	1995	-	France	2014	Bos taurus	lung fragment	-	-	D/bovine/France/5920/2014
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/MK054184	MK054184	-	1995	-	USA	2017	Sus scrofa	nasal swab	-	-	D/swine/Kentucky/17TOSU1262/2017
alignment/AL_IDV_SEG4/member/idv-ncbi-curated-segment-4/MK101121	MK101121	-	2003	-	United Kingdom	2017	Bos taurus	-	-	-	D/bovine/Northern Ireland/24280/2017
alignment/AL_IDV_SEG4/member/idv-ncbi-refseqs-seg4/NC_036618	NC_036618	23408893	2049	NULL	USA	2011	Sus scrofa	-	-	-	D/swine/Oklahoma/1334/2011
