sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source	m49_country
AB126191	icv-ncbi-refseqs-seg1	1	1	-	-	-	-	-	-	2365	15218173	Influenza C virus (C/Ann Arbor/1/50)	-	-	C/Ann Arbor/1/50	-	-
D30700	icv-ncbi-refseqs-seg1	1	1	-	-	-	-	-	-	379	7996155	Influenza C virus (C/Nara/2/85)	-	-	C/Nara/2/85	-	-
D78393	icv-ncbi-refseqs-seg1	1	1	-	-	-	-	-	-	469	8757991	Influenza C virus (C/Mississippi/80)	-	Homo sapiens	-	-	-
JX947865	icv-ncbi-refseqs-seg1	1	1	-	-	2011	JUL	15	India	2320	23523822	Influenza C virus (C/Eastern India/1202/2011)	-	Homo sapiens	C/Eastern India/1202/2011	-	custom-table-row/m49_country/IND
JX963126	icv-ncbi-refseqs-seg1	1	1	-	-	2006	MAY	18	Singapore	2247	-	Influenza C virus (C/Singapore/DSO-050530/2006)	-	Homo sapiens	C/Singapore/DSO-050530/2006	-	custom-table-row/m49_country/SGP
JX963127	icv-ncbi-refseqs-seg1	1	1	-	-	2006	NOV	17	Singapore	2229	-	Influenza C virus (C/Singapore/DSO-070170/2006)	-	Homo sapiens	C/Singapore/DSO-070170/2006	-	custom-table-row/m49_country/SGP
JX963128	icv-ncbi-refseqs-seg1	1	1	-	-	2006	NOV	29	Singapore	2229	-	Influenza C virus (C/Singapore/DSO-070193/2006)	-	Homo sapiens	C/Singapore/DSO-070193/2006	-	custom-table-row/m49_country/SGP
JX963129	icv-ncbi-refseqs-seg1	1	1	-	-	2006	DEC	4	Singapore	2242	-	Influenza C virus (C/Singapore/DSO-070203/2006)	-	Homo sapiens	C/Singapore/DSO-070203/2006	-	custom-table-row/m49_country/SGP
KM504277	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Australia	2365	-	Influenza C virus (C/Victoria/2/2012)	-	Homo sapiens	C/Victoria/2/2012	-	custom-table-row/m49_country/AUS
KM507545	icv-ncbi-refseqs-seg1	1	1	-	-	2012	FEB	24	India	2325	-	Influenza C virus (C/India/P121719/2012)	-	Homo sapiens	C/India/P121719/2012	TS/NS	custom-table-row/m49_country/IND
KM507552	icv-ncbi-refseqs-seg1	1	1	-	-	2013	APR	25	India	2325	-	Influenza C virus (C/India/P135047/2013)	-	Homo sapiens	C/India/P135047/2013	TS/NS	custom-table-row/m49_country/IND
KT232082	icv-ncbi-refseqs-seg1	1	1	-	-	2011	JUN	10	India	2320	-	Influenza C virus (C/India/P119564/2011)	-	Homo sapiens	C/India/P119564/2011	TS/NS	custom-table-row/m49_country/IND
KT835340	icv-ncbi-refseqs-seg1	1	1	-	-	2007	-	-	United Kingdom	2221	26655269	Influenza C virus (C/Scotland/7482/2007)	-	Homo sapiens	C/Scotland/7482/2007	respiratory sample	custom-table-row/m49_country/GBR
