taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/AB252153	AB252153	17215347	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Yamagata/3/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/AB252156	AB252156	17215347	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Miyagi/12/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/AB252157	AB252157	17215347	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Miyagi/42/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/D30697	D30697	7996155	1987	-	-	1985	Homo sapiens	-	-	-	C/Nara/2/85
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/GQ853452	GQ853452	-	1988	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070203/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/GQ853453	GQ853453	-	1983	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070170/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/GQ853454	GQ853454	-	1997	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070193/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/GQ853455	GQ853455	-	1987	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-050530/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/JX947861	JX947861	23523822	1944	-	India	2011	Homo sapiens	-	-	-	C/Eastern India/1202/2011
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KM504280	KM504280	-	2073	-	Australia	2012	Homo sapiens	-	-	-	C/Victoria/2/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KM507548	KM507548	-	1883	-	India	2012	Homo sapiens	TS/NS	-	-	C/India/P121719/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KM507555	KM507555	-	1942	-	India	2013	Homo sapiens	TS/NS	-	-	C/India/P135047/2013
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KT232085	KT232085	-	1926	-	India	2011	Homo sapiens	TS/NS	-	-	C/India/P119564/2011
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KT835351	KT835351	26655269	1817	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/6855/2007
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KT835352	KT835352	26655269	1817	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7274/2007
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KT835353	KT835353	26655269	1817	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7383/2007
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/KT835354	KT835354	26655269	1817	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7482/2007
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122633	LC122633	27384661	1986	-	USA	1954	Homo sapiens	-	-	-	C/Great Lakes/1167/1954
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122634	LC122634	27384661	1986	-	USA	1978	Homo sapiens	-	-	-	C/California/78
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122635	LC122635	27384661	1983	-	USA	1980	Homo sapiens	-	-	-	C/Mississippi/80
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122638	LC122638	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Yamagata/5/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122639	LC122639	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/4/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122640	LC122640	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/11/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122641	LC122641	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/20/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122642	LC122642	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/28/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122643	LC122643	27384661	1926	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/31/2002
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122644	LC122644	27384661	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Yamagata/18/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122645	LC122645	27384661	1983	-	Japan	2004	Homo sapiens	-	-	-	C/Yamagata/26/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122646	LC122646	27384661	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Miyagi/25/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122647	LC122647	27384661	1926	-	Japan	2004	Homo sapiens	-	-	-	C/Miyagi/47/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122648	LC122648	27384661	1986	-	Japan	2005	Homo sapiens	-	-	-	C/Yamagata/1/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122649	LC122649	27384661	1964	-	Japan	2005	Homo sapiens	-	-	-	C/Yamagata/2/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122650	LC122650	27384661	1964	-	Japan	2005	Homo sapiens	-	-	-	C/Yamagata/3/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122651	LC122651	27384661	1964	-	Japan	2005	Homo sapiens	-	-	-	C/Miyagi/2/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122652	LC122652	27384661	1986	-	Japan	2005	Homo sapiens	-	-	-	C/Miyagi/4/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122653	LC122653	27384661	1951	-	Japan	2005	Homo sapiens	-	-	-	C/Fukuoka/1/2005
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122654	LC122654	27384661	1964	-	Japan	2006	Homo sapiens	-	-	-	C/Fukuoka/2/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122655	LC122655	27384661	1986	-	Japan	2006	Homo sapiens	-	-	-	C/Yamagata/1/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122656	LC122656	27384661	1986	-	Japan	2006	Homo sapiens	-	-	-	C/Yamagata/9/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122657	LC122657	27384661	1986	-	Japan	2006	Homo sapiens	-	-	-	C/Yamagata/13/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122658	LC122658	27384661	1986	-	Japan	2006	Homo sapiens	-	-	-	C/Yamagata/20/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122659	LC122659	27384661	1986	-	Japan	2006	Homo sapiens	-	-	-	C/Miyagi/4/2006
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122660	LC122660	27384661	1986	-	Japan	2007	Homo sapiens	-	-	-	C/Yamagata/1/2007
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122661	LC122661	27384661	1986	-	Japan	2008	Homo sapiens	-	-	-	C/Yamagata/3/2008
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122662	LC122662	27384661	1986	-	Japan	2008	Homo sapiens	-	-	-	C/Yamagata/11/2008
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122663	LC122663	27384661	1986	-	Japan	2008	Homo sapiens	-	-	-	C/Yamagata/16/2008
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122664	LC122664	27384661	1986	-	Japan	2008	Homo sapiens	-	-	-	C/Miyagi/2/2008
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122665	LC122665	27384661	1986	-	Japan	2010	Homo sapiens	-	-	-	C/Miyagi/3/2010
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122666	LC122666	27384661	1986	-	Japan	2010	Homo sapiens	-	-	-	C/Tokyo/3/2010
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122667	LC122667	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Yamagata/1/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122668	LC122668	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Yamagata/3/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122669	LC122669	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Yamagata/7/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122670	LC122670	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Yamagata/14/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122671	LC122671	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Yamagata/28/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122672	LC122672	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Miyagi/2/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122673	LC122673	27384661	1986	-	Japan	2012	Homo sapiens	-	-	-	C/Fukuoka/1/2012
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122674	LC122674	27384661	1986	-	Japan	2014	Homo sapiens	-	-	-	C/Miyagi/2/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122675	LC122675	27384661	1986	-	Japan	2014	Homo sapiens	-	-	-	C/Miyagi/5/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122676	LC122676	27384661	1986	-	Japan	2014	Homo sapiens	-	-	-	C/Miyagi/6/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122677	LC122677	27384661	1986	-	Japan	2014	Homo sapiens	-	-	-	C/Tokyo/1/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC122678	LC122678	27384661	1986	-	Japan	2014	Homo sapiens	-	-	-	C/Tokyo/4/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC327655	LC327655	30068890	2027	-	Japan	2016	Homo sapiens	-	-	-	C/Iwate/1/2016
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC327662	LC327662	30068890	2027	-	Japan	2016	Homo sapiens	-	-	-	C/Iwate/2/2016
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC603641	LC603641	33802440	1986	-	Japan	1988	Homo sapiens	-	-	-	C/Yamagata/11/88
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC603648	LC603648	33802440	1986	-	Japan	2004	Homo sapiens	-	-	-	C/Yamagata/29/2004
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/LC720285	LC720285	-	2063	-	Japan	2018	Homo sapiens	nasopharyngea swab using HBTEC-ALI culture	-	-	-
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MH348116	MH348116	-	1992	-	USA	2016	Bos taurus	sick calve's nasal swab	-	-	C/Bovine/Montana/12/2016
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MH828688	MH828688	32499763	1867	-	Viet Nam	2014	Homo sapiens	nasopharyngeal swab	-	-	C/Vietnam/1290/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MK050092	MK050092	30978620	1888	-	South Korea	2015	Homo sapiens	-	-	-	C/Seoul/APD462/2015
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MZ330881	MZ330881	-	1968	-	Philippines	2014	Homo sapiens	nasal swab	-	-	C/Biliran/TB2-162/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MZ330888	MZ330888	-	1968	-	Philippines	2014	Homo sapiens	nasal swab	-	-	C/Biliran/TB2-180/2014
alignment/AL_ICV_SEG4/member/icv-ncbi-curated-segment-4/MZ330895	MZ330895	-	1968	-	Philippines	2014	Homo sapiens	nasal swab	-	-	C/Biliran/TB2-204/2014
