taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/D78441	D78441	8757991	-	-	-	Homo sapiens	-	-	-
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/JX947867	JX947867	23523822	-	India	2011	Homo sapiens	-	-	C/Eastern India/1202/2011
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/JX963114	JX963114	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-050530/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/JX963115	JX963115	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070170/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/JX963116	JX963116	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070193/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/JX963117	JX963117	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070203/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KM504283	KM504283	-	-	Australia	2012	Homo sapiens	-	-	C/Victoria/2/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KM507551	KM507551	-	-	India	2012	Homo sapiens	TS/NS	-	C/India/P121719/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KM507558	KM507558	-	-	India	2013	Homo sapiens	TS/NS	-	C/India/P135047/2013
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KT232088	KT232088	-	-	India	2011	Homo sapiens	TS/NS	-	C/India/P119564/2011
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KT835367	KT835367	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7482/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KT835368	KT835368	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7383/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KT835369	KT835369	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7274/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/KT835370	KT835370	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/6855/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124978	LC124978	27384661	-	USA	1954	Homo sapiens	-	-	C/Great Lakes/1167/1954
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124980	LC124980	27384661	-	France	1967	Homo sapiens	-	-	C/Paris/1/67
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124986	LC124986	27384661	Yamagata	Japan	1992	Homo sapiens	-	-	C/Yamagata/4/92
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124987	LC124987	27384661	Yamagata	Japan	2002	Homo sapiens	-	-	C/Yamagata/5/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124989	LC124989	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/4/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124990	LC124990	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/11/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124991	LC124991	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/20/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124992	LC124992	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/28/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124993	LC124993	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/31/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124994	LC124994	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/3/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124997	LC124997	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/18/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC124998	LC124998	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/26/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125000	LC125000	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/12/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125001	LC125001	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/25/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125002	LC125002	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/42/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125003	LC125003	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/47/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125004	LC125004	27384661	Yamagata	Japan	2005	Homo sapiens	-	-	C/Yamagata/1/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125005	LC125005	27384661	Yamagata	Japan	2005	Homo sapiens	-	-	C/Yamagata/2/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125006	LC125006	27384661	Yamagata	Japan	2005	Homo sapiens	-	-	C/Yamagata/3/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125007	LC125007	27384661	Miyagi	Japan	2005	Homo sapiens	-	-	C/Miyagi/2/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125008	LC125008	27384661	Miyagi	Japan	2005	Homo sapiens	-	-	C/Miyagi/4/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125009	LC125009	27384661	Fukuoka	Japan	2005	Homo sapiens	-	-	C/Fukuoka/1/2005
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125010	LC125010	27384661	Fukuoka	Japan	2006	Homo sapiens	-	-	C/Fukuoka/2/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125011	LC125011	27384661	Yamagata	Japan	2006	Homo sapiens	-	-	C/Yamagata/1/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125012	LC125012	27384661	Yamagata	Japan	2006	Homo sapiens	-	-	C/Yamagata/9/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125013	LC125013	27384661	Yamagata	Japan	2006	Homo sapiens	-	-	C/Yamagata/13/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125015	LC125015	27384661	Yamagata	Japan	2006	Homo sapiens	-	-	C/Yamagata/20/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125016	LC125016	27384661	Miyagi	Japan	2006	Homo sapiens	-	-	C/Miyagi/4/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125017	LC125017	27384661	Yamagata	Japan	2007	Homo sapiens	-	-	C/Yamagata/1/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125018	LC125018	27384661	Yamagata	Japan	2008	Homo sapiens	-	-	C/Yamagata/3/2008
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125019	LC125019	27384661	Yamagata	Japan	2008	Homo sapiens	-	-	C/Yamagata/11/2008
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125020	LC125020	27384661	Yamagata	Japan	2008	Homo sapiens	-	-	C/Yamagata/16/2008
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125022	LC125022	27384661	Miyagi	Japan	2008	Homo sapiens	-	-	C/Miyagi/2/2008
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125024	LC125024	27384661	Miyagi	Japan	2010	Homo sapiens	-	-	C/Miyagi/3/2010
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125025	LC125025	27384661	Tokyo	Japan	2010	Homo sapiens	-	-	C/Tokyo/3/2010
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125026	LC125026	27384661	Yamagata	Japan	2012	Homo sapiens	-	-	C/Yamagata/1/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125027	LC125027	27384661	Yamagata	Japan	2012	Homo sapiens	-	-	C/Yamagata/3/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125029	LC125029	27384661	Yamagata	Japan	2012	Homo sapiens	-	-	C/Yamagata/7/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125030	LC125030	27384661	Yamagata	Japan	2012	Homo sapiens	-	-	C/Yamagata/14/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125031	LC125031	27384661	Yamagata	Japan	2012	Homo sapiens	-	-	C/Yamagata/28/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125033	LC125033	27384661	Miyagi	Japan	2012	Homo sapiens	-	-	C/Miyagi/2/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125034	LC125034	27384661	Fukuoka	Japan	2012	Homo sapiens	-	-	C/Fukuoka/1/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125042	LC125042	27384661	Miyagi	Japan	2014	Homo sapiens	-	-	C/Miyagi/2/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125043	LC125043	27384661	Miyagi	Japan	2014	Homo sapiens	-	-	C/Miyagi/5/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125044	LC125044	27384661	Miyagi	Japan	2014	Homo sapiens	-	-	C/Miyagi/6/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125045	LC125045	27384661	Tokyo	Japan	2014	Homo sapiens	-	-	C/Tokyo/1/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC125046	LC125046	27384661	Tokyo	Japan	2014	Homo sapiens	-	-	C/Tokyo/4/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC327658	LC327658	30068890	Iwate	Japan	2016	Homo sapiens	-	-	C/Iwate/1/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC327665	LC327665	30068890	Iwate	Japan	2016	Homo sapiens	-	-	C/Iwate/2/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC603644	LC603644	33802440	Yamagata	Japan	1988	Homo sapiens	-	-	C/Yamagata/11/88
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC603651	LC603651	33802440	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/29/2004
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/LC720288	LC720288	37741464	Fukushima	Japan	2018	Homo sapiens	nasopharyngea swab using HBTEC-ALI culture	-	-
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/M10087	M10087	4032535	-	-	-	-	-	-	C/California/78
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/M15088	M15088	2943076	-	-	-	-	-	-	C/Ann Arbor/1/50
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/M31007	M31007	2943076	-	-	-	-	-	-	C/Mississippi/80
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MH348119	MH348119	-	Montana	USA	2016	Bos taurus	sick calve's nasal swab	-	C/Bovine/Montana/12/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MH828691	MH828691	32499763	-	Viet Nam	2014	Homo sapiens	nasopharyngeal swab	-	C/Vietnam/1290/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MK050096	MK050096	30978620	-	South Korea	2015	Homo sapiens	-	-	C/Seoul/APD462/2015
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330884	MZ330884	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB2-162/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330891	MZ330891	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB2-180/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330898	MZ330898	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB2-204/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330905	MZ330905	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB2-293/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330912	MZ330912	-	Biliran	Philippines	2017	Homo sapiens	nasal swab	-	C/Biliran/TB4-024/2017
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330919	MZ330919	-	Biliran	Philippines	2017	Homo sapiens	nasal swab	-	C/Biliran/TB4-067/2017
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330926	MZ330926	-	Biliran	Philippines	2018	Homo sapiens	nasal swab	-	C/Biliran/TB4-130/2018
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330933	MZ330933	-	Biliran	Philippines	2018	Homo sapiens	nasal swab	-	C/Biliran/TB4-169/2018
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330940	MZ330940	-	Biliran	Philippines	2019	Homo sapiens	nasal swab	-	C/Biliran/TB4-271/2019
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330947	MZ330947	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB5-195/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330954	MZ330954	-	Biliran	Philippines	2014	Homo sapiens	nasal swab	-	C/Biliran/TB5-241/2014
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330961	MZ330961	-	Biliran	Philippines	2017	Homo sapiens	nasal swab	-	C/Biliran/TB5-312/2017
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330968	MZ330968	-	Biliran	Philippines	2016	Homo sapiens	nasal swab	-	C/Biliran/TB5-498/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330975	MZ330975	-	Biliran	Philippines	2016	Homo sapiens	nasal swab	-	C/Biliran/TB5-536/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330982	MZ330982	-	Biliran	Philippines	2016	Homo sapiens	nasal swab	-	C/Biliran/TB5-625/2016
alignment/AL_ICV_SEG7/member/icv-ncbi-refseqs-seg7/MZ330989	MZ330989	-	Biliran	Philippines	2016	Homo sapiens	nasal swab	-	C/Biliran/TB5-736/2016
