sequenceID	isolate	length	collection_year	collection_month	collection_month_day	gb_segment	country	place_sampled	pubmed_id	host_sci_name
AB744211	B/Hokkaido/FO/2012	1755	2012	APR	12	4	Japan:Sapporo	Sapporo	-	Homo sapiens
AB744212	B/Hokkaido/FO/2012	1401	2012	APR	12	6	Japan:Sapporo	Sapporo	-	Homo sapiens
AB934038	-	1828	-	-	-	-	Japan: Hokkaido, Sapporo	Hokkaido, Sapporo	-	Homo sapiens
AB969676	B/Hokkaido/30-4/2014	1817	2014	-	-	-	Japan:Hokkaido	Hokkaido	-	Homo sapiens
CY047054	B/Lebanon/L21/2009	966	2009	JAN	14	4	Lebanon: Beirut	Beirut	-	Homo sapiens
CY047060	B/Lebanon/L36/2009	988	2009	JAN	20	4	Lebanon: Beirut	Beirut	20513088	Homo sapiens
CY047064	B/Lebanon/L6/2008	929	2008	DEC	23	4	Lebanon: Beirut	Beirut	20513088	Homo sapiens
CY047067	B/Lebanon/L69/2009	955	2009	JAN	29	4	Lebanon: Beirut	Beirut	20513088	Homo sapiens
CY055180	B/Ulaanbaatar/289/2010	1758	2010	JAN	19	4	Mongolia: Ulaanbaatar	Ulaanbaatar	-	human; gender M; age 24
CY063327	B/Bahia/25/2008	1040	2008	MAY	15	4	Brazil: BA	BA	-	human; gender F
CY063328	B/Bahia/26/2008	1132	2008	MAY	15	4	Brazil: BA	BA	-	human; gender M
CY063329	B/Bahia/27/2008	1043	2008	MAY	15	4	Brazil: BA	BA	-	human; gender F
CY063330	B/Bahia/301/2008	1058	2008	JUL	30	4	Brazil: BA	BA	-	human; gender F; age 39Y
CY063331	B/Bahia/31/2008	1029	2008	MAY	15	4	Brazil: BA	BA	-	human; gender M
CY063332	B/Espirito Santo/347/2005	986	2005	JUN	16	4	Brazil: ES	ES	-	human; gender F; age 3Y
CY063333	B/Minas Gerais/106/2008	1036	2008	MAR	18	4	Brazil: MG	MG	-	human; gender M; age 8Y
CY063334	B/Minas Gerais/114/2008	975	2008	MAY	14	4	Brazil: MG	MG	-	human; gender M; age 22Y
CY063335	B/Minas Gerais/117/2008	1025	2008	JUN	11	4	Brazil: MG	MG	-	human; gender F; age 17Y
CY063336	B/Minas Gerais/120/2008	1021	2008	JUN	18	4	Brazil: MG	MG	-	human; gender F; age 10Y
CY063337	B/Minas Gerais/122/2008	1032	2008	JUN	24	4	Brazil: MG	MG	-	human; gender F; age 25Y
CY063338	B/Minas Gerais/125/2008	1063	2008	JUN	25	4	Brazil: MG	MG	-	human; gender M; age 18Y
CY063339	B/Minas Gerais/129/2008	1072	2008	JUL	9	4	Brazil: MG	MG	-	human; gender M; age 7Y
CY063340	B/Minas Gerais/261/2008	1060	2008	JUL	22	4	Brazil: MG	MG	-	human; gender F; age 53Y
CY063341	B/Minas Gerais/263/2008	1033	2008	JUL	23	4	Brazil: MG	MG	-	human; gender M; age 39Y
