taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KF425658	KF425658	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KF425665	KF425665	24595369	-	USA	2013	Bos taurus	-	D/660	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KF425672	KF425672	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM015497	KM015497	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM015504	KM015504	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM015511	KM015511	25142+L181163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392474	KM392474	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392481	KM392481	-	-	USA	2010	Bos taurus	-	D/OK	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392488	KM392488	-	-	USA	2011	Bos taurus	-	D/660	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392495	KM392495	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392502	KM392502	-	-	USA	2012	Bos taurus	-	D/OK	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KM392509	KM392509	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KT581415	KT581415	26386554	Mississippi	USA	2014	Bos taurus	nasal swab	D/OK	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KT592520	KT592520	26812282	-	Italy	2014	Bos taurus	-	D/OK	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KT592529	KT592529	26812282	-	Italy	2015	Bos taurus	-	D/OK	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KT592536	KT592536	26812282	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KU710422	KU710422	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KU710423	KU710423	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KU710424	KU710424	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KU710425	KU710425	27154756	-	Mexico	2015	Bos taurus	-	D/OK	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KX768823	KX768823	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KX768830	KX768830	28916759	-	Italy	2016	Sus scrofa	-	D/OK	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KX768837	KX768837	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/KX768844	KX768844	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/LC128436	LC128436	27434213	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Ibaraki/7768/2016
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/LC270271	LC270271	29143492	Miyazaki	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Miyazaki/B22/2016
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/LC318671	LC318671	29321324	Yamagata	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Yamagata/10710/2016
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/LC494111	LC494111	31855532	Yamagata	Japan	2019	Bos taurus	-	D/Yama2019	D/bovine/Yamagata/1/2019
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/MG720236	MG720236	-	-	France	2014	Bos taurus	lung fragment	D/OK	D/bovine/France/5920/2014
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/MK054179	MK054179	-	Kentucky	USA	2017	Sus scrofa	nasal swab	D/660	D/swine/Kentucky/17TOSU1262/2017
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/MK101124	MK101124	-	-	United Kingdom	2017	Bos taurus	-	D/OK	D/bovine/Northern Ireland/24280/2017
alignment/AL_IDV_SEG7/member/idv-ncbi-refseqs-seg7/NC_036621	NC_036621	23408893	-	USA	2011	Sus scrofa	-	D/OK	D/swine/Oklahoma/1334/2011
