isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Biliran/TB5-312/2017	-	-	-	-|-|-|-|-|-|-	2017	JUN	13	host	Homo sapiens	nasal swab	Philippines	-	-	-	-	-	-	MZ330959	MZ330961
C/Yamagata/15/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC013256	-	-	-
C/Yamagata/8/2002	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2002	-	-	host	Homo sapience	-	Japan	-	-	-	-	LC630941	-	-	-
C/Hyogo/1/83	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	-	-	-	-	-	AB000610	AB034167
C/Nara/1/85	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D78396	D78397	D78395	-	D78438	AB000726	AB034168
C/Leyte/5/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	-	-	-	host	Homo sapiens	-	Philippines	-	-	-	-	AB978552	-	-	-
C/Yamagata/3/2012	-	-	-	-|-|-|-|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	-	-	-	-	-	LC123863	LC125027
C/Nara/2/85	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D78399	D78400	D78398	-	D30703	AB000727	AB034169
C/Yamagata/10/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	-	-	-	AB899776	-	-	M15093
C/Thailand/B12597_M_gene/2015	-	-	-	-|-|-|-|-|-|-	2015	AUG	31	host	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	MK480586	-
C/Yamagata/13/2006	-	-	-	-|-|-|-|-|-|-	2006	-	-	host	Homo sapiens	-	Japan	-	-	-	-	-	-	LC123849	LC125013
C/Miyagi/2/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC739892	-	-	-
C/Catalonia/1457/2009	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2009	SEP	29	host	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	-	HM748633	-	-	-
C/Johannesburg/66	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	South Africa	-	-	-	-	-	-	AB000604	-
C/Thailand/B12983_NS_gene/2015	-	-	-	-|-|-|-|-|-|-	2015	SEP	25	host	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	-	MK480594
C/Mie/180/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	-	-	-	host	-	-	Japan	-	-	-	-	AB751603	-	-	-
C/Yamagata/28/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC512494	-	-	-
C/Philippines/1680-2011/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	-	ON013512	-	-	-
C/Scotland/5500/2007	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2007	-	-	host	Homo sapiens	respiratory sample	United Kingdom	-	KT835344	KT835335	KT835349	KT835350	KT835355	KT835365	-
England/892/83	-	-	-	-|-|-|-|-|-|-	-	-	-	host	-	-	-	-	-	-	-	-	-	-	D00034
C/Miyagi/6/2006	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2006	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC739859	-	-	-
C/Yamagata/38/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC512507	-	-	-
C/Ann Arbor/1/50 persistent variant (C/AA-pi)	-	-	-	-|-|-|-|-|-|-	-	-	-	host	-	-	-	-	U20228	-	-	-	-	-	-
C/Yamagata/10/1981	-	-	-	-|-|-|-|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123302	LC123404	LC123506	-	LC123738	LC123820	LC124984
CaenME1	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2005	-	-	host	-	-	France	-	-	-	-	EU086910	-	-	-
C/Thailand/c5395_NS_gene/2015	-	-	-	-|-|-|-|-|-|-	2015	JAN	7	host	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	-	MK480580
C/Miyagi/11/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC739884	-	-	-
