strain_id	complete	seq_count	cg_subtype	hn_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts	segment_8_counts
B/Maryland/18/2014	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	DEC	8	Homo sapiens	-	USA	NULL	0	0	KX002915	KX002896	KX002957	KX002881	KY090578	KX002952	0	0	1	1	1	1	1	1
B/Nicaragua/9451_05/2016	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2016	DEC	28	Homo sapiens	-	Nicaragua	Managua	CY263823	CY263822	0	CY263816	CY263819	CY263818	0	CY263820	1	1	0	1	1	1	0	1
B/Jiangxi Nanchang Donghu/11070/2009	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2009	OCT	27	Homo sapiens	-	China	Jiangxi	0	0	0	KP461529	0	0	0	0	0	0	0	1	0	0	0	0
B/Hawaii/07/2018	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2018	JAN	26	Homo sapiens	-	USA	Hawaii	0	0	MH583287	MH583288	MH583289	MH583290	MH583291	MH583292	0	0	1	1	1	1	1	1
B/Maine/12/2018	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	FEB	21	Homo sapiens	-	USA	Maine	0	0	MH233799	MH233800	MH233801	MH233802	MH233803	MH233804	0	0	1	1	1	1	1	1
B/West Virginia/04/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	JAN	24	Homo sapiens	-	USA	West Virginia	0	0	CY226037	CY226038	CY226039	CY226040	CY226041	CY226042	0	0	1	1	1	1	1	1
B/Hawaii/03/2014	FALSE	3	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	FEB	6	Homo sapiens	-	USA	NULL	0	0	0	KM063869	0	KM063878	0	KM063890	0	0	0	1	0	1	0	1
B/Malaysia/345/2004	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2004	FEB	16	Homo sapiens	-	Malaysia	NULL	0	0	0	EF566436	0	0	0	0	0	0	0	1	0	0	0	0
B/California/NHRC_FDX21672/2014	FALSE	3	-|-|-|Victoria|-|-|-|-	Victoria-	2014	DEC	23	Homo sapiens	nasopharyngeal swab	USA	California	0	0	0	KT223796	0	KT223804	0	KT223812	0	0	0	1	0	1	0	1
B/Pennsylvania/07/2017	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2017	FEB	20	Homo sapiens	-	USA	Pennsylvania	0	0	CY226085	CY226086	CY226087	CY226088	CY226089	CY226090	0	0	1	1	1	1	1	1
B/Hong Kong/CUHK17459/1998	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	1998	-	-	Homo sapiens	-	Hong Kong	NULL	0	0	0	MF955597	0	0	0	0	0	0	0	1	0	0	0	0
B/India/P1115679/2011	FALSE	1	-|-|-|-|-|-|-|-	--	2011	OCT	19	Homo sapiens	TS/NS	India	NULL	0	0	0	0	0	KF314374	0	0	0	0	0	0	0	1	0	0
B/Wisconsin/11/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	FEB	19	Homo sapiens	-	USA	Wisconsin	0	0	CY221645	CY221646	CY221647	CY221648	CY221649	CY221650	0	0	1	1	1	1	1	1
B/Milano/37TAN/2016	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2016	MAR	9	Homo sapiens	-	Italy	NULL	0	0	0	KY357954	0	0	0	0	0	0	0	1	0	0	0	0
B/Singapore/Gp495/2014	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	MAR	7	Homo sapiens	-	Singapore	Singapore	0	0	CY201070	CY201065	CY201068	CY201067	CY201066	CY201069	0	0	1	1	1	1	1	1
B/Thailand/Siriraj ICRC_SEA-3499/2008	FALSE	1	-|-|-|-|-|-|-|-	--	2008	AUG	26	Homo sapiens	nasopharyngeal aspirate	Thailand	Bangkok	0	0	0	0	0	KF492915	0	0	0	0	0	0	0	1	0	0
B/Japan/NHRC_FDX70326/2018	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	JAN	8	Homo sapiens	nasal swab	Japan	NULL	0	0	MH706562	MH706557	MH706560	MH706559	MH706558	MH706561	0	0	1	1	1	1	1	1
B/Tennessee/07/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	FEB	28	Homo sapiens	-	USA	Tennessee	0	0	CY230308	CY230309	CY230310	CY230311	CY230312	CY230313	0	0	1	1	1	1	1	1
B/Gifu/DS5-546/2015	FALSE	1	-|-|-|-|-|-|-|-	--	2015	-	-	Homo sapiens	-	Japan	Gifu	0	0	0	0	0	LC409202	0	0	0	0	0	0	0	1	0	0
B/China/26/2018	FALSE	2	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	JAN	15	Homo sapiens	nasopharyngeal	China	NULL	0	0	0	MH932604	0	MH932558	0	0	0	0	0	1	0	1	0	0
B/Ontario/011/2018	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	JAN	3	Homo sapiens	nasopharyngeal swab	Canada	Ontario	0	0	0	MG910916	0	0	0	0	0	0	0	1	0	0	0	0
B/Washington/25/2016	FALSE	11	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	JAN	10	Homo sapiens	-	USA	NULL	0	0	KX614046	KX614047	KY043058	KY043059	KX614050	KX614051	0	0	2	2	2	2	2	1
B/New York/3982/2014	FALSE	1	-|-|-|-|-|-|-|-	--	2014	APR	2	Homo sapiens	Nasal Wash	USA	NY	0	0	0	0	0	CY189902	0	0	0	0	0	0	0	1	0	0
B/Singapore/Kk411/2014	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	JUN	10	Homo sapiens	-	Singapore	Singapore	0	0	CY201310	CY201305	CY201308	CY201307	CY201306	CY201309	0	0	1	1	1	1	1	1
B/Michigan/02/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	JAN	10	Homo sapiens	-	USA	Michigan	0	0	CY218253	CY218254	CY218255	CY218256	CY218257	CY218258	0	0	1	1	1	1	1	1
B/Montana/07/2016	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	FEB	17	Homo sapiens	-	USA	NULL	0	0	KX615117	KX615118	KX615119	KX615120	KX615121	KX615122	0	0	1	1	1	1	1	1
B/Maine/04/2016	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	FEB	12	Homo sapiens	-	USA	NULL	0	0	KX614539	KX614540	KX614541	KX614542	KX614543	KX614544	0	0	1	1	1	1	1	1
B/Illinois/3970/2014	FALSE	1	-|-|-|-|-|-|-|-	--	2014	APR	4	Homo sapiens	Nasal Wash	USA	IL	0	0	0	0	0	CY189890	0	0	0	0	0	0	0	1	0	0
B/Wisconsin/28/2018	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	MAY	2	Homo sapiens	-	USA	Wisconsin	0	0	MH607087	MH607088	MH607089	MH607090	MH607091	MH607092	0	0	1	1	1	1	1	1
B/Montana/14/2019	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2019	APR	22	Homo sapiens	-	USA	Montana	0	0	MN156107	MN156108	MN156109	MN156110	MN156111	MN156112	0	0	1	1	1	1	1	1
B/Utah/04/2016	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2016	JAN	7	Homo sapiens	-	USA	NULL	0	0	KX006466	KX006467	KX006468	KX006469	KX006470	KX006471	0	0	1	1	1	1	1	1
B/Malaysia/2276/2004	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2004	OCT	29	Homo sapiens	-	Malaysia	NULL	0	0	0	EF566392	0	0	0	0	0	0	0	1	0	0	0	0
B/California/108/2015	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2015	DEC	3	Homo sapiens	-	USA	NULL	0	0	KX007011	KX007012	KX007376	KX007014	KX007015	KX007016	0	0	1	1	1	1	1	1
B/North Carolina/03/2016	FALSE	11	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	FEB	8	Homo sapiens	-	USA	NULL	0	0	KX612774	KY043559	KY043561	KY043563	KX612778	KX612779	0	0	2	2	2	2	2	1
B/India/K1045682/2010	FALSE	1	-|-|-|-|-|-|-|-	--	2010	APR	28	Homo sapiens	TS/NS	India	NULL	0	0	0	0	0	KF314276	0	0	0	0	0	0	0	1	0	0
B/Kol/673/2006	FALSE	2	-|-|-|Yamagata|-|-|-|-	Yamagata-	2006	DEC	5	Homo sapiens	-	India	NULL	0	0	0	JF965342	0	JF965358	0	0	0	0	0	1	0	1	0	0
B/Nepal/1117/2005	FALSE	2	-|-|-|Victoria|-|-|-|-	Victoria-	2005	-	-	Homo sapiens	clinical samples; passaged once (P1) in PMK culture cells	Nepal	NULL	0	0	0	DQ343780	0	0	0	0	0	0	0	2	0	0	0	0
B/Quebec/019/2016	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2016	MAR	17	Homo sapiens	nasopharyngeal wash	Canada	Quebec	0	0	0	MF195934	0	0	0	0	0	0	0	1	0	0	0	0
B/Oklahoma/03/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	JAN	21	Homo sapiens	-	USA	Oklahoma	0	0	CY218705	CY218706	CY218707	CY218708	CY218709	CY218710	0	0	1	1	1	1	1	1
B/Palermo/8/2015	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2015	FEB	10	Homo sapiens	oropharyngeal swab	Italy	NULL	0	0	0	KU529022	0	0	0	0	0	0	0	1	0	0	0	0
B/Tottori/3/2008	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2008	MAR	7	Homo sapiens	-	Japan	Tottori	0	0	0	KP459712	0	0	0	0	0	0	0	1	0	0	0	0
B/Vermont/05/2016	FALSE	11	-|-|-|Victoria|-|-|-|-	Victoria-	2016	MAR	28	Homo sapiens	-	USA	NULL	0	0	KY042551	KX921016	KX921017	KX921018	KY042554	KY042555	0	0	2	2	1	2	2	2
B/Managua/5894.02/2010	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2010	AUG	22	Homo sapiens	-	Nicaragua	Managua	0	0	CY101071	CY101066	CY101069	CY101068	CY101067	CY101070	0	0	1	1	1	1	1	1
B/Ontario/23/2015	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2015	MAR	27	Homo sapiens	nasopharyngeal swab	Canada	Ontario	0	0	0	KU729607	0	0	0	0	0	0	0	1	0	0	0	0
B/Cameroon/17v-194/2017	FALSE	2	-|-|-|-|-|-|-|-	--	2017	JAN	3	Homo sapiens	-	Cameroon	NULL	0	0	0	0	0	MG674792	MG674820	0	0	0	0	0	0	1	1	0
B/Taiwan/107/2006	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2006	OCT	11	Homo sapiens	-	Taiwan	NULL	0	0	0	KP460155	0	0	0	0	0	0	0	1	0	0	0	0
B/Nevada/07/2017	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	APR	28	Homo sapiens	-	USA	Nevada	0	0	CY237325	CY237326	CY237327	CY237328	CY237329	CY237330	0	0	1	1	1	1	1	1
B/Kenya/099/2011	FALSE	2	-|-|-|Victoria|-|-|-|-	Victoria-	2011	APR	8	Homo sapiens	nasopharyngeal swab	Kenya	NULL	0	0	0	JQ396199	0	JQ396214	0	0	0	0	0	1	0	1	0	0
B/Texas/6751/2017	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	DEC	19	Homo sapiens	NP Swab	USA	Texas	0	0	0	MH748069	0	0	0	0	0	0	0	1	0	0	0	0
B/Malaysia/3023819/2010	FALSE	2	-|-|-|Victoria|-|-|-|-	Victoria-	2010	SEP	22	Homo sapiens	nasopharyngeal swab	Malaysia	Kuala Lumpur	0	0	0	KX269903	0	KX269940	0	0	0	0	0	1	0	1	0	0
B/Pennsylvania/23/2016	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	MAR	10	Homo sapiens	-	USA	NULL	0	0	KX616381	KX616382	KX616383	KX616384	KX616385	KX616386	0	0	1	1	1	1	1	1
B/Brisbane/60-10/2010	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2010	SEP	29	Homo sapiens	-	Australia	Sydney, NSW	0	0	CY098875	CY098870	CY098873	CY098872	CY098871	CY098874	0	0	1	1	1	1	1	1
B/Alaska/18/2017	FALSE	4	-|-|-|Victoria|-|-|-|-	Victoria-	2017	MAY	15	Homo sapiens	-	USA	Alaska	0	0	0	CY248678	CY248679	CY248680	0	CY248681	0	0	0	1	1	1	0	1
B/Fukuoka-C/20/2005	FALSE	1	-|-|-|-|-|-|-|-	--	2005	-	-	Homo sapiens	-	Japan	NULL	0	0	0	0	0	JF733855	0	0	0	0	0	0	0	1	0	0
B/Auckland/97/2008	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2008	AUG	7	Homo sapiens	-	New Zealand	South Auckland	0	0	CY156679	CY156674	CY156677	CY156676	CY156675	CY156678	0	0	1	1	1	1	1	1
B/British Columbia/040/2016	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2016	JAN	26	Homo sapiens	nasopharyngeal wash	Canada	British Columbia	0	0	0	MF196001	0	0	0	0	0	0	0	1	0	0	0	0
B/Guangzhou/12/97	FALSE	1	-|-|-|-|-|-|-|-	--	1997	-	-	Homo sapiens	-	China	NULL	0	0	0	0	0	EF584416	0	0	0	0	0	0	0	1	0	0
B/Heilongjiang Hulan/115/2010	FALSE	1	-|-|-|Victoria|-|-|-|-	Victoria-	2010	JAN	14	Homo sapiens	-	China	Heilongjiang	0	0	0	KP459504	0	0	0	0	0	0	0	1	0	0	0	0
B/Singapore/Gp997/2013	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2013	JUN	11	Homo sapiens	-	Singapore	Singapore	0	0	CY198622	CY198617	CY198620	CY198619	CY198618	CY198621	0	0	1	1	1	1	1	1
B/Ontario/79/2014	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	APR	28	Homo sapiens	nasopharyngeal swab	Canada	Ontario	0	0	0	KP864249	0	0	0	0	0	0	0	1	0	0	0	0
B/Maryland/29/2017	FALSE	6	-|-|-|Victoria|-|-|-|-	Victoria-	2017	MAR	28	Homo sapiens	-	USA	Maryland	0	0	CY247348	CY247349	CY247350	CY247351	CY247352	CY247353	0	0	1	1	1	1	1	1
B/Nevada/14/2011	FALSE	3	-|-|-|Victoria|-|-|-|-	Victoria-	2011	MAY	23	Homo sapiens	-	USA	NULL	0	0	0	KC814039	0	KC814040	0	KC814041	0	0	0	1	0	1	0	1
B/Beijingdongcheng/15339/2015	FALSE	2	-|-|-|Yamagata|-|-|-|-	Yamagata-	2015	MAR	22	Homo sapiens	nasopharyngeal swab	China	NULL	0	0	0	KT383639	0	KT383505	0	0	0	0	0	1	0	1	0	0
B/Ontario/15/2014	FALSE	1	-|-|-|Yamagata|-|-|-|-	Yamagata-	2014	MAR	3	Homo sapiens	nasopharyngeal swab	Canada	Ontario	0	0	0	KP864218	0	0	0	0	0	0	0	1	0	0	0	0
B/California/13/2018	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2018	FEB	13	Homo sapiens	-	USA	California	0	0	MH583151	MH583152	MH583153	MH583154	MH583155	MH583156	0	0	1	1	1	1	1	1
B/Nicaragua/5045_02_TR1/2017	FALSE	4	-|-|-|Victoria|-|-|-|-	Victoria-	2017	JUN	19	Homo sapiens	-	Nicaragua	Managua	0	0	MK969505	MK969501	0	MK969503	0	MK969504	0	0	1	1	0	1	0	1
B/Hawaii/20/2016	FALSE	6	-|-|-|Yamagata|-|-|-|-	Yamagata-	2016	APR	13	Homo sapiens	-	USA	NULL	0	0	KX922479	KX922480	KX922481	KX922482	KX922483	KX922484	0	0	1	1	1	1	1	1
B/New Jersey/41/2017	FALSE	12	-|-|-|Yamagata|-|-|-|-	Yamagata-	2017	DEC	21	Homo sapiens	-	USA	New Jersey	0	0	MH581926	MH581927	MH581928	MH581929	MH131078	MH581931	0	0	2	2	2	2	2	2
