taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/AY504599	AY504599	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg2/CQ903172	CQ903172	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/CY018772	CY018772	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/CY110748	CY110748	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/CY175640	CY175640	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/CY222163	CY222163	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/JX513148	JX513148	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MH233781	MH233781	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MH233893	MH233893	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MK445822	MK445822	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MK946995	MK946995	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MK947011	MK947011	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MK961943	MK961943	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN539665	MN539665	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN588329	MN588329	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN589523	MN589523	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN589571	MN589571	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN589579	MN589579	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MN822678	MN822678	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/MT600866	MT600866	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg2/NC_002205	NC_002205	10725418	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG2/member/ibv-ncbi-refseqs-seg1/OQ034462	OQ034462	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
