taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/AY504602	AY504602	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CQ903175	CQ903175	-	-	-	-	-	-	Yamagata	-
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY018765	CY018765	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY018773	CY018773	-	-	-	1989	Homo sapiens	-	Yamagata	Influenza B virus (B/Hong Kong/22/1989)
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY033876	CY033876	-	Florida	USA	2006	Homo sapiens	-	Yamagata	Influenza B virus (B/Florida/4/2006)
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY110750	CY110750	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY115151	CY115151	-	Brisbane	Australia	2008	Homo sapiens	-	V1	B/Brisbane/60/2008
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY175633	CY175633	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/CY222165	CY222165	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/JX513150	JX513150	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/M10298	M10298	6083660	-	-	-	-	-	Yamagata	-
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MH233784	MH233784	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MH233896	MH233896	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MK445682	MK445682	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MK946988	MK946988	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MK947004	MK947004	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MK961936	MK961936	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN509275	MN509275	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN588494	MN588494	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN589526	MN589526	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN589574	MN589574	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN589582	MN589582	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN822671	MN822671	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN945457	MN945457	-	-	-	2019	Homo sapiens	TS/NS	V1	B/India/Pun1924024/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MN945463	MN945463	-	-	-	2019	Homo sapiens	TS/NS	V1	B/India/Pun1922338/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/MT600859	MT600859	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/NC_002207	NC_002207	-	-	-	-	-	-	Yamagata	B/Lee/40
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/ON041202	ON041202	-	-	-	2020	Homo sapiens	nasal swab	V1	B/Human/New York City/PV22452/2020
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OP999643	OP999643	-	-	-	2021	Homo sapiens	throat swab	V1	B/China/MDCK/2021
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OQ028246	OQ028246	-	-	-	2021	Homo sapiens	throat swab	V1	B/China/MDCK/2021
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OQ028654	OQ028654	-	-	-	2021	Homo sapiens	throat swab	V1	B/China/MDCK/2021
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OQ034464	OQ034464	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OQ061212	OQ061212	-	-	-	2021	Homo sapiens	throat swab	V1	B/China/MDCK/2021
alignment/AL_UNC_TREE_IBV/member/ibv-ncbi-refseqs-seg4/OQ380849	OQ380849	-	-	-	2020	Homo sapiens	Nasopharyngeal Aspirates	V1	B/Saudi Arabia/Riyadh55/2020
