taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/AY504603	AY504603	15763145	-	-	-	-	-	Yamagata	B/Victoria/504/2000
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CQ903177	CQ903177	-	-	-	-	-	-	Yamagata	-
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CY018768	CY018768	-	-	-	1988	Homo sapiens	-	Yamagata	Influenza B virus (B/Yamagata/16/1988)
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CY110751	CY110751	23011776	-	-	2009	Homo sapiens	-	V1	B/Wuhan/4/2009
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CY175636	CY175636	-	-	-	2011	Homo sapiens	-	V1	B/New York/1255/2011
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CY222166	CY222166	-	-	-	2017	Homo sapiens	-	V1	B/Mississippi/02/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/JX513151	JX513151	-	-	-	2010	Homo sapiens	nasal swab	V1	B/Thailand/CUH1400/2010
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MH233785	MH233785	-	-	-	2018	Homo sapiens	-	V1	B/Maine/10/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MH233897	MH233897	-	-	-	2018	Homo sapiens	-	V1	B/Pennsylvania/06/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MK445742	MK445742	-	-	-	2018	Homo sapiens	NP Swab	V1	B/Virginia/7672/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MK946991	MK946991	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Germany/9318/2019
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MK947007	MK947007	-	-	-	2019	Homo sapiens	Nasal Wash	V1	B/South Korea/9320/2019
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MK961939	MK961939	-	-	-	2017	Homo sapiens	-	V1	B/Nicaragua/9151_03/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN539639	MN539639	-	-	-	2019	Homo sapiens	sputum	V1	B/Thailand/TM10944_62/2019
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN588549	MN588549	-	-	-	2011	Homo sapiens	cultured isolate	V1	B/Singapore/DMS1498/2011
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN589527	MN589527	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3545/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN589575	MN589575	-	-	-	2018	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3634/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN589583	MN589583	-	-	-	2019	Homo sapiens	nasopharyngeal swab	V1	B/Singapore/DMS3651/2019
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MN822674	MN822674	-	-	-	2018	Homo sapiens	napharyngeal swab	V1	B/Gyeongbuk/923/2018
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/MT600862	MT600862	-	-	-	2019	Homo sapiens	NP Swab	V1	B/Texas/10124/2019
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/NC_002208	NC_002208	6324462	-	-	-	-	-	Yamagata	B/Lee/1940
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/OQ034465	OQ034465	36765053	-	-	2007	Homo sapiens	allantoic fluid	V	B/Pennsylvania/5/2007
