isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Philippines/2081-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013511	-	-	-
C/Thailand/B12597_M_gene/2015	-	-	2015	AUG	31	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	MK480586	-
C/Kansas/2/79	-	-	-	-	-	-	-	-	-	-	-	AB035361	-	-	-
CaenMA5	-	-	2005	-	-	-	-	France	-	-	-	EU086914	-	-	-
C/Thailand/CN38_HE_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	-	-	MK480599	-	-	-
C/Yamagata/5/89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AB034174
C/Bovine/Texas/1/2016	-	-	2016	NOV	14	Bos taurus	nasal swab	USA	-	-	-	-	-	MH421864	-
C/Minnesota/03/2015	-	-	2015	JAN	14	Homo sapiens	-	USA	-	-	-	CY239422	-	CY239423	-
C/Yamagata/6/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385862	-	-	-
C/Philippines/2007-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013501	-	-	-
C/Philippines/4335-2010/2010	-	-	2010	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013500	-	-	-
C/Miyagi/5/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC739894	-	-	-
C/Alberta/3502/2011	-	-	2011	MAR	18	Homo sapiens	auger suction	Canada	-	-	-	JX080411	-	JX133153	-
C/Yamagata/3/88	-	-	-	-	-	-	-	-	-	-	-	D63473	-	-	-
C/Yamagata/12/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385863	-	-	-
C/Philippines/2410-2009/2009	-	-	2009	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013516	-	-	-
C/Miyagi/13/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739886	-	-	-
C/Catalonia/1372/2009	-	-	2009	SEP	14	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748627	-	-	-
C/Minnesota/21/2015	-	-	2015	MAR	29	Homo sapiens	-	USA	-	-	-	CY239454	-	-	-
C/kyoto/41/82	-	-	-	-	-	Homo sapiens	-	-	-	-	D78389	-	-	-	-
CaenBO1	-	-	2004	-	-	-	-	France	-	-	-	EU086908	-	-	-
C/Yamagata/30/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512510	-	-	-
C/Miyagi/4/97	-	-	-	-	-	-	-	-	-	-	-	AB219078	-	-	-
C/Thailand/B12983_NP_gene/2015	-	-	2015	SEP	25	Homo sapiens	nasal swab	Thailand	-	-	-	-	MK480595	-	-
C/Mie/180/2012	-	-	-	-	-	-	-	Japan	-	-	-	AB751603	-	-	-
C/Hiroshima/252/2000	-	-	-	-	-	-	human throat swab from child with bronchitis	Japan	-	-	-	AB093479	-	-	-
C/Minnesota/06/2015	-	-	2015	FEB	15	Homo sapiens	-	USA	-	-	-	CY239428	-	CY239429	-
Ann Arbor/1/50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00029
C/Miyagi/10/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739883	-	-	-
C/Minnesota/27/2015	-	-	2015	FEB	4	Homo sapiens	-	USA	-	-	-	CY239469	-	CY239470	-
Yamagata/1/88	-	-	-	-	-	-	-	-	-	-	-	-	-	D16261	-
C/Mie/193/2012	-	-	-	-	-	-	-	Japan	-	-	-	AB751597	-	-	-
C/Miyagi/17/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739870	-	-	-
C/Thailand/B12983_M_gene/2015	-	-	2015	SEP	25	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	MK480593	-
C/Minnesota/32/2015	-	-	2015	MAR	2	Homo sapiens	-	USA	-	-	-	CY239479	-	CY239480	-
C/Minnesota/01/2016	-	-	2016	APR	21	Homo sapiens	-	USA	-	-	-	CY239484	-	CY239485	-
C/Niigata/1/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252158	-	-	-
C/Mie/199/2012egg	-	-	-	-	-	-	-	Japan	-	-	-	AB751596	-	-	-
C/Miyagi/8/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739881	-	-	-
C/Sendai/TU4/2008	-	-	-	-	-	Homo sapiens	-	Japan	-	-	-	AB978556	-	-	-
C/Miyagi/9/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739866	-	-	-
C/Bovine/Colorado/6/2017	-	-	2017	DEC	30	Bos taurus	nasal swab	USA	-	-	-	-	-	MH421867	-
C/Philippines/2064-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013502	-	-	-
C/Hiroshima/4/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252163	-	-	-
C/Miyagi/7/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739880	-	-	-
C/Yamagata/1/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385860	-	-	-
C/Yamagata/38/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512507	-	-	-
C/Minnesota/33/2015	-	-	2015	MAR	11	Homo sapiens	-	USA	-	-	-	CY239481	-	CY239482	-
C/Alberta/21100/2010	-	-	2010	DEC	21	Homo sapiens	nasopharyngeal swab	Canada	-	-	-	-	-	JX133156	-
C/Miyagi/3/2014	-	-	2014	-	-	Homo sapiens	-	Japan	-	-	-	LC739888	-	-	-
C/Mie/231/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	AB811847	-	-	-
C/Yamagata/10/1981	-	-	1981	-	-	Homo sapiens	-	Japan	LC123302	LC123404	LC123506	-	LC123738	LC123820	LC124984
C/Greece/1/79	-	-	1979	-	-	Homo sapiens	-	Greece	LC123296	LC123398	LC123500	AB035363	-	-	-
Yamagata/10/81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00033
C/Thailand/c5395_NP_gene/2015	-	-	2015	JAN	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	MK480581	-	-
C/Milan/1130/2010	-	-	2010	-	-	Homo sapiens	nasopharyngeal swab	Italy	-	-	-	JX129183	-	-	-
C/Miyagi/6/2006	-	-	2006	-	-	Homo sapiens	-	Japan	-	-	-	LC739859	-	-	-
C/New Jersey/1/76	-	-	1976	-	-	Homo sapiens	-	USA	LC123291	LC123393	LC123495	AB035362	-	-	-
C/Kaohsiung/105032177/2016	-	-	2016	MAR	21	Homo sapiens	throat swab	Taiwan	-	-	-	MH185833	-	-	-
C/Alberta/2193/2011	-	-	2011	JAN	24	Homo sapiens	nasopharyngeal fluid	Canada	-	-	-	-	-	JX133157	-
C/Fukuoka/3/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252165	-	-	-
C/Alberta/4941/2011	-	-	2011	FEB	22	Homo sapiens	nasopharyngeal swab	Canada	-	-	-	JX080413	-	JX133158	-
C/Miyagi/9/2010	-	-	2010	-	-	Homo sapiens	-	Japan	-	-	-	LC739873	-	-	-
C/Minnesota/30/2015	-	-	2015	FEB	23	Homo sapiens	-	USA	-	-	-	CY239475	-	CY239476	-
C/Minnesota/04/2014	-	-	2014	DEC	25	Homo sapiens	-	USA	-	-	-	CY239467	-	CY239468	-
C/Minnesota/19/2015	-	-	2015	MAR	30	Homo sapiens	-	USA	-	-	-	CY239450	-	CY239451	-
C/Greece/79	-	-	-	-	-	-	-	Greece	AB099455	AB099480	AB099554	-	AB684310	AB099602	AB099627
C/Philippines/3841-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013517	-	-	-
C/Miyagi/13/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739869	-	-	-
C/England/83	-	-	-	-	-	Homo sapiens	-	-	D78387	D78388	D78386	-	D78431	AB000725	-
C/Miyagi/2/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC739892	-	-	-
C/Minnesota/14/2015	-	-	2015	MAR	23	Homo sapiens	-	USA	-	-	-	CY239442	-	CY239443	-
C/Yamagata/36/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385867	-	-	-
CaenJO2	-	-	2004	-	-	-	-	France	-	-	-	EU086909	-	-	-
C/Yamagata/31/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512506	-	-	-
C/Catalonia/2588/2010	-	-	2010	APR	13	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748634	-	-	-
C/Yamagata/4/88	-	-	-	-	-	-	-	-	-	-	-	D63503	-	-	-
C/Yamagata/19/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512504	-	-	-
C/Alberta/4753/2011	-	-	2011	FEB	19	Homo sapiens	nasopharyngeal swab	Canada	-	-	-	JX080412	-	JX133155	-
C/Minnesota/02/2015	-	-	2015	JAN	9	Homo sapiens	-	USA	-	-	-	CY239421	-	CY239420	-
C/Miyagi/10/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739867	-	-	-
C/Catalonia/1945/2009	-	-	2009	NOV	23	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748625	-	-	-
C/Miyagi/4/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC739893	-	-	-
C/Minnesota/15/2015	-	-	2015	MAR	20	Homo sapiens	-	USA	-	-	-	CY239444	-	CY239445	-
Aomori/74	-	-	-	-	-	-	-	-	-	-	-	-	-	D16259	-
C/Kaohsiung/97042912C/2008	-	-	2008	APR	29	Homo sapiens	throat swab	Taiwan	-	-	-	MH185831	-	-	-
C/Kaohsiung/96060801C/2007	-	-	2007	JUN	8	Homo sapiens	throat swab	Taiwan	-	-	-	MH185830	-	-	-
C/Thailand/CN38_NS_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	MK480601
C/Catalonia/1457/2009	-	-	2009	SEP	29	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748633	-	-	-
C/Yamagata/1/88	-	-	-	-	-	Homo sapiens	-	-	-	-	-	-	-	-	AB002469
C/Miyagi/5/2006	-	-	2006	-	-	Homo sapiens	-	Japan	-	-	-	LC739858	-	-	-
C/Nara/82	-	-	1982	-	-	Homo sapiens	-	Japan	LC123306	LC123408	LC123510	-	LC123742	AB000723	AB034165
C/Yamagata/5/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512512	-	-	-
C/Miyagi/3/2006	-	-	2006	-	-	Homo sapiens	-	Japan	-	-	-	LC739857	-	-	-
C/Kaohsiung/95111003/2006	-	-	2006	NOV	10	Homo sapiens	throat swab	Taiwan	-	-	-	MH185829	-	-	-
C/Yamagata/6/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512501	-	-	-
C/Minnesota/18/2015	-	-	2015	MAR	27	Homo sapiens	-	USA	-	-	-	CY239448	-	CY239449	-
C/Minnesota/23/2015	-	-	2015	APR	15	Homo sapiens	-	USA	-	-	-	CY239457	-	CY239458	-
C/Miyagi/8/2010	-	-	2010	-	-	Homo sapiens	-	Japan	-	-	-	LC739872	-	-	-
C/Thailand/CN38_NP_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	MK480602	-	-
C/Yamagata/25/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512492	-	-	-
C/Philippines/1972-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013508	-	-	-
C/Miyagi/11/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739884	-	-	-
C/Miyagi/3/97	-	-	-	-	-	-	-	-	-	-	-	AB219077	-	-	-
C/Yamagata/4/89	-	-	-	-	-	-	-	-	-	-	-	D88428	-	-	-
C/Philippines/2069-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013510	-	-	-
C/Yamagata/64	-	-	1964	-	-	Homo sapiens	-	Japan	LC123285	LC123387	LC123489	D63467	LC123724	-	AB034155
C/Yamagata/4/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385861	-	-	-
C/Minnesota/07/2015	-	-	2015	FEB	18	Homo sapiens	-	USA	-	-	-	CY239430	-	CY239431	-
C/Minnesota/26/2015	-	-	2015	APR	15	Homo sapiens	-	USA	-	-	-	CY239463	-	CY239464	-
C/Alberta/2616/2011	-	-	2011	FEB	25	Homo sapiens	auger suction	Canada	-	-	-	-	-	JX133150	-
C/Minnesota/01/2015	-	-	2015	JAN	1	Homo sapiens	-	USA	-	-	-	CY239418	-	CY239419	-
C/Miyagi/8/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739865	-	-	-
C/Yamagata/32/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512495	-	-	-
CaenMA3	-	-	2005	-	-	-	-	France	-	-	-	EU086912	-	-	-
C/Philippines/1536-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013515	-	-	-
C/Yamagata/14/2014	-	-	2014	-	-	Homo sapiens	-	Japan	-	-	-	LC013255	-	-	-
C/Minnesota/20/2015	-	-	2015	MAR	29	Homo sapiens	-	USA	-	-	-	CY239452	-	CY239453	-
CaenBA1	-	-	2007	-	-	-	-	France	-	-	-	EU086915	-	-	-
C/Yamagata/10/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512490	-	-	-
C/Catalonia/1824/2009	-	-	2009	NOV	11	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748623	-	-	-
C/Bovine/Oklahoma/2/2017	-	-	2017	DEC	1	Bos taurus	nasal swab	USA	-	-	-	-	-	MH421865	-
C/Thailand/B12597_NP_gene/2015	-	-	2015	AUG	31	Homo sapiens	nasal swab	Thailand	-	-	-	-	MK480588	-	-
C/Miyagi/9/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739882	-	-	-
C/Yamagata/15/2014	-	-	2014	-	-	Homo sapiens	-	Japan	-	-	-	LC013256	-	-	-
C/Miyagi/6/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC739895	-	-	-
C/Yamagata/1/90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AB034176
CaenLE2	-	-	2006	-	-	-	-	France	-	-	-	EU086917	-	-	-
C/Thailand/B12597_PB2_gene/2015	-	-	2015	AUG	31	Homo sapiens	nasal swab	Thailand	MK480590	-	-	-	-	-	-
C/Yamagata/2/2015	-	-	2015	-	-	Homo sapiens	-	Japan	-	-	-	LC512488	-	-	-
Johannesburg/1/66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00031
C/Yamagata/23/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512505	-	-	-
C/Catalonia/1266/2009	-	-	2009	AUG	25	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748629	-	-	-
C/Yamagata/1/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512499	-	-	-
C/Pig/Beijing/115/81	-	-	-	-	-	Homo sapiens	-	-	-	-	-	-	D78444	D78426	AB034164
C/Yamagata/1/2017	-	-	2017	-	-	Homo sapiens	-	Japan	-	-	-	LC512497	-	-	-
C/Yamagata/24/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385864	-	-	-
CaenME1	-	-	2005	-	-	-	-	France	-	-	-	EU086910	-	-	-
C/Philippines/3496-2010/2010	-	-	2010	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013507	-	-	-
C/Philippines/1680-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013512	-	-	-
C/Chenogju/GPD1029/2015	-	-	2015	MAY	5	Homo sapiens	-	South Korea	-	-	-	-	-	-	MK050097
C/Miyagi/1/2010	-	-	2010	-	-	Homo sapiens	-	Japan	-	-	-	LC739871	-	-	-
C/Yamagata/21/2004	-	-	-	-	-	-	-	-	-	-	-	AB219080	-	-	-
C/Leyte/4/2011	-	-	-	-	-	Homo sapiens	-	Philippines	-	-	-	AB978551	-	-	-
C/Nara/1/85	-	-	-	-	-	Homo sapiens	-	-	D78396	D78397	D78395	-	D78438	AB000726	AB034168
C/Catalonia/1754/2009	-	-	2009	NOV	9	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748624	-	-	-
C/Thailand/CN38_M_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	MK480600	-
C/Yamagata/28/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512494	-	-	-
C/Catalonia/1430/2009	-	-	2009	SEP	28	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748632	-	-	-
C/Yamagata/8/2002	-	-	2002	-	-	Homo sapience	-	Japan	-	-	-	LC630941	-	-	-
C/Minnesota/22/2015	-	-	2015	MAR	31	Homo sapiens	-	USA	-	-	-	CY239455	-	CY239456	-
C/Yamagata/27/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512493	-	-	-
C/Fukushima/1/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252159	-	-	-
C/Philippines/2554-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013514	-	-	-
C/Johannesburg/66	-	-	-	-	-	Homo sapiens	-	-	-	-	-	-	-	AB000604	-
C/Miyagi/1/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739861	-	-	-
C/Minnesota/31/2015	-	-	2015	FEB	28	Homo sapiens	-	USA	-	-	-	CY239477	-	CY239478	-
C/Yamagata/39/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512513	-	-	-
C/Melbourne/2/2011	-	-	2011	OCT	7	Homo sapiens	nasopharyngeal swab	Australia	-	-	-	JN899406	-	-	-
C/Berlin/1/85	-	-	-	-	-	-	embryonated chicken eggs	-	X55992	-	-	-	-	-	-
CaenBR1	-	-	2006	-	-	-	-	France	-	-	-	EU086916	-	-	-
C/Thailand/c5395_NS_gene/2015	-	-	2015	JAN	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	MK480580
CMiyagi/5/93	-	-	-	-	-	-	-	-	-	-	AB086735	-	-	-	-
C/Minnesota/29/2015	-	-	2015	FEB	23	Homo sapiens	-	USA	-	-	-	CY239473	-	CY239474	-
C/Yamagata/10/81	-	-	1981	-	-	Homo sapiens	-	Japan	-	-	-	AB899776	-	-	M15093
C/Minnesota/24/2015	-	-	2015	APR	14	Homo sapiens	-	USA	-	-	-	CY239459	-	CY239460	-
C/Yamagata/5/2015	-	-	2015	-	-	Homo sapiens	-	Japan	-	-	-	LC512489	-	-	-
C/Thailand/B12597_P3_gene/2015	-	-	2015	AUG	31	Homo sapiens	nasal swab	Thailand	-	-	MK480591	-	-	-	-
Mississippi/80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00032
C/Miyagi/9/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC739897	-	-	-
C/Philippines/1774-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013503	-	-	-
C/Bovine/Minisoda/18/2017	-	-	2017	MAR	7	Bos taurus	nasal swab	USA	-	-	-	-	-	MH421870	-
Great Lakes/1167/54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00030
C/Saitama/1/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252160	-	-	-
C/Scotland/5334/2007	-	-	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	-	-	-	-	KT835359	KT835366	-
CaenHE2	-	-	2005	-	-	-	-	France	-	-	-	EU086911	-	-	-
C/Philippines/1813-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013505	-	-	-
C/Mie/265/2012	-	-	-	-	-	-	-	Japan	-	-	-	AB751595	-	-	-
C/Cheongju/GPD1653/2016	-	-	2016	MAY	19	Homo sapiens	-	South Korea	-	-	-	-	-	-	MK050098
C/Kyoto/41/82	-	-	-	-	-	Homo sapiens	-	-	-	-	-	-	D78434	AB000724	AB034166
C/Thailand/c5395_M_gene/2015	-	-	2015	JAN	7	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	MK480579	-
C/Yamagata/20/2004	-	-	-	-	-	-	-	-	-	-	-	AB219079	-	-	-
C/Thailand/B12983_PB1_gene/2015	-	-	2015	SEP	25	Homo sapiens	nasal swab	Thailand	-	MK480596	-	-	-	-	-
C/Mie/277/2012	-	-	-	-	-	-	-	Japan	-	-	-	AB751365	-	-	-
C/Bovine/Kansas/21/2017	-	-	2017	NOV	22	Bos taurus	lung	USA	-	-	-	-	-	MH421872	-
C/Miyagi/1/2006	-	-	2006	-	-	Homo sapiens	-	Japan	-	-	-	LC739856	-	-	-
C/England/892/1983	-	-	1983	-	-	Homo sapiens	-	United Kingdom	LC123307	LC123409	LC123511	LC122637	LC123743	-	LC124985
