isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Hiroshima/248/2000	-	-	-	-	-	-	-	Japan	AB099449	AB099474	AB099548	AB099428	AB099573	AB099597	AB099621
C/China/Taian106/2020	-	-	2020	OCT	22	Homo sapiens	oropharyngeal swab	China	OQ733379	OQ733378	OQ733377	OQ733382	OQ733381	OQ733376	OQ733380
C/Miyagi/20/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123329	LC123431	LC123533	LC122641	LC123763	LC123827	LC124991
C/Biliran/TB4-130/2018	-	-	2018	MAR	27	Homo sapiens	nasal swab	Philippines	MZ330929	MZ330928	MZ330927	MZ330923	MZ330925	MZ330924	MZ330926
C/Yamagata/16/2008	-	-	2008	-	-	Homo sapiens	-	Japan	LC123358	LC123460	LC123562	LC122663	LC123789	LC123856	LC125020
C/Scotland/7482/2007	-	-	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	KT835340	KT835336	KT835345	KT835354	KT835357	KT835363	KT835367
C/Yamagata/3/2000	-	-	2000	FEB	2	Homo sapiens	-	Japan	LC123323	LC123425	LC123527	AB099413	AB684311	AB099582	AB099606
C/Sendai/TU1/2008	-	-	2008	-	-	Homo sapiens	-	Japan	AB979707	AB980265	AB981325	AB978553	AB981425	AB982134	AB985619
C/India/P119564/2011	-	-	2011	JUN	10	Homo sapiens	TS/NS	India	KT232082	KT232083	KT232084	KT232085	KT232086	KT232087	KT232088
C/Aichi/1/81	-	-	1981	-	-	Homo sapiens	-	Japan	LC123300	LC123402	LC123504	D28970	LC123736	D78420	AB034162
C/Yamagata/14/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123352	LC123454	LC123556	LC013262	LC123784	LC123850	LC125014
C/Yamagata/9/88	-	-	1988	-	-	Homo sapiens	-	Japan	LC123309	LC123411	LC123513	D28969	LC123745	AB000728	AB034173
C/Sapporo/71	-	-	1971	-	-	Homo sapiens	-	Japan	LC123289	LC123391	LC123493	D63468	LC123727	AB000605	AB034157
C/Miyagi/3/94	-	-	-	-	-	-	-	-	AB086687	AB086715	AB064463	AB064414	AB064484	AB086776	AB086799
C/Miyagi/6/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123382	LC123484	LC123586	LC122676	LC123812	LC123880	LC125044
C/Yamagata/6/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123373	LC123475	LC123577	LC013253	LC123803	LC123871	LC125035
C/Yamagata/3/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123365	LC123467	LC123569	LC122668	LC123795	LC123863	LC125027
C/Miyagi/1/93	-	-	1993	-	-	Homo sapiens	-	Japan	LC123315	LC123417	LC123519	AB064407	LC123751	AB086767	AB086790
C/Miyagi/3/91	-	-	-	-	-	-	-	-	D87369	D87373	D87377	D87393	D87381	D87385	D87389
C/Tokyo/3/2010	-	-	2010	-	-	Homo sapiens	-	Japan	LC123363	LC123465	LC123567	LC122666	LC123793	LC123861	LC125025
C/Miyagi/5/91	-	-	1991	-	-	Homo sapiens	-	Japan	LC123311	LC123413	LC123515	AB086659	LC123747	AB086764	AB034178
C/Yamagata/27/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123337	LC123439	LC123541	AB252155	LC123770	LC123835	LC124999
C/Yamagata/4/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123366	LC123468	LC123570	AB899781	LC123796	LC123864	LC125028
C/Yamagata/4/92	-	-	1992	-	-	Homo sapiens	-	Japan	LC123312	LC123414	LC123516	AB899777	LC123748	LC123821	LC124986
C/Biliran/TB4-024/2017	-	-	2017	MAY	16	Homo sapiens	nasal swab	Philippines	MZ330915	MZ330914	MZ330913	MZ330909	MZ330911	MZ330910	MZ330912
C/Shizuoka/79	-	-	1979	-	-	Homo sapiens	-	Japan	LC123298	LC123400	LC123502	AB086656	LC123734	AB086761	AB086788
C/Miyagi/2/94	-	-	-	-	-	-	-	-	AB086686	AB086714	AB064462	AB064413	AB064483	AB086775	AB086798
C/Hiroshima/290/99	-	-	-	-	-	-	-	Japan	AB099444	AB099469	AB099543	AB099423	AB099568	AB099592	AB099616
C/Yamagata/1/2005	-	-	2005	-	-	Homo sapiens	-	Japan	LC123342	LC123444	LC123546	LC122648	LC123775	LC123840	LC125004
C/Victoria/2/2012	-	-	2012	-	-	Homo sapiens	-	Australia	KM504277	KM504278	KM504279	KM504280	KM504281	KM504282	KM504283
C/Leyte/1/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979716	AB980274	AB981331	AB978563	AB981434	AB982143	AB985628
C/Saitama/3/2000	-	-	-	-	-	-	-	-	AB099443	AB099468	AB099542	AB099422	AB099567	AB099591	AB099615
C/Sendai/TU5/2008	-	-	2008	-	-	Homo sapiens	-	Japan	AB979710	AB980268	AB981328	AB978557	AB981428	AB982137	AB985622
C/Georgia/1/69	-	-	1969	-	-	Homo sapiens	-	USA	LC123288	LC123390	LC123492	AB035359	LC123726	LC123818	LC124981
C/Biliran/1/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979713	AB980271	AB981334	AB978560	AB981431	AB982140	AB985625
C/Yamagata/8/96	-	-	1996	-	-	Homo sapiens	-	Japan	LC123320	LC123422	LC123524	AB064398	LC123756	AB064433	AB064440
C/Hiroshima/250/2000	-	-	-	-	-	-	-	Japan	AB099450	AB099475	AB099549	AB099429	AB099574	AB099598	AB099622
C/Miyagi/2/2005	-	-	2005	-	-	Homo sapiens	-	Japan	LC123345	LC123447	LC123549	LC122651	LC123777	LC123843	LC125007
C/Yamagata/14/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123368	LC123470	LC123572	LC122670	LC123798	LC123866	LC125030
C/Miyagi/4/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC739911	LC739924	LC739937	LC739889	LC739950	LC739963	LC739976
C/Yamagata/7/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123367	LC123469	LC123571	LC122669	LC123797	LC123865	LC125029
C/Palawan/068/2014	-	-	2014	MAR	18	Homo sapiens	nasal swab	Philippines	MZ331013	MZ331012	MZ331011	MZ331007	MZ331009	MZ331008	MZ331010
C/Hiroshima/252/99	-	-	-	-	-	-	-	-	AB099445	AB099470	AB099544	AB099424	AB099569	AB099593	AB099617
C/Palawan/061/2015	-	-	2015	JUL	3	Homo sapiens	nasal swab	Philippines	MZ331006	MZ331005	MZ331004	MZ331000	MZ331002	MZ331001	MZ331003
C/Biliran/TB5-625/2016	-	-	2016	AUG	23	Homo sapiens	nasal swab	Philippines	MZ330985	MZ330984	MZ330983	MZ330979	MZ330981	MZ330980	MZ330982
C/Miyagi/7/96	-	-	-	-	-	-	-	-	AB086691	AB086719	AB064465	AB064405	AB064486	AB086780	AB086803
C/Yamagata/20/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123353	LC123455	LC123557	LC122658	LC123785	LC123851	LC125015
C/Scotland/7383/2007	-	-	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	KT835341	KT835337	KT835346	KT835353	KT835356	KT835364	KT835368
C/Biliran/TB5-498/2016	-	-	2016	JUN	29	Homo sapiens	nasal swab	Philippines	MZ330971	MZ330970	MZ330969	MZ330965	MZ330967	MZ330966	MZ330968
C/Miyagi/1/90	-	-	-	-	-	-	-	-	AB086675	AB086703	AB086732	AB086658	AB086749	AB086763	AB034177
C/Yamagata/26/81	-	-	1981	-	-	Homo sapiens	-	Japan	LC123303	LC123405	LC123507	D28971	LC123739	AB000721	AB034163
C/Miyagi/8/96	-	-	1996	-	-	Homo sapiens	-	Japan	LC123318	LC123420	LC123522	AB064406	LC123754	AB086781	AB086804
C/Miyagi/2/98	-	-	-	-	-	-	-	-	AB086695	AB086723	AB086740	AB086666	AB086757	AB086784	AB086807
C/Leyte/3/2011	-	-	2011	-	-	Homo sapiens	-	Philippines	AB979706	AB980264	AB981324	AB978550	AB981424	AB982133	AB985618
C/Miyagi/7/93	-	-	1993	-	-	Homo sapiens	-	Japan	LC123317	LC123419	LC123521	AB064411	LC123753	AB086773	AB086796
C/Miyagi/2/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123380	LC123482	LC123584	LC122674	LC123810	LC123878	LC125042
