strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
C/Thailand/B12597_PB2_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	MK480590	0	0	0	0	0	0	1	0	0	0	0	0	0
C/Yamagata/10/81	FALSE	1	1981	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/New Jersey/1/76	FALSE	4	1976	-	-	Homo sapiens	-	USA	NULL	LC123291	LC123393	LC123495	0	0	0	0	1	1	1	0	0	0	0
C/Sendai/TU2/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	Miyagi, Sendai	AB979712	AB980270	AB981330	AB978559	0	AB982139	AB985624	1	1	1	1	0	1	1
C/Minnesota/03/2014	FALSE	2	2014	DEC	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239465	0	CY239466	0	0	0	0	1	0	1	0
C/Fukuoka/3/2004	FALSE	1	-	-	-	-	-	Japan	Fukuoka	0	0	0	AB252165	0	0	0	0	0	0	1	0	0	0
C/Niigata/1/2004	FALSE	1	-	-	-	-	-	Japan	Niigata	0	0	0	AB252158	0	0	0	0	0	0	1	0	0	0
C/Yamagata/1/86	FALSE	7	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000611	0	0	0	0	0	0	1	0
C/Minnesota/26/2015	FALSE	2	2015	APR	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239463	0	CY239464	0	0	0	0	1	0	1	0
C/Miyagi/1/90	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Miyagi/6/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Alberta/4406/2011	FALSE	1	2011	APR	8	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	0	0	JX133154	0	0	0	0	0	0	1	0
C/Yamagata/8/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512502	0	0	0	0	0	0	1	0	0	0
C/Yamagata/40/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512508	0	0	0	0	0	0	1	0	0	0
C/Minnesota/01/2014	FALSE	2	2014	DEC	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239417	0	CY239416	0	0	0	0	1	0	1	0
C/Fukushima/1/2004	FALSE	1	-	-	-	-	-	Japan	Fukushima	0	0	0	AB252159	0	0	0	0	0	0	1	0	0	0
C/Minnesota/01/2016	FALSE	2	2016	APR	21	Homo sapiens	-	USA	Minnesota	0	0	0	CY239484	0	CY239485	0	0	0	0	1	0	1	0
C/Mie/67/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751600	0	0	0	0	0	0	1	0	0	0
C/Yamagata/10/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512490	0	0	0	0	0	0	1	0	0	0
C/Milan/1130/2010	FALSE	1	2010	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129183	0	0	0	0	0	0	1	0	0	0
C/Paris/1/67	FALSE	7	1967	-	-	Homo sapiens	-	France	NULL	LC123287	LC123389	LC123491	0	LC123725	LC123817	LC124980	1	1	1	0	1	1	1
C/Thailand/c5395_PB2_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	MK480583	0	0	0	0	0	0	1	0	0	0	0	0	0
C/Mie/188/2012	FALSE	1	2012	-	-	Homo sapiens	-	Japan	Mie	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Thailand/c5395_NS_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480580	0	0	0	0	0	0	1
C/Thailand/CN38_NP_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480602	0	0	0	0	0	0	1	0	0
C/Mie/180/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751603	0	0	0	0	0	0	1	0	0	0
C/Minnesota/19/2015	FALSE	2	2015	MAR	30	Homo sapiens	-	USA	Minnesota	0	0	0	CY239450	0	CY239451	0	0	0	0	1	0	1	0
C/Nara/1/86	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/27/2004	FALSE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123337	LC123439	LC123541	0	LC123770	LC123835	LC124999	1	1	1	0	1	1	1
C/Thailand/B12983_M_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480593	0	0	0	0	0	0	1	0
C/Yamagata/2/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512500	0	0	0	0	0	0	1	0	0	0
C/Bovine/Minisoda/18/2017	FALSE	1	2017	MAR	7	Bos taurus	nasal swab	USA	Minisoda	0	0	0	0	0	MH421870	0	0	0	0	0	0	1	0
C/Kanagawa/2/2004	FALSE	1	-	-	-	-	-	Japan	Kanagawa	0	0	0	AB252161	0	0	0	0	0	0	1	0	0	0
C/Bovine/Nebraska/16/2017	FALSE	1	2017	FEB	27	Bos taurus	lung	USA	Nebraska	0	0	0	0	0	MH421869	0	0	0	0	0	0	1	0
C/Palawan/1/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Palawan	AB979719	AB980277	AB981337	AB978566	0	AB982146	AB985631	1	1	1	1	0	1	1
C/Yamagata/26/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385865	0	0	0	0	0	0	1	0	0	0
C/Minnesota/25/2015	FALSE	2	2015	APR	14	Homo sapiens	-	USA	Minnesota	0	0	0	CY239461	0	CY239462	0	0	0	0	1	0	1	0
C/Milan/1101/2009	FALSE	1	2009	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129182	0	0	0	0	0	0	1	0	0	0
C/Alberta/4941/2011	FALSE	2	2011	FEB	22	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080413	0	JX133158	0	0	0	0	1	0	1	0
C/Miyagi/2/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Bovine/Texas/1/2016	FALSE	1	2016	NOV	14	Bos taurus	nasal swab	USA	Texas	0	0	0	0	0	MH421864	0	0	0	0	0	0	1	0
C/Thailand/B12597_M_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480586	0	0	0	0	0	0	1	0
C/Yamagata/4/89	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	D88428	0	0	0	0	0	0	1	0	0	0
C/Miyagi/4/97	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/16/2010	FALSE	1	2010	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512487	0	0	0	0	0	0	1	0	0	0
C/Yamagata/5/2015	FALSE	1	2015	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512489	0	0	0	0	0	0	1	0	0	0
C/Saitama/1/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Milan/128/2009	FALSE	1	2009	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129180	0	0	0	0	0	0	1	0	0	0
C/Minnesota/04/2014	FALSE	2	2014	DEC	25	Homo sapiens	-	USA	Minnesota	0	0	0	CY239467	0	CY239468	0	0	0	0	1	0	1	0
C/Thailand/B12597_NS_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480587	0	0	0	0	0	0	1
C/Thailand/B12983_NP_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480595	0	0	0	0	0	0	1	0	0
C/Minnesota/17/2015	FALSE	1	2015	MAR	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239447	0	0	0	0	0	0	1	0	0	0
C/Greece/79	FALSE	7	-	-	-	-	-	Greece	NULL	0	0	0	0	AB684310	0	0	0	0	0	0	1	0	0
C/Hiroshima/252/2000	FALSE	1	-	-	-	-	human throat swab from child with bronchitis	Japan	Hiroshima	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/12/2015	FALSE	2	2015	MAR	12	Homo sapiens	-	USA	Minnesota	0	0	0	CY239438	0	CY239439	0	0	0	0	1	0	1	0
C/Hiroshima/252/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Miyagi/5/93	FALSE	6	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/5/89	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Alberta/4753/2011	FALSE	2	2011	FEB	19	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080412	0	JX133155	0	0	0	0	1	0	1	0
C/NewJersey/76	FALSE	7	-	-	-	-	-	USA	NULL	0	0	0	0	AB684309	0	0	0	0	0	0	1	0	0
C/Saitama/2/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/9/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/14/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512491	0	0	0	0	0	0	1	0	0	0
C/Chenogju/GPD1029/2015	FALSE	1	2015	MAY	5	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050097	0	0	0	0	0	0	1
C/Catalonia/1373/2009	FALSE	1	2009	SEP	9	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748628	0	0	0	0	0	0	1	0	0	0
C/Miyagi/1/94	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Bovine/Colorado/6/2017	FALSE	1	2017	DEC	30	Bos taurus	nasal swab	USA	Colorado	0	0	0	0	0	MH421867	0	0	0	0	0	0	1	0
C/Leyte/4/2011	FALSE	1	-	-	-	Homo sapiens	-	Philippines	Leyte	0	0	0	AB978551	0	0	0	0	0	0	1	0	0	0
C/Yamagata/2/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/13/2015	FALSE	2	2015	MAR	21	Homo sapiens	-	USA	Minnesota	0	0	0	CY239440	0	CY239441	0	0	0	0	1	0	1	0
C/Yamagata/33/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123378	LC123480	LC123582	0	LC123808	LC123876	LC125040	1	1	1	0	1	1	1
C/Chenogju/GPD805/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050099	0	0	0	0	0	0	1
C/Mie/193/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751597	0	0	0	0	0	0	1	0	0	0
C/Thailand/B12983_PB2_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	MK480597	0	0	0	0	0	0	1	0	0	0	0	0	0
C/Mie/204/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751599	0	0	0	0	0	0	1	0	0	0
C/Mie/185/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751598	0	0	0	0	0	0	1	0	0	0
C/Miyagi/1/97	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Bovine/Missouri/5/2017	FALSE	1	2017	DEC	30	Bos taurus	nasal swab	USA	Missouri	0	0	0	0	0	MH421866	0	0	0	0	0	0	1	0
C/Miyagi/2/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Miyagi/3/91	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Sendai/TU1/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	Miyagi, Sendai	AB979707	AB980265	AB981325	AB978553	0	AB982134	AB985619	1	1	1	1	0	1	1
C/Thailand/CN38_HE_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480599	0	0	0	0	0	0	1	0	0	0
C/Kaohsiung/105032177/2016	FALSE	1	2016	MAR	21	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185833	0	0	0	0	0	0	1	0	0	0
C/Minnesota/14/2015	FALSE	2	2015	MAR	23	Homo sapiens	-	USA	Minnesota	0	0	0	CY239442	0	CY239443	0	0	0	0	1	0	1	0
C/Cheongju/GPD805/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	South Korea	NULL	0	0	0	MK050094	0	0	0	0	0	0	1	0	0	0
C/Yamagata/28/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512494	0	0	0	0	0	0	1	0	0	0
C/Thailand/B12983_PB1_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	MK480596	0	0	0	0	0	0	1	0	0	0	0	0
C/Leyte/3/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Leyte	AB979718	AB980276	AB981333	AB978565	0	AB982145	AB985630	1	1	1	1	0	1	1
C/Mie/277/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751365	0	0	0	0	0	0	1	0	0	0
C/Yamagata/20/2004	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Catalonia/1318/2009	FALSE	1	2009	SEP	1	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748631	0	0	0	0	0	0	1	0	0	0
Aomori/74	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16259	0	0	0	0	0	0	1	0
C/Leyte/3/2011	FALSE	7	2011	-	-	Homo sapiens	-	Philippines	Leyte	AB979706	AB980264	AB981324	AB978550	0	AB982133	AB985618	1	1	1	1	0	1	1
C/Melbourne/2/2011	FALSE	1	2011	OCT	7	Homo sapiens	nasopharyngeal swab	Australia	Melbourne	0	0	0	JN899406	0	0	0	0	0	0	1	0	0	0
C/Thailand/B12597_P3_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480591	0	0	0	0	0	0	1	0	0	0	0
C/Hiroshima/4/2004	FALSE	1	-	-	-	-	-	Japan	Hiroshima	0	0	0	AB252163	0	0	0	0	0	0	1	0	0	0
C/Yamagata/14/2014	FALSE	1	2014	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Thailand/B12597_PB1_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	MK480589	0	0	0	0	0	0	1	0	0	0	0	0
Yamagata/64	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16258	0	0	0	0	0	0	1	0
