sequenceID	isolate	gb_segment	rec_segment	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	pubmed_id	length
AF170576	AF170576	C/Johannesburg/1/66	1	1	-	-	-	-	-	-	South Africa	-	10600605	2365
AF170575	AF170575	C/Johannesburg/1/66	2	2	-	-	-	-	-	-	South Africa	-	10600605	2363
AF170574	AF170574	C/Johannesburg/1/66	3	3	-	-	-	-	-	-	South Africa	-	10600605	2183
AJ872181	AJ872181	C/Johannesburg/1/66	4	4	-	-	-	-	-	-	-	-	15831958	2073
AM410041	AM410041	C/Johannesburg/1/66	4	4	-	-	-	-	-	-	-	-	17686850	2073
AF170573	AF170573	C/Johannesburg/1/66	5	5	-	-	-	-	-	-	South Africa	-	10600605	1802
AM410042	AM410042	C/Johannesburg/1/66	6	6	-	-	-	-	-	-	-	-	17686850	1180
LC124979	LC124979	C/Johannesburg/1/66	7	7	-	-	1966	-	-	-	South Africa	-	27384661	880
AM410043	AM410043	C/Johannesburg/1/66	7	7	-	-	-	-	-	-	-	-	17686850	935
LC123304	LC123304	C/pig/Beijing/115/81	1	1	-	-	1981	-	-	-	China	-	27384661	2325
LC123406	LC123406	C/pig/Beijing/115/81	2	2	-	-	1981	-	-	-	China	-	27384661	2322
LC123508	LC123508	C/pig/Beijing/115/81	3	3	-	-	1981	-	-	-	China	-	27384661	2139
LC122636	LC122636	C/pig/Beijing/115/81	4	4	-	-	1981	-	-	-	China	-	27384661	1986
LC123740	LC123740	C/pig/Beijing/115/81	5	5	-	-	1981	-	-	-	China	-	27384661	1754
AB000722	AB000722	C/pig/Beijing/115/81	6	6	-	-	-	-	-	-	-	-	9354270	1136
