strain_id	complete	seq_count	cg_subtype	hn_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_region	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts	segment_8_counts
A/blue-winged teal/Guatemala/CIP049H105-04/2011	TRUE	8	B9|E1|A3|H11|A11|N3|B|A	H11N3	2011	DEC	8	Anas discors	-	Guatemala	NULL	KY644287	KY644414	KY644315	KY644397	KY644484	KY644440	KY644407	KY644301	1	1	1	1	1	1	1	1
A/blue-winged teal/Guatemala/CIP049H110-36/2012	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2012	NOV	29	Anas discors	-	Guatemala	NULL	KX365059	KX365076	KX365073	KX365060	KX365054	KX365070	KX365069	KX365071	1	1	1	1	1	1	1	1
A/northern pintail/Ohio/17OS3788/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|B	H11N3	2017	OCT	21	Anas acuta	cloacal	USA	NULL	MK237399	MK236835	MK236648	MK237305	MK237146	MK236969	MK237398	MK237505	1	1	1	1	1	1	1	1
A/mallard/Wisconsin/17OS3974/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|A	H11N3	2017	OCT	1	Anas platyrhynchos	cloacal	USA	NULL	MK237482	MK237733	MK237896	MK237051	MK236908	MK237457	MK237366	MK237788	1	1	1	1	1	1	1	1
A/wild waterfowl/Western Australia/AS18-1331-10/2018	TRUE	8	A5|D1|A12|H11|A11|N3|A|A	H11N3	2018	APR	3	Aves	pooled fecal swabs	Australia	Western Australia	OL372188	OL372189	OL372190	OL372191	OL372192	OL372193	OL372194	OL372195	1	1	1	1	1	1	1	1
A/ruddy turnstone/Delaware Bay/39/1994	TRUE	8	B4|E1|A8|H11|A11|N3|A|A	H11N3	1994	MAY	1	Arenaria interpres	-	USA	Delaware	CY127047	CY127046	CY127045	CY127040	CY127043	CY127042	CY127041	CY127044	1	1	1	1	1	1	1	1
A/call duck/Maryland/S698/2004	TRUE	8	B9|E1|A11|H11|A11|N3|B|B	H11N3	2004	-	-	Anas platyrhynchos	cloacal swab	USA	NULL	KJ361907	KJ361906	KJ361905	KJ361900	KJ361903	KJ361902	KJ361901	KJ361904	1	1	1	1	1	1	1	1
A/American green-winged teal/Mississippi/15OS8008/2015	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2015	DEC	22	Anas crecca	-	USA	NULL	KY561186	KY561075	KY561219	KY561199	KY561220	KY561237	KY561057	KY561180	1	1	1	1	1	1	1	1
A/green winged teal/Mexico-Sonora/701/2008	TRUE	8	B9|E1|A3|H11|A11|N3|B|A	H11N3	2008	DEC	13	Anas carolinensis	cloacal swab	Mexico	Sonora	KY575177	KY575178	KY575179	KY575180	KY575181	KY575182	KY575183	KY575184	1	1	1	1	1	1	1	1
A/duck/Thailand/CU5408/2009	TRUE	8	A5|D1|A12|H11|A8|N3|A|A	H11N3	2009	-	-	Anseriformes sp.	cloacal swab	Thailand	Suphanburi	CY076709	CY076710	CY076711	CY076712	CY076713	CY076714	CY076715	CY076716	1	1	1	1	1	1	1	1
A/duck/Bangladesh/38297/2019	TRUE	8	A5|D1|A12|H11|A8|N3|A|A	H11N3	2019	FEB	9	Anas sp.	Combined cloacal and oral-pharyngeal	Bangladesh	NULL	MT090430	MT090432	MT090431	MT090436	MT090437	MT090435	MT090434	MT090433	1	1	1	1	1	1	1	1
A/mallard/Ohio/17OS3004/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|A	H11N3	2017	OCT	14	Anas platyrhynchos	cloacal	USA	NULL	MK237265	MK237951	MK237758	MK236933	MK237237	MK237729	MK237465	MK237655	1	1	1	1	1	1	1	1
A/mallard/Washington/44256-522/2006	TRUE	8	B9|E1|A10|H11|A11|N3|B|A	H11N3	2006	NOV	8	Anas platyrhynchos	-	USA	Yakima County, Washington	CY076332	CY076331	CY076330	CY076325	CY076328	CY076327	CY076326	CY076329	1	1	1	1	1	1	1	1
A/duck/Fujian/SD061/2017	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2017	-	-	Anseriformes sp.	-	China	NULL	MG214174	MG214172	MG214170	MG214160	MG214166	MG214164	MG214162	MG214168	1	1	1	1	1	1	1	1
A/Northern Pintail/Ohio/17OS5380/2017	TRUE	48	B10|E1|A3|H11|A11|N3|B|B	H11N3	2017	NOV	11	Anas acuta	Cloacal	USA	NULL	MT824626	MT825010	MT824623	MT824622	MT824624	MT824620	MT824621	MT824625	1	1	1	1	1	1	1	1
A/blue-winged teal/Guatemala/CIP049H110-37/2012	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2012	NOV	29	Anas discors	-	Guatemala	NULL	KY644486	KY644510	KY644463	KY644318	KY644321	KY644392	KY644379	KY644400	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D22/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028802	KX028808	KX028814	KX028820	KX028826	KX028832	KX028838	KX028844	1	1	1	1	1	1	1	1
A/mallard/Arkansas/12OS140/2012	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2012	JAN	15	Anas platyrhynchos	-	USA	Arkansas	CY167142	CY167141	CY167140	CY167135	CY167138	CY167137	CY167136	CY167139	1	1	1	1	1	1	1	1
A/blue-winged teal/North Carolina/NC674-362/2005	TRUE	8	B9|E1|A3|H11|A11|N3|B|A	H11N3	2005	OCT	5	Anas discors	-	USA	JM Futch, NC	CY144594	CY144593	CY144592	CY144587	CY144590	CY144589	CY144588	CY144591	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D9/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028801	KX028807	KX028813	KX028819	KX028825	KX028831	KX028837	KX028843	1	1	1	1	1	1	1	1
A/mallard/Ohio/102/1986	TRUE	8	B3|E1|A8|H11|A11|N3|B|A	H11N3	1986	OCT	24	Anas platyrhynchos	gender:M	USA	OH	CY018022	CY018021	CY018020	CY018015	CY018018	CY018017	CY018016	CY018019	1	1	1	1	1	1	1	1
A/duck/Bangladesh/38305/2019	TRUE	8	A5|D1|A12|H11|A8|N3|A|A	H11N3	2019	FEB	9	Anas sp.	Combined cloacal and oral-pharyngeal	Bangladesh	NULL	MT090553	MT090554	MT090552	MT090555	MT090558	MT090557	MT090551	MT090556	1	1	1	1	1	1	1	1
A/mallard/Ohio/94/1993	TRUE	8	B5|E1|A10|H11|A11|N3|B|B	H11N3	1993	-	-	Anas platyrhynchos	gender:M; age:immature	USA	OH	CY021260	CY021259	CY021258	CY021253	CY021256	CY021255	CY021254	CY021257	1	1	1	1	1	1	1	1
A/mallard/Missouri/MO130/2005	TRUE	8	B10|E1|A10|H11|A11|N3|B|B	H11N3	2005	-	-	Anas platyrhynchos	gender:M; age:adult	USA	MO	CY021148	CY021147	CY021146	CY021141	CY021144	CY021143	CY021142	CY021145	1	1	1	1	1	1	1	1
A/duck/Thailand/CU5388/2009	TRUE	8	A5|D1|A12|H11|A8|N3|A|A	H11N3	2009	-	-	Anseriformes sp.	cloacal swab	Thailand	Suphanburi	CY076701	CY076702	CY076703	CY076704	CY076705	CY076706	CY076707	CY076708	1	1	1	1	1	1	1	1
A/green-winged teal/Tennessee/17OS0664/2017	TRUE	8	B10|E1|A7|H11|A11|N3|B|A	H11N3	2017	JAN	25	Anas crecca	-	USA	NULL	MG280114	MG279979	MG279921	MG279970	MG280428	MG280120	MG279967	MG280339	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D2/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028799	KX028805	KX028811	KX028817	KX028823	KX028829	KX028835	KX028841	1	1	1	1	1	1	1	1
A/mallard/Illinois/3051/2009	TRUE	8	B10|E1|A11|H11|A11|N3|B|A	H11N3	2009	OCT	17	Anas platyrhynchos	-	USA	Illinois	CY096949	CY096948	CY096947	CY096942	CY096945	CY096944	CY096943	CY096946	1	1	1	1	1	1	1	1
A/duck/Bangladesh/38803/2019	TRUE	18	A5|D1|A12|H11|A8|N3|A|B	H11N3	2019	FEB	9	Anas sp.	Cloacal	Bangladesh	NULL	MT090216	MT090214	MT090209	MT090211	MT090210	MT090213	MT090212	MT090215	1	1	1	1	1	1	1	1
A/mallard/Wisconsin/11OS4362/2011	TRUE	8	B9|E1|A3|H11|A11|N3|B|A	H11N3	2011	NOV	5	Anas platyrhynchos	-	USA	Wisconsin	CY166719	CY166718	CY166717	CY166712	CY166715	CY166714	CY166713	CY166716	1	1	1	1	1	1	1	1
A/blue-winged teal/Illinois/12OS2951/2012	TRUE	8	B9|E1|A10|H11|A11|N3|B|A	H11N3	2012	SEP	8	Anas discors	-	USA	Illinois	CY186747	CY186746	CY186745	CY186740	CY186743	CY186742	CY186741	CY186744	1	1	1	1	1	1	1	1
A/mallard duck/Netherlands/24/2005	TRUE	18	A5|D1|A12|H11|A8|N3|A|B	H11N3	2005	OCT	29	Anas platyrhynchos	-	Netherlands	NULL	MF147783	MF147884	MF146777	MF146908	MF147219	MF146705	MF146121	MF145832	1	1	1	1	1	1	1	1
A/blue-winged teal/TX/AI13-1009/2013	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2013	MAR	1	Anas discors	-	USA	TX	KJ413538	KJ413539	KJ413540	KJ413541	KJ413542	KJ413543	KJ413544	KJ413545	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D25/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028803	KX028810	KX028815	KX028821	KX028827	KX028833	KX028839	KX028845	1	1	1	1	1	1	1	1
A/blue-winged teal/Wisconsin/17OS3270/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|A	H11N3	2017	SEP	30	Anas discors	cloacal	USA	NULL	MK237978	MK236763	MK237973	MK236639	MK237281	MK236817	MK236816	MK237331	1	1	1	1	1	1	1	1
A/mallard duck/Ohio/15OS7510/2015	TRUE	8	B10|E1|A3|H11|A11|N3|B|A	H11N3	2015	DEC	8	Anas platyrhynchos	-	USA	NULL	KY561315	KY561251	KY561086	KY561163	KY561259	KY561034	KY561112	KY561127	1	1	1	1	1	1	1	1
A/duck/Jiangsu/10-d4/2011	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2011	-	-	Anseriformes sp.	-	China	Jiangsu	CY125004	CY125005	CY125006	CY125007	CY125008	CY125009	CY125010	CY125011	1	1	1	1	1	1	1	1
A/mallard/Missouri/10MO0550/2010	TRUE	8	B10|E1|A10|H11|A11|N3|B|B	H11N3	2010	DEC	29	Anas platyrhynchos	-	USA	Missouri	CY133876	CY133875	CY133874	CY133869	CY133872	CY133871	CY133870	CY133873	1	1	1	1	1	1	1	1
A/duck/Bangladesh/38827/2019	TRUE	8	A5|D1|A12|H11|A8|N3|A|B	H11N3	2019	FEB	9	Anas sp.	Cloacal	Bangladesh	NULL	MT090535	MT090540	MT090537	MT090536	MT090534	MT090533	MT090539	MT090538	1	1	1	1	1	1	1	1
A/mallard/Ohio/17OS5348/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|B	H11N3	2017	NOV	11	Anas platyrhynchos	cloacal	USA	NULL	MK237721	MK237718	MK237137	MK236760	MK236935	MK237859	MK237186	MK237120	1	1	1	1	1	1	1	1
A/ruddy turnstone/Delaware Bay/232/2020	TRUE	48	B10|E1|A3|H11|A11|N3|B|A	H11N3	2020	MAY	29	Arenaria interpres	feces	USA	NULL	MW875792	MW875787	MW875790	MW875789	MW875791	MW875788	MW875793	MW875794	1	1	1	1	1	1	1	1
A/duck/Bangladesh/38285/2019	TRUE	8	A5|D1|A12|H11|A8|N3|A|A	H11N3	2019	FEB	18	Anas sp.	Oral-pharyngeal	Bangladesh	NULL	MT090341	MT090344	MT090345	MT090343	MT090338	MT090340	MT090342	MT090339	1	1	1	1	1	1	1	1
A/environment/Fujian/S1XA33/2017	TRUE	8	A3|D1|A5|H11|A8|N3|A|B	H11N3	2017	-	-	-	poultry slaughterhouse	China	NULL	MG214175	MG214173	MG214171	MG214161	MG214167	MG214165	MG214163	MG214169	1	1	1	1	1	1	1	1
A/emperor goose/Alaska/UGAI15-8460/2015	TRUE	16	B4|E1|A7|H11|A11|N3|B|A	H11N3	2015	DEC	16	Anser canagicus	Environmental (feces)	USA	Alaska	MH569292	MH569293	MH569294	MH569295	MH569296	MH569297	MH569298	MH569299	1	1	1	1	1	1	1	1
A/mallard duck/ALB/797/1983	TRUE	8	B8|E1|A10|H11|A11|N3|B|A	H11N3	1983	AUG	23	Aves	-	Canada	Alberta	CY005280	CY005279	CY005278	CY006002	CY005276	CY005275	CY005274	CY005277	1	1	1	1	1	1	1	1
A/American green-winged teal/Wisconsin/17OS4004/2017	TRUE	8	B10|E1|A11|H11|A11|N3|B|A	H11N3	2017	OCT	1	Anas carolinensis	cloacal	USA	NULL	MK237328	MK237724	MK237885	MK236848	MK237257	MK237747	MK236668	MK236727	1	1	1	1	1	1	1	1
A/blue-winged teal/Ohio/12OS2241/2012	TRUE	8	B4|E1|A10|H11|A11|N3|B|B	H11N3	2012	SEP	8	Anas discors	-	USA	Ohio	CY186894	CY186893	CY186892	CY186887	CY186890	CY186889	CY186888	CY186891	1	1	1	1	1	1	1	1
A/ruddy turnstone/Delaware Bay/231/2020	TRUE	18	B10|E1|A3|H11|A11|N3|B|A	H11N3	2020	MAY	29	Arenaria interpres	feces	USA	NULL	MW875725	MW875724	MW875721	MW875722	MW875720	MW875719	MW875726	MW875723	1	1	1	1	1	1	1	1
A/northern shoveler/Guatemala/CIP049H104-69/2011	TRUE	8	B9|E1|A3|H11|A11|N3|B|A	H11N3	2011	DEC	1	Anas clypeata	-	Guatemala	NULL	KY644406	KY644332	KY644506	KY644310	KY644212	KY644214	KY644454	KY644371	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D26/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028804	KX028809	KX028816	KX028822	KX028828	KX028834	KX028840	KX028846	1	1	1	1	1	1	1	1
A/duck/Zhejiang/727D7/2013	TRUE	8	A3|D1|A5|H11|A8|N3|A|A	H11N3	2013	JUL	27	Anseriformes sp.	fecal samples	China	NULL	KX028800	KX028806	KX028812	KX028818	KX028824	KX028830	KX028836	KX028842	1	1	1	1	1	1	1	1
