cg_hn_subtype	strain_count
H16N8	4
H13N8	10
H16N3	1
H6N9	16
H1N5	12
H5N4	5
H11N8	30
H9N8	11
H2N7	33
H12N5	229
H8N2	3
H6N6	468
H6N1	441
H15N4	1
H7N3	771
H2N3	251
H3N5	23
H2N8	16
H14N4	2
H8N6	2
H14N8	2
H10N5	154
H3NZ	7
H10N4	78
H11N6	15
H9N9	24
H15N9	6
H1N6	44
H5N6	521
H8N3	1
H5N1	2010
H5N5	43
H6N8	262
H2N4	3
H3N3	44
H3N2	16851
H11N2	143
H9N7	3
H4N3	27
H15N7	1
H12N3	18
H16N5	1
H9N5	24
H6N2	616
H12N1	23
H13N2	41
H12N6	5
H4N2	198
H6N5	83
H7N7	210
H10N9	49
H12N9	8
H7N4	29
H11N4	1
H10N2	66
H12N4	44
H10N8	114
H2N6	10
H3N4	7
H3N8	1615
H7N2	262
H16N6	3
H3N6	307
H8N8	2
H4N4	20
H11N9	471
H11N1	42
H14N6	5
H6N3	12
H5N8	729
H7N1	215
H6N7	2
H11N3	56
H4N8	300
H14N2	2
H9N4	1
H2N2	163
H1N8	46
H5NZ	1
H9N2	2127
H6N4	9
H15N5	6
H4N7	7
H1N3	95
H9N1	36
H1N2	714
H4N9	49
H4N6	1577
H1N7	10
H4N5	15
H10N3	137
H10N1	77
H8N4	167
H13N6	33
H1N9	68
H2N5	30
H8N1	1
H10N6	35
H11N7	6
H12N2	18
H4N1	25
H1N1	3542
H10N7	250
H3N9	16
H7N8	37
H2N9	60
H14N5	6
H7N5	11
H5N7	4
H12N7	2
H1N4	11
H7N6	60
H13N9	1
H5N9	38
H5N2	1359
H7N9	504
H14N3	16
H2N1	42
H5N3	131
H12N8	15
H11N5	16
H3N7	16
H9N6	53
H9N3	6
H3N1	126
