cg_subtype	strain_count
B10|E1|A10|H11|A11|N2|B|A	2
B4|E1|A3|H1|A11|N1|B|A	4
B5|E1|A3|H3|A11|N6|B|B	1
A3|D1|A5|H5|A8|N2|A|A	2
B9|E1|A11|H5|A11|N2|B|A	35
B8|E1|A10|H6|A11|N2|B|A	3
A5|D1|A12|H4|A8|N3|A|A	4
B10|E1|A10|H6|A11|N1|B|A	6
A3|D1|A12|H3|A8|N8|A|B	31
A3|D1|A12|H4|A8|N2|A|B	11
B10|E1|A11|H10|A11|N6|B|A	1
B4|E1|A3|H3|A11|N1|B|A	1
B10|E1|A3|H12|A11|N1|B|A	4
A3|D1|A12|H7|A8|N2|A|B	3
B10|E1|A7|H10|A11|N7|B|B	5
B9|A1|A3|H1|A11|N1|B|B	1
B4|E1|A7|H3|A8|N8|B|B	6
B4|E1|A3|H14|A11|N6|B|A	1
A4|E1|A11|H10|A11|N7|A|B	1
B5|E1|A10|H4|A11|N6|B|B	1
A5|D1|A5|H4|A8|N3|A|A	1
B9|E1|A10|H1|A11|N7|B|A	1
B10|E1|A11|H2|A11|N5|B|A	1
B10|E1|A11|H4|A11|N9|B|A	15
A5|D1|A12|H8|A8|N6|A|B	2
A4|D1|A4|H10|A8|N4|A|A	1
B5|C1|A7|H3|A3|N2|B|X	17
B8|E1|A8|H6|A11|N2|B|A	13
B10|E1|A7|H3|A8|N8|B|B	2
B8|E1|A10|H3|A11|N8|B|B	7
B5|E1|A10|H11|A11|N2|B|B	1
B9|E1|A10|H10|A11|N9|B|A	14
A5|D1|A12|H3|A8|N1|A|B	4
B5|E1|A3|H3|A11|N9|B|B	2
B5|E1|A8|H6|A11|N2|B|A	1
B4|E1|A10|H10|A11|N7|B|A	1
B9|E1|A7|H6|A11|N1|B|B	1
B4|E1|A10|H3|A11|N8|B|A	6
B7|A1|A7|H1|A2|N1|B2|A	1
A5|D1|A12|H11|A11|N9|A|A	5
A3|D1|A12|H3|A8|N1|A|B	3
B10|E1|A11|H6|A11|N2|B|B	5
B8|E1|A10|H5|A11|N2|B|B	12
B3|E1|A10|H3|A11|N8|B|A	2
B5|E1|A10|H7|A11|N3|B|A	1
A3|D1|A12|H10|A8|N9|A|B	1
A2|E1|A6|H16|A5|N5|B|A	1
B9|E1|A11|H5|A11|N1|B|B	2
A5|D1|A12|H10|A8|N2|A|A	9
