strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
C/Biliran/TB4-169/2018	TRUE	7	2018	APR	24	Homo sapiens	nasal swab	Philippines	Biliran	MZ330936	MZ330935	MZ330934	MZ330930	MZ330932	MZ330931	MZ330933	1	1	1	1	1	1	1
C/Miyagi/4/2002	TRUE	7	2002	JAN	24	Homo sapiens	-	Japan	Miyagi	LC123327	LC123429	LC123531	LC122639	AB684312	LC123825	LC124989	1	1	1	1	1	1	1
C/Biliran/TB4-024/2017	TRUE	7	2017	MAY	16	Homo sapiens	nasal swab	Philippines	Biliran	MZ330915	MZ330914	MZ330913	MZ330909	MZ330911	MZ330910	MZ330912	1	1	1	1	1	1	1
C/Yamagata/29/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC603653	LC603654	LC603652	LC603648	LC603650	LC603649	LC603651	1	1	1	1	1	1	1
C/Miyagi/31/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123331	LC123433	LC123535	LC122643	LC123765	LC123829	LC124993	1	1	1	1	1	1	1
C/Scotland/7274/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835342	KT835339	KT835347	KT835352	KT835358	KT835362	KT835369	1	1	1	1	1	1	1
C/Biliran/TB5-195/2014	TRUE	7	2014	JUN	2	Homo sapiens	nasal swab	Philippines	Biliran	MZ330950	MZ330949	MZ330948	MZ330944	MZ330946	MZ330945	MZ330947	1	1	1	1	1	1	1
C/Biliran/TB8-250/2014	TRUE	7	2014	JUL	10	Homo sapiens	nasal swab	Philippines	Biliran	MZ330999	MZ330998	MZ330997	MZ330993	MZ330995	MZ330994	MZ330996	1	1	1	1	1	1	1
C/Yamagata/11/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123357	LC123459	LC123561	LC122662	LC123788	LC123855	LC125019	1	1	1	1	1	1	1
C/Yamagata/7/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123367	LC123469	LC123571	LC122669	LC123797	LC123865	LC125029	1	1	1	1	1	1	1
C/Miyagi/2/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Miyagi	LC123371	LC123473	LC123575	LC122672	LC123801	LC123869	LC125033	1	1	1	1	1	1	1
C/India/P135047/2013	TRUE	7	2013	APR	25	Homo sapiens	TS/NS	India	NULL	KM507552	KM507553	KM507554	KM507555	KM507556	KM507557	KM507558	1	1	1	1	1	1	1
C/Miyagi/4/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Miyagi	LC123354	LC123456	LC123558	LC122659	LC123786	LC123852	LC125016	1	1	1	1	1	1	1
C/Singapore/DSO-070170/2006	TRUE	7	2006	NOV	17	Homo sapiens	-	Singapore	NULL	JX963127	JX963123	JX963119	GQ853453	JX963111	JX963107	JX963115	1	1	1	1	1	1	1
C/Biliran/TB5-498/2016	TRUE	7	2016	JUN	29	Homo sapiens	nasal swab	Philippines	Biliran	MZ330971	MZ330970	MZ330969	MZ330965	MZ330967	MZ330966	MZ330968	1	1	1	1	1	1	1
C/Miyagi/25/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123339	LC123441	LC123543	LC122646	LC123772	LC123837	LC125001	1	1	1	1	1	1	1
C/Yamagata/3/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123332	LC123434	LC123536	AB252153	LC123766	LC123830	LC124994	1	1	1	1	1	1	1
C/India/P121719/2012	TRUE	7	2012	FEB	24	Homo sapiens	TS/NS	India	NULL	KM507545	KM507546	KM507547	KM507548	KM507549	KM507550	KM507551	1	1	1	1	1	1	1
C/Biliran/TB2-204/2014	TRUE	7	2014	JUL	24	Homo sapiens	nasal swab	Philippines	Biliran	MZ330901	MZ330900	MZ330899	MZ330895	MZ330897	MZ330896	MZ330898	1	1	1	1	1	1	1
C/Victoria/2/2012	TRUE	7	2012	-	-	Homo sapiens	-	Australia	NULL	KM504277	KM504278	KM504279	KM504280	KM504281	KM504282	KM504283	1	1	1	1	1	1	1
C/canine/China/Guangzhou-1/2020	TRUE	7	2020	-	-	Canis familiaris	nasal swab	China	NULL	OK254894	OK254893	OK254892	OK254888	OK254890	OK254889	OK254891	1	1	1	1	1	1	1
C/Scotland/7482/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835340	KT835336	KT835345	KT835354	KT835357	KT835363	KT835367	1	1	1	1	1	1	1
C/Singapore/DSO-050530/2006	TRUE	7	2006	MAY	18	Homo sapiens	-	Singapore	NULL	JX963126	JX963122	JX963118	GQ853455	JX963110	JX963106	JX963114	1	1	1	1	1	1	1
C/Biliran/TB4-067/2017	TRUE	7	2017	JUN	15	Homo sapiens	nasal swab	Philippines	Biliran	MZ330922	MZ330921	MZ330920	MZ330916	MZ330918	MZ330917	MZ330919	1	1	1	1	1	1	1
C/Yamagata/1/2007	TRUE	7	2007	JAN	17	Homo sapiens	-	Japan	Yamagata	LC123355	LC123457	LC123559	LC122660	AB684315	LC123853	LC125017	1	1	1	1	1	1	1
C/Biliran/TB5-312/2017	TRUE	7	2017	JUN	13	Homo sapiens	nasal swab	Philippines	Biliran	MZ330964	MZ330963	MZ330962	MZ330958	MZ330960	MZ330959	MZ330961	1	1	1	1	1	1	1
C/India/P119564/2011	TRUE	7	2011	JUN	10	Homo sapiens	TS/NS	India	NULL	KT232082	KT232083	KT232084	KT232085	KT232086	KT232087	KT232088	1	1	1	1	1	1	1
C/Miyagi/12/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123338	LC123440	LC123542	AB252156	LC123771	LC123836	LC125000	1	1	1	1	1	1	1
C/Biliran/TB2-180/2014	TRUE	7	2014	JUL	7	Homo sapiens	nasal swab	Philippines	Biliran	MZ330894	MZ330893	MZ330892	MZ330888	MZ330890	MZ330889	MZ330891	1	1	1	1	1	1	1
C/Biliran/TB4-130/2018	TRUE	7	2018	MAR	27	Homo sapiens	nasal swab	Philippines	Biliran	MZ330929	MZ330928	MZ330927	MZ330923	MZ330925	MZ330924	MZ330926	1	1	1	1	1	1	1
C/Mississippi/80	TRUE	13	1980	-	-	Homo sapiens	-	USA	NULL	D78393	LC123401	LC123503	LC122635	LC123735	D78437	M31007	2	2	2	1	2	2	2
C/Yamagata/3/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123365	LC123467	LC123569	LC122668	LC123795	LC123863	LC125027	1	1	1	1	1	1	1
C/Tokyo/1/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Tokyo	LC123383	LC123485	LC123587	LC122677	LC123813	LC123881	LC125045	1	1	1	1	1	1	1
C/California/78	TRUE	11	1978	-	-	Homo sapiens	-	USA	NULL	LC123294	LC123396	LC123498	LC122634	LC123731	AB000608	M10087	1	1	1	1	1	1	1
C/Iwate/2/2016	TRUE	7	2016	-	-	Homo sapiens	-	Japan	Iwate	LC327659	LC327660	LC327661	LC327662	LC327663	LC327664	LC327665	1	1	1	1	1	1	1
C/canine/China/Guangzhou-2/2020	TRUE	7	2020	-	-	Canis familiaris	nasal swab	China	NULL	OK254901	OK254900	OK254899	OK254895	OK254897	OK254896	OK254898	1	1	1	1	1	1	1
C/Singapore/DSO-070193/2006	TRUE	7	2006	NOV	29	Homo sapiens	-	Singapore	NULL	JX963128	JX963124	JX963120	GQ853454	JX963112	JX963108	JX963116	1	1	1	1	1	1	1
C/Yamagata/3/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123356	LC123458	LC123560	LC122661	LC123787	LC123854	LC125018	1	1	1	1	1	1	1
C/Miyagi/2/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123380	LC123482	LC123584	LC122674	LC123810	LC123878	LC125042	1	1	1	1	1	1	1
C/Yamagata/1/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Yamagata	LC123342	LC123444	LC123546	LC122648	LC123775	LC123840	LC125004	1	1	1	1	1	1	1
C/Yamagata/20/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123353	LC123455	LC123557	LC122658	LC123785	LC123851	LC125015	1	1	1	1	1	1	1
C/Tokyo/4/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Tokyo	LC123384	LC123486	LC123588	LC122678	LC123814	LC123882	LC125046	1	1	1	1	1	1	1
C/Yamagata/26/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123336	LC123438	LC123540	LC122645	LC123769	LC123834	LC124998	1	1	1	1	1	1	1
C/Yamagata/11/88	TRUE	7	1988	-	-	Homo sapiens	-	Japan	Yamagata	LC603646	LC603647	LC603645	LC603641	LC603643	LC603642	LC603644	1	1	1	1	1	1	1
