isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/Mississippi/C00013N/2014	-	-	-	-	-	-	-	-	MT511506	MT511507	MT511508	KT581416	MT511509	MT511510	MT511511
D/bovine/Mississippi/C00218N/2015	-	-	-	-	-	-	-	-	MT511464	MT511465	MT511466	MT511467	MT511468	MT511469	MT511470
D/bovine/Namibia/255880/2020	-	-	-	-	-	-	-	-	OK513022	OK513023	OK513024	OK513025	OK513026	OK513027	OK513028
D/bovine/Italy/17VIR1851/2016	-	-	-	-	-	-	-	-	MK965373	MK965363	MK965321	MK965257	MK965279	MK965342	MK965300
D/bovine/Mississippi/C00207N/2015	-	-	-	-	-	-	-	-	MT511512	MT511513	MT511514	MT511515	MT511516	MT511517	MT511518
D/bovine/Denmark/4559602762-5/2019	-	-	-	-	-	-	-	-	OM468196	OM468211	OM468218	OM468240	OM468258	OM468274	OM468290
D/bovine/Italy/4128547/2018	-	-	-	-	-	-	-	-	MN165196	MN165197	MN165199	MN165202	MN165201	MN165198	MN165200
D/bovine/Italy/50543-3/2018	-	-	-	-	-	-	-	-	MN165189	MN165190	MN165192	MN165195	MN165194	MN165191	MN165193
D/bovine/Italy/345075/2018	-	-	-	-	-	-	-	-	MN123912	MN123917	MN123913	MN123918	MN123914	MN123915	MN123916
D/bovine/Mississippi/C00009P/2014	-	-	-	-	-	-	-	-	MT511526	MT511527	MT511528	MT511529	MT511530	MT511531	MT511532
D/bovine/Denmark/5161205135-5/2019	-	-	-	-	-	-	-	-	OM468194	OM468209	OM468220	OM468239	OM468257	OM468273	OM468288
D/bovine/China/JY3001/2021	-	-	-	-	-	-	-	-	ON415263	ON415264	ON415265	ON415266	ON415267	ON415268	ON415269
D/bovine/Italy/17RS395-6/2017	-	-	-	-	-	-	-	-	MK965384	MK965368	MK965337	MK965262	MK965295	MK965359	MK965316
D/bovine/Italy/12825/2017	-	-	-	-	-	-	-	-	MT349628	MT349629	MT349631	MT349634	MT349633	MT349630	MT349632
D/bovine/Mississippi/C00180N/2015	-	-	-	-	-	-	-	-	MT511354	MT511355	MT511356	MT511357	MT511358	MT511359	MT511360
D/bovine/Denmark/5195604714-5/2019	-	-	-	-	-	-	-	-	OM468195	OM468210	OM468221	OM468238	OM468255	OM468276	OM468289
