isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Miyagi/1/90	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	-	-	-	-	AB086675	AB086703	AB086732	AB086658	AB086749	AB086763	AB034177
C/Palawan/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979719	AB980277	AB981337	AB978566	AB981437	AB982146	AB985631
C/Yamagata/30/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123376	LC123478	LC123580	LC013258	LC123806	LC123874	LC125038
C/Sendai/TU1/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979707	AB980265	AB981325	AB978553	AB981425	AB982134	AB985619
C/Leyte/3/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979706	AB980264	AB981324	AB978550	AB981424	AB982133	AB985618
C/Yamagata/9/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064419	AB064427	AB064450	AB064399	AB064471	AB064434	AB064441
C/Yamagata/2/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064421	AB064429	AB064452	AB064401	AB064473	AB064436	AB064443
C/Miyagi/2/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086679	AB086707	AB064456	D88427	AB064477	AB086768	AB086791
C/Hiroshima/290/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099444	AB099469	AB099543	AB093480	AB099568	AB099592	AB099616
C/Miyagi/3/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086698	AB086726	AB086743	AB086669	AB086760	AB086787	AB086811
C/Miyagi/2/92	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	D87368	D87372	D87376	D87392	D87380	AB086766	AB086789
C/Miyagi/1/2015	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2015	-	-	host	Homo sapiens	-	Japan	-	LC739912	LC739925	LC739938	LC739890	LC739951	LC739964	LC739977
C/Miyagi/6/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739917	LC739930	LC739943	LC739904	LC739956	LC739969	LC739982
C/Sendai/TU1/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	AB979711	AB980269	AB981329	AB978558	AB981429	AB982138	AB985623
C/Miyagi/7/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	LC739914	LC739927	LC739940	LC739896	LC739953	LC739966	LC739979
C/Miyagi/3/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099438	AB099463	AB099537	AB099417	AB099562	AB099586	AB099610
C/Yamagata/2/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099433	AB099458	AB099532	AB099412	AB099557	AB099581	AB099605
C/Aichi/1/99	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	1999	-	-	host	Homo sapiens	-	Japan	-	LC123322	LC123424	LC123526	AB182357	LC123758	AB182362	AB182363
C/Yamagata/9/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099432	AB099457	AB099531	AB099411	AB099556	AB099580	AB099604
C/Saitama/1/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099441	AB099466	AB099540	AB099420	AB099565	AB099589	AB099613
C/Miyagi/7/2018	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739918	LC739931	LC739944	LC739905	LC739957	LC739970	LC739983
C/Miyagi/5/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099440	AB099465	AB099539	AB099419	AB099564	AB099588	AB099612
C/Yamagata/7/2002	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2002	-	-	host	Homo sapiens	-	Japan	-	LC123326	LC123428	LC123530	AB899778	LC123761	LC123824	LC124988
