sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source
LC720290	icv-ncbi-refseqs-seg1	1	1			2018				2385	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720289	icv-ncbi-refseqs-seg2	2	2			2018				2265	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720291	icv-ncbi-refseqs-seg3	3	3			2018				2172	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720285	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2018				2063	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720287	icv-ncbi-refseqs-seg5	5	5			2018				1792	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720286	icv-ncbi-refseqs-seg6	6	6			2018				1171	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
LC720288	icv-ncbi-refseqs-seg7	7	7			2018				1084	37741464	Influenza C virus		Homo sapiens		nasopharyngea swab using HBTEC-ALI culture
NC_006306	icv-ncbi-refseqs-seg7	7	7			1950			USA	935	17537859	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
AB126191	icv-ncbi-refseqs-seg1	1	1							2365	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006307	icv-ncbi-refseqs-seg1	1	1							2365	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
AB126192	icv-ncbi-refseqs-seg2	2	2							2363	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006308	icv-ncbi-refseqs-seg2	2	2							2363	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
AB126193	icv-ncbi-refseqs-seg3	3	3							2183	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006309	icv-ncbi-refseqs-seg3	3	3							2183	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006310	icv-ncbi-refseqs-seg4	4	4	Taylor						2073	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
AB126195	icv-ncbi-refseqs-seg5	5	5							1807	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006311	icv-ncbi-refseqs-seg5	5	5			1950			USA	1807	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
NC_006312	icv-ncbi-refseqs-seg6	6	6							1180	15218173	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
M15088	icv-ncbi-refseqs-seg7	7	7							894	2943076	Influenza C virus (C/Ann Arbor/1/50)			C/Ann Arbor/1/50	
MZ330887	icv-ncbi-refseqs-seg1	1	1			2014	JUN	25		2325		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330886	icv-ncbi-refseqs-seg2	2	2			2014	JUN	25		2265		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330885	icv-ncbi-refseqs-seg3	3	3			2014	JUN	25		2130		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330881	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2014	JUN	25		1968		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330883	icv-ncbi-refseqs-seg5	5	5			2014	JUN	25		1698		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330882	icv-ncbi-refseqs-seg6	6	6			2014	JUN	25		1125		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330884	icv-ncbi-refseqs-seg7	7	7			2014	JUN	25		862		Influenza C virus		Homo sapiens	C/Biliran/TB2-162/2014	nasal swab
MZ330894	icv-ncbi-refseqs-seg1	1	1			2014	JUL	7		2325		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330893	icv-ncbi-refseqs-seg2	2	2			2014	JUL	7		2265		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330892	icv-ncbi-refseqs-seg3	3	3			2014	JUL	7		2130		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330888	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2014	JUL	7		1968		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330890	icv-ncbi-refseqs-seg5	5	5			2014	JUL	7		1698		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330889	icv-ncbi-refseqs-seg6	6	6			2014	JUL	7		1125		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330891	icv-ncbi-refseqs-seg7	7	7			2014	JUL	7		862		Influenza C virus		Homo sapiens	C/Biliran/TB2-180/2014	nasal swab
MZ330901	icv-ncbi-refseqs-seg1	1	1			2014	JUL	24		2325		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330900	icv-ncbi-refseqs-seg2	2	2			2014	JUL	24		2265		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330899	icv-ncbi-refseqs-seg3	3	3			2014	JUL	24		2130		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330895	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2014	JUL	24		1968		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330897	icv-ncbi-refseqs-seg5	5	5			2014	JUL	24		1698		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330896	icv-ncbi-refseqs-seg6	6	6			2014	JUL	24		1125		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330898	icv-ncbi-refseqs-seg7	7	7			2014	JUL	24		862		Influenza C virus		Homo sapiens	C/Biliran/TB2-204/2014	nasal swab
MZ330908	icv-ncbi-refseqs-seg1	1	1			2014	OCT	2		2325		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330907	icv-ncbi-refseqs-seg2	2	2			2014	OCT	2		2265		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330906	icv-ncbi-refseqs-seg3	3	3			2014	OCT	2		2130		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330902	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2014	OCT	2		1968		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330904	icv-ncbi-refseqs-seg5	5	5			2014	OCT	2		1698		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330903	icv-ncbi-refseqs-seg6	6	6			2014	OCT	2		1125		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330905	icv-ncbi-refseqs-seg7	7	7			2014	OCT	2		862		Influenza C virus		Homo sapiens	C/Biliran/TB2-293/2014	nasal swab
MZ330915	icv-ncbi-refseqs-seg1	1	1			2017	MAY	16		2325		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330914	icv-ncbi-refseqs-seg2	2	2			2017	MAY	16		2265		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330913	icv-ncbi-refseqs-seg3	3	3			2017	MAY	16		2130		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330909	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2017	MAY	16		1968		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330911	icv-ncbi-refseqs-seg5	5	5			2017	MAY	16		1698		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330910	icv-ncbi-refseqs-seg6	6	6			2017	MAY	16		1125		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330912	icv-ncbi-refseqs-seg7	7	7			2017	MAY	16		862		Influenza C virus		Homo sapiens	C/Biliran/TB4-024/2017	nasal swab
MZ330922	icv-ncbi-refseqs-seg1	1	1			2017	JUN	15		2325		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330921	icv-ncbi-refseqs-seg2	2	2			2017	JUN	15		2265		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330920	icv-ncbi-refseqs-seg3	3	3			2017	JUN	15		2130		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330916	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2017	JUN	15		1968		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330918	icv-ncbi-refseqs-seg5	5	5			2017	JUN	15		1698		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330917	icv-ncbi-refseqs-seg6	6	6			2017	JUN	15		1125		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330919	icv-ncbi-refseqs-seg7	7	7			2017	JUN	15		862		Influenza C virus		Homo sapiens	C/Biliran/TB4-067/2017	nasal swab
MZ330929	icv-ncbi-refseqs-seg1	1	1			2018	MAR	27		2325		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330928	icv-ncbi-refseqs-seg2	2	2			2018	MAR	27		2265		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330927	icv-ncbi-refseqs-seg3	3	3			2018	MAR	27		2130		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330923	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2018	MAR	27		1968		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
